"gene","best_annot","dummy_name","GO"
"ABCG5","ABCG5","ABCG5","GO:0042632;GO:0070328;GO:0015918;GO:0038183;GO:0014850;GO:0045796;GO:0055085;GO:0120009;GO:0007588;GO:0010949;GO:0033344;GO:0010212;GO:0030299;GO:0042493;GO:0007584"
"ABCG8","ABCG8","ABCG8","GO:0042632;GO:0033344;GO:0042493;GO:0038183;GO:0070328;GO:0030299;GO:0055085;GO:0045796;GO:0007584;GO:0007588;GO:0015914;GO:0120009;GO:0014850;GO:0015918;GO:0010949"
"ABHD10","ABHD10","ABHD10","GO:0019391;GO:0052695;GO:0018215;GO:0002084"
"ABHD11","ABHD11","ABHD11","GO:0008150"
"ABHD12","ABHD12","ABHD12","GO:0007628;GO:0052651;GO:0046475;GO:0006660;GO:0009395;GO:0018215;GO:0050727;GO:0046464;GO:0010996;GO:0002084"
"ABHD12B","ABHD12","ABHD12_pp_1","GO:0007628;GO:0052651;GO:0046475;GO:0006660;GO:0009395;GO:0018215;GO:0050727;GO:0046464;GO:0010996;GO:0002084"
"ABHD13","ABHD13","ABHD13","GO:0002084;GO:0018215"
"LOC113991404","ABHD14B","ABHD14B","GO:0050427;GO:0045944"
"ABHD15","ABHD15","ABHD15","GO:0044255"
"ABHD17A","ABHD17A","ABHD17A","GO:1905668;GO:0002084;GO:1902817;GO:0018215;GO:0072657;GO:0099175"
"ABHD17B","ABHD17B","ABHD17B","GO:0002084;GO:0018215;GO:1902817;GO:1902950;GO:0099175;GO:1902473;GO:1905668"
"ABHD17C","ABHD17C","ABHD17C","GO:0002084;GO:1905668;GO:0099175;GO:0018215;GO:1902817"
"ABHD2","ABHD2","ABHD2","GO:0046464;GO:0044255;GO:0030336;GO:0048240;GO:0007340;GO:0032570;GO:0043401;GO:0051793;GO:0051792;GO:0009611"
"ABHD3","ABHD3","ABHD3","GO:0046470;GO:0051793;GO:0006656;GO:0044255;GO:0051792"
"ABHD5","ABHD5","ABHD5","GO:0010891;GO:0006654;GO:0051006;GO:0055088;GO:0010898;GO:0006631;GO:0030154"
"ABHD6","ABHD6","ABHD6","GO:0046464;GO:0120163;GO:2001311;GO:0046889;GO:0052651;GO:2000124;GO:0060292;GO:0009395;GO:0030336"
"ABHD8","ABHD8","ABHD8","GO:0006654;GO:0055088"
"ABI1","ABI1","ABI1","GO:0008285;GO:0007169;GO:0016032;GO:0008154;GO:0018108;GO:0061098;GO:0038096;GO:0048010"
"ABI2","ABI2","ABI2","GO:0016601;GO:2000601;GO:0061001;GO:0016477;GO:0007010;GO:0018108;GO:0070309;GO:0016032;GO:0010592;GO:0007399;GO:0008154"
"ABI3","ABI3","ABI3","GO:0030334;GO:0018108"
"ABL1","ABL1","ABL1","GO:0018108;GO:2000773;GO:1990051;GO:2000251;GO:0007173;GO:0009791;GO:0043065;GO:2000145;GO:1903351;GO:0090135;GO:0060563;GO:1905555;GO:2000352;GO:1900026;GO:1905244;GO:0051496;GO:0050852;GO:0001843;GO:2000249;GO:1900275;GO:0006298;GO:0046632;GO:1900272;GO:0032729;GO:1904528;GO:0071222;GO:0051353;GO:0010506;GO:0030155;GO:1904531;GO:2000096;GO:1902036;GO:0043123;GO:0043124;GO:0006914;GO:0008630;GO:1903053;GO:1901216;GO:0090050;GO:0072359;GO:0051149;GO:0051444;GO:0006464;GO:0032743;GO:0048668;GO:0050853;GO:0048536;GO:0034599;GO:0060020;GO:0002322;GO:0042981;GO:0071103;GO:0070373;GO:0048538;GO:0045931;GO:0007229;GO:0032489;GO:2001020;GO:0006979;GO:0050798;GO:0070301;GO:0043542;GO:0006974;GO:0030036;GO:0007204;GO:0006468;GO:0006975;GO:0045184;GO:0050731;GO:0051882;GO:0070374;GO:0032956;GO:0033690;GO:0001922;GO:0006897;GO:0042770;GO:0002333;GO:0006355;GO:0071901;GO:0001934;GO:0030100;GO:0038096;GO:0022408;GO:0051281;GO:0030035;GO:0051894;GO:0050885;GO:0021587;GO:0045580;GO:0010595;GO:0038083;GO:0045930;GO:0046777;GO:0045944;GO:0000278;GO:0031113;GO:0035791;GO:0034446;GO:0030516;GO:0038189;GO:0030514;GO:0007050"
"ABL2","ABL2","ABL2","GO:0007165;GO:0010506;GO:2000145;GO:0035640;GO:0007155;GO:0018108;GO:0035024;GO:0007204;GO:0030100;GO:0030155;GO:2000249;GO:0051353;GO:0010976;GO:0006464;GO:0010863;GO:0071300"
"ABLIM1","ABLIM1","ABLIM1","GO:0007010;GO:0009887;GO:0060271;GO:0007601;GO:0030032"
"ABLIM2","ABLIM2","ABLIM2","GO:0006351;GO:0030032;GO:0030036"
"ABLIM3","ABLIM3","ABLIM3","GO:0060271;GO:0030036;GO:0006351;GO:1903955;GO:0030032;GO:0045944"
"LOC114000442","ABO","ABO","GO:0030259;GO:0018215;GO:0005975;GO:0006486"
"ABR","ABR","ABR","GO:0007186;GO:0043065;GO:0051056;GO:0050804;GO:0007264;GO:0090630"
"ABRA","ABRA","ABRA","GO:0051091;GO:0006606;GO:0035025;GO:0045944"
"ABRACL","ABRACL","ABRACL","GO:0032970"
"ABRAXAS1","ABRAXAS1","ABRAXAS1","GO:0090307;GO:0006303;GO:0010212;GO:0006325;GO:0045739;GO:0008608;GO:0072425;GO:0016579;GO:0070536;GO:0006302"
"ABRAXAS2","ABRAXAS2","ABRAXAS2","GO:0070536;GO:0051301;GO:0000278;GO:0090307;GO:0007059;GO:0008608;GO:0002931;GO:0016579"
"LOC113999249","ABT1","ABT1","GO:0045893;GO:0000447;GO:0006366;GO:0000480;GO:0000472;GO:0034462"
"ABTB1","ABTB1","ABTB1","GO:0006414"
"BTBD11","ABTB2","ABTB2_pp_1","GO:0097237"
"ABTB2","ABTB2","ABTB2","GO:0097237"
"ACAA1","ACAA1","ACAA1","GO:0006635;GO:0033540;GO:0006625;GO:0000038;GO:0010124;GO:0043312;GO:0036109;GO:0008206"
"ACAA2","ACAA2","ACAA2","GO:0006695;GO:1902109;GO:0071456;GO:0006635;GO:1901029"
"ACACA","ACACA","ACACA","GO:0006633;GO:0045540;GO:0046949;GO:0001894;GO:2001295;GO:0006084;GO:0006853;GO:0055088;GO:0051289;GO:0071380;GO:0019538;GO:0031325"
"ACACB","ACACB","ACACB","GO:0043086;GO:0010884;GO:0042493;GO:0051289;GO:0045540;GO:0031325;GO:0014070;GO:0031667;GO:0006084;GO:0010906;GO:0006633;GO:0031999;GO:0060421;GO:0010629;GO:0097009;GO:0006853;GO:2001295"
"ACAD10","ACAD10","ACAD10","GO:0006635"
"ACAD11","ACAD11","ACAD11","GO:0033539;GO:0006635"
"LOC114002803","ACAD6L","ACAD6L","unknown"
"ACAD8","ACAD8","ACAD8","GO:0006629;GO:0009083;GO:0006574"
"ACAD9","ACAD9","ACAD9","GO:0032981;GO:0001676;GO:0051791"
"ACADL","ACADL","ACADL","GO:0090181;GO:0120162;GO:0045717;GO:0001659;GO:0033539;GO:0006635;GO:0019254;GO:0046322;GO:0044242;GO:0042413;GO:0042758"
"ACADM","ACADM","ACADM","GO:0006635;GO:0033539;GO:0019216;GO:0051793;GO:0019254;GO:0051791;GO:0045329"
"LOC113997210","ACADM","ACADM_pp_1","GO:0006635;GO:0033539;GO:0019216;GO:0051793;GO:0019254;GO:0051791;GO:0045329"
"ACADS","ACADS","ACADS","GO:0006635;GO:0046359;GO:0033539"
"ACADSB","ACADSB","ACADSB","GO:0009083;GO:0006550;GO:0006631"
"ACAN","ACAN","ACAN","GO:0030198;GO:0042340;GO:0007417;GO:0007155;GO:0001501;GO:0006508;GO:0018146"
"LOC113982212","ACAP1","ACAP1","GO:0043547;GO:0015031"
"ACAP2","ACAP2","ACAP2","GO:0032456;GO:1990090;GO:0030029;GO:0043547"
"ACAP3","ACAP3","ACAP3","GO:0010975;GO:0001764;GO:0043547"
"ACAT1","ACAT1","ACAT1","GO:0015937;GO:0006550;GO:0009083;GO:0034435;GO:0006635;GO:0015936;GO:0046952;GO:0006085;GO:1902860;GO:1902224;GO:0046951;GO:0046356"
"ACAT2","ACAT2","ACAT2","GO:0006695;GO:0006629;GO:0006635"
"ACBD3","ACBD3","ACBD3","GO:0006694;GO:0016032"
"ACBD4","ACBD5","ACBD5_pp_1","GO:0009062;GO:0030242;GO:0035973;GO:0016236"
"ACBD5","ACBD5","ACBD5","GO:0009062;GO:0030242;GO:0035973;GO:0016236"
"ACBD6","ACBD6","ACBD6","GO:0006637"
"ACCS","ACCS","ACCS","GO:0042218"
"ACE","ACE","ACE","GO:1903597;GO:2000170;GO:1902033;GO:0032091;GO:0042447;GO:0097746;GO:0032092;GO:0002003;GO:0043171;GO:0008217;GO:0060047;GO:0003081;GO:0050435;GO:0007283;GO:0001822;GO:0003084;GO:0014910;GO:0002019;GO:0002474;GO:0071838;GO:0060218;GO:0050482;GO:0002446;GO:0001974;GO:1900086;GO:0060177;GO:0010608;GO:0019229;GO:0010629;GO:0061098;GO:0006508;GO:0032943"
"ACE2","ACE2","ACE2","GO:0022898;GO:0046718;GO:0001817;GO:0002003;GO:2000272;GO:0042127;GO:0003081;GO:0050727;GO:1903598;GO:0003051;GO:0097746;GO:0046813;GO:1903779;GO:0019229;GO:1905737;GO:0060452;GO:0051957;GO:2000379;GO:0015827"
"ACER1","ACER1","ACER1","GO:0030148;GO:0046514;GO:0010446;GO:0046512;GO:0006665;GO:0030154;GO:0030216;GO:0071277;GO:0008544"
"ACER2","ACER2","ACER2","GO:0046514;GO:0030148;GO:0042981;GO:0030330;GO:0090285;GO:0035690;GO:0046512;GO:0010506;GO:0033629;GO:0006919;GO:0001953;GO:0010942;GO:0032526;GO:0008284;GO:0006974"
"ACER3","ACER3","ACER3","GO:0046514;GO:0043067;GO:0008284;GO:0046512;GO:0042552;GO:0030148;GO:0071602"
"ACKR2","ACKR2","ACKR2","GO:0060326;GO:0006955;GO:0006935;GO:0070098;GO:0007275;GO:0019722;GO:0006897;GO:0006954;GO:0007204;GO:0007186"
"ACKR3","ACKR3","ACKR3","GO:0070098;GO:1902230;GO:0008285;GO:0031623;GO:0001525;GO:0016032;GO:0070374;GO:0001570;GO:0060326;GO:0007204;GO:0019722;GO:0007155;GO:0006955;GO:0007186;GO:1905322"
"ACKR4","ACKR4","ACKR4","GO:0070098;GO:0006897;GO:0060326;GO:0006935;GO:0007204;GO:0007186;GO:0019722;GO:0006955"
"ACLY","ACLY","ACLY","GO:0006695;GO:0015936;GO:0031325;GO:0006085;GO:0006107;GO:0006101;GO:0006633;GO:0043312;GO:0046949;GO:0008610"
"ACMSD","ACMSD","ACMSD","GO:0006569;GO:0019748;GO:1905004;GO:1904985;GO:1905012"
"ACO1","ACO1","ACO1","GO:0050892;GO:0009791;GO:0006101;GO:0006099;GO:0010040;GO:0006417;GO:0006879"
"ACO2","ACO2","ACO2","GO:0006099;GO:0006091;GO:0006101"
"ACOD1","ACOD1","ACOD1","GO:0007566;GO:0071222;GO:0002760;GO:0006952;GO:0072573;GO:0032088;GO:0035458;GO:0032480;GO:0071393;GO:0034136;GO:0045824;GO:0006954;GO:0071346;GO:0051607;GO:0071219;GO:0071347;GO:0071356;GO:0034144;GO:2000379;GO:0050728"
"LOC114002133","ACOD1","ACOD1_pp_1","GO:0007566;GO:0071222;GO:0002760;GO:0006952;GO:0072573;GO:0032088;GO:0035458;GO:0032480;GO:0071393;GO:0034136;GO:0045824;GO:0006954;GO:0071346;GO:0051607;GO:0071219;GO:0071347;GO:0071356;GO:0034144;GO:2000379;GO:0050728"
"LOC114003333","ACOT1","ACOT1","GO:0000038;GO:0006637;GO:0006631;GO:0001676"
"ACOT11","ACOT11","ACOT11","GO:0035556;GO:0006637;GO:0006631;GO:0120163;GO:0009266;GO:0009409"
"ACOT12","ACOT12","ACOT12","GO:0006637;GO:0006631;GO:0006084"
"ACOT13","ACOT13","ACOT13","GO:0051289;GO:0120163;GO:0006637"
"LOC114002690","ACOT2","ACOT2","GO:0000038;GO:0006637;GO:0001676;GO:0006631;GO:0006625"
"LOC114002682","ACOT4","ACOT4","GO:0032788;GO:0006637;GO:0043649;GO:0006633;GO:0046459;GO:0032789;GO:0019605;GO:0006631;GO:0001676;GO:0043648;GO:0000038;GO:0006104;GO:0006625"
"ACOT7","ACOT7","ACOT7","GO:0036116;GO:0006637;GO:1900535;GO:0036114;GO:0051792;GO:0015937;GO:0006631"
"ACOT8","ACOT8","ACOT8","GO:0006625;GO:0006637;GO:0016559;GO:0009062;GO:0033540;GO:0043649;GO:0045225;GO:0006699;GO:0036109;GO:0016032"
"ACOT9","ACOT9","ACOT9","GO:0006637"
