"gene","best_annot","dummy_name","GO"
"HSPA12A","HSPA12A","HSPA12A","GO:0008150"
"LOC113987259","HSPA13","HSPA13_ah_1","GO:0034620;GO:0051085;GO:0042026"
"LOC113982131","HSPA13","HSPA13_ah_2","GO:0034620;GO:0051085;GO:0042026"
"HSPA14","HSPA14","HSPA14","GO:0016192;GO:0034620;GO:0051083;GO:0051085;GO:0042026"
"HSPA2","HSPA2","HSPA2","GO:0010971;GO:0007140;GO:0016192;GO:0001934;GO:0007283;GO:0006986;GO:0007286;GO:0051085;GO:0009409;GO:0070194;GO:0034620;GO:0042026;GO:0009408;GO:0007141;GO:0032781;GO:1901896;GO:0090084"
"HSPA4","HSPA4","HSPA4","GO:0051131;GO:0045040;GO:0006986"
"HSPA4L","HSPA4L","HSPA4L","GO:0006457;GO:0006986"
"HSPA5","HSPA5","HSPA5","GO:1901998;GO:0071277;GO:0071480;GO:0097501;GO:0042149;GO:1990090;GO:1903897;GO:0071287;GO:0021762;GO:1903894;GO:0071320;GO:0043066;GO:1904313;GO:0030968;GO:1903891;GO:1990440;GO:0042026;GO:0030433;GO:0036500;GO:0060904;GO:0042220;GO:0030512;GO:0010976;GO:0036498;GO:0035690;GO:0030182;GO:0031398;GO:1903895;GO:0034620;GO:0051402;GO:0071236;GO:0071353;GO:0031333;GO:0051085;GO:0021589;GO:0006983;GO:0021680;GO:0034975;GO:0030335;GO:0036499;GO:0001554;GO:0035437;GO:0031204"
"HSPA8","HSPA8","HSPA8","GO:0072318;GO:0042026;GO:0006457;GO:0007269;GO:0061024;GO:0034620;GO:0061741;GO:0043488;GO:0016032;GO:0009267;GO:0061740;GO:0000398;GO:0043254;GO:0006986;GO:0051726;GO:0031647;GO:0019221;GO:0061684;GO:0048026;GO:0046034;GO:0044829;GO:0043312;GO:1990832;GO:1900034;GO:0045892;GO:1904764;GO:0099175;GO:0061635;GO:0061738;GO:1904589;GO:1902904;GO:0051085;GO:0016192"
"HSPA9","HSPA9","HSPA9","GO:0045647;GO:1902037;GO:1903707;GO:0034620;GO:0042026;GO:0051085;GO:0035722;GO:0030218;GO:0007007;GO:0006611;GO:0045646;GO:0043066;GO:0016226"
"HSPB1","HSPB1","HSPB1","GO:0001932;GO:0006446;GO:0043536;GO:0070527;GO:0010506;GO:0032731;GO:0016032;GO:0038033;GO:0001895;GO:0043066;GO:0043488;GO:0032760;GO:0045766;GO:0071901;GO:0035924;GO:0035556;GO:0061077;GO:2001028;GO:0043122;GO:1902176;GO:0006469;GO:0099641;GO:0006986;GO:0009615"
"HSPB11","HSPB11","HSPB11","GO:0060271;GO:0030154;GO:0007283;GO:0035735;GO:0001822"
"HSPB2","HSPB2","HSPB2","GO:0050790;GO:0006986"
"HSPB3","HSPB3","HSPB3","GO:0006986"
"LOC113983607","HSPB7","HSPB7_pp_1","GO:0008016;GO:0007507;GO:0006986"
"LOC113992829","HSPB7","HSPB7_pp_2","GO:0008016;GO:0007507;GO:0006986"
"HSPB7","HSPB7","HSPB7","GO:0008016;GO:0007507;GO:0006986"
"HSPB8","HSPB8","HSPB8","GO:0006468;GO:0034620;GO:1900034;GO:1905337"
"HSPD1","HSPD1","HSPD1","GO:0016032;GO:0009409;GO:0042110;GO:0032729;GO:0032755;GO:0006357;GO:0048291;GO:0050821;GO:0006986;GO:0042026;GO:0051131;GO:0006458;GO:0032735;GO:0034514;GO:0043066;GO:0043065;GO:0051702;GO:0032733;GO:0050870;GO:0006919;GO:0051604;GO:0006457;GO:0045041;GO:0044406;GO:0042113;GO:0032727;GO:0002842;GO:0043032;GO:0008637;GO:0042100;GO:0002755"
"LOC113991705","HSPG2","HSPG2_pp_1","GO:0001523;GO:0072359;GO:0006898;GO:0009888;GO:0009887;GO:0001525;GO:0006954;GO:0006629;GO:0016525;GO:0006024;GO:0006027;GO:0007420;GO:0030198;GO:0030154;GO:0044267"
"HSPG2","HSPG2","HSPG2","GO:0001523;GO:0072359;GO:0006898;GO:0009888;GO:0009887;GO:0001525;GO:0006954;GO:0006629;GO:0016525;GO:0006024;GO:0006027;GO:0007420;GO:0030198;GO:0030154;GO:0044267"
"LOC113991381","HSPG2","HSPG2_pp_2","GO:0001523;GO:0072359;GO:0006898;GO:0009888;GO:0009887;GO:0001525;GO:0006954;GO:0006629;GO:0016525;GO:0006024;GO:0006027;GO:0007420;GO:0030198;GO:0030154;GO:0044267"
"HSPH1","HSPH1","HSPH1","GO:0045345;GO:0051135;GO:1900034;GO:0050790;GO:0006986;GO:0006898;GO:0051085"
"HTATIP2","HTATIP2","HTATIP2","GO:0043068;GO:0051170;GO:0006357;GO:0030154;GO:0001525;GO:0045944;GO:0016032;GO:0046777;GO:0006915;GO:0045765;GO:0043066"
"LOC113983813","HTATIP2","HTATIP2_pp_1","GO:0043068;GO:0051170;GO:0006357;GO:0030154;GO:0001525;GO:0045944;GO:0016032;GO:0046777;GO:0006915;GO:0045765;GO:0043066"
"HTATSF1","HTATSF1","HTATSF1","GO:0019079;GO:0000398;GO:0032784;GO:0006357"
"HTD2","HTD2","HTD2","GO:0006631;GO:0046949"
"HTR1A","HTR1A","HTR1A","GO:0008284;GO:0007198;GO:0007268;GO:0007210;GO:0007187;GO:0007214;GO:0001662;GO:0019229;GO:0042428;GO:0007186;GO:0035640;GO:0014062;GO:0042053;GO:0046883;GO:0050795"
"HTR1B","HTR1B","HTR1B","GO:0014063;GO:0045471;GO:0051385;GO:0014059;GO:0042756;GO:0099509;GO:0007186;GO:0071502;GO:0042310;GO:0007198;GO:0035690;GO:0071312;GO:0007205;GO:0002031;GO:0007187;GO:0042220;GO:0051967;GO:0050795;GO:0032229;GO:0046849;GO:1904707;GO:2000300;GO:0007193;GO:0099171;GO:0014053;GO:0007268"
"HTR1D","HTR1D","HTR1D","GO:0042310;GO:0040012;GO:0007193;GO:0007198;GO:0014827;GO:0007186;GO:0007268;GO:0050795;GO:0007187"
"HTR1E","HTR1E","HTR1E","GO:0007198;GO:0007186;GO:0007268;GO:0007193;GO:0007187"
"HTR1F","HTR1F","HTR1F","GO:0007198;GO:0007268;GO:0007186;GO:0007193;GO:0007187"
"HTR2A","HTR2A","HTR2A","GO:0050731;GO:0043406;GO:0042493;GO:0044380;GO:0007208;GO:0048148;GO:0046718;GO:0045821;GO:0007268;GO:0050965;GO:0014059;GO:0007613;GO:0051209;GO:0045600;GO:0014065;GO:0070374;GO:0050966;GO:0008219;GO:0006874;GO:0007187;GO:0098664;GO:0014824;GO:0045907;GO:0001659;GO:2000300;GO:0007200;GO:0043267;GO:0007202;GO:0007568;GO:0014832;GO:0051967;GO:0007186;GO:0010513;GO:0008284;GO:0030431;GO:0007210"
"HTR2B","HTR2B","HTR2B","GO:0007186;GO:0010507;GO:0010513;GO:0050795;GO:0002031;GO:0014033;GO:0019934;GO:0014065;GO:0016310;GO:0042310;GO:0006874;GO:0051209;GO:0043547;GO:0070528;GO:0001755;GO:0001819;GO:0014827;GO:0098664;GO:0019722;GO:0007200;GO:0043066;GO:0007202;GO:0007610;GO:0051781;GO:0043406;GO:0048598;GO:0008284;GO:0070374;GO:0071502;GO:0060548;GO:0001938;GO:0070371;GO:0043123;GO:0042493;GO:0003007;GO:0007187;GO:0007268;GO:0003300;GO:0007205;GO:0051000;GO:0007208"
"HTR2C","HTR2C","HTR2C","GO:0070374;GO:0007208;GO:0007631;GO:0032098;GO:0010513;GO:0007626;GO:0042493;GO:0019934;GO:0007187;GO:0007200;GO:0007186;GO:0051209;GO:0045600;GO:0043397;GO:0031644;GO:0007268;GO:0098664;GO:0001662;GO:0051482;GO:0006874"
"LOC113996568","HTR3A","HTR3A","GO:0042220;GO:0050877;GO:0045471;GO:0007268;GO:0032414;GO:0007165;GO:0034220;GO:0071363;GO:0007210;GO:0042391"
"HTR4","HTR4","HTR4","GO:0007268;GO:0007198;GO:0032098;GO:0007187;GO:0007186"
"LOC113989259","HTR5A","HTR5A_pp_2","GO:0007268;GO:0007186;GO:0019933;GO:0021766;GO:0007187;GO:0007198;GO:0032355"
"HTR5A","HTR5A","HTR5A","GO:0007268;GO:0007186;GO:0019933;GO:0021766;GO:0007187;GO:0007198;GO:0032355"
"LOC113989258","HTR5A","HTR5A_pp_1","GO:0007268;GO:0007186;GO:0019933;GO:0021766;GO:0007187;GO:0007198;GO:0032355"
"HTR6","HTR6","HTR6","GO:0021795;GO:0098664;GO:0007186;GO:0032008;GO:0007187;GO:0007268"
"LOC113983488","HTR7","HTR7_pp_1","GO:0098664;GO:0008015;GO:0006939;GO:0007268;GO:0007186;GO:0007187;GO:0007623;GO:0042310"
"HTR7","HTR7","HTR7","GO:0098664;GO:0008015;GO:0006939;GO:0007268;GO:0007186;GO:0007187;GO:0007623;GO:0042310"
"HTRA1","HTRA1","HTRA1","GO:0050679;GO:0097187;GO:0030512;GO:0001890;GO:0030514;GO:0006508;GO:0050687;GO:0022617;GO:0060718"
"HTRA2","HTRA2","HTRA2","GO:0006508;GO:0043065;GO:0007568;GO:0012501;GO:0035458;GO:0007628;GO:0034605;GO:0019742;GO:0030900;GO:2001241;GO:1904924;GO:0010822;GO:0040014;GO:1902176;GO:0034599;GO:0007005;GO:0043280;GO:1903146;GO:0045786;GO:0006672;GO:0071300;GO:0044257;GO:1903955;GO:0008630;GO:0009635;GO:0016540;GO:2001269;GO:0097194;GO:0071363;GO:0048666;GO:1901215"
"HTRA3","HTRA3","HTRA3","GO:0030514;GO:0030512;GO:0006508"
"LOC113986620","HTT","HTT_ah_1","GO:0006890;GO:0006915;GO:0007030;GO:0031587;GO:0042297;GO:0045724;GO:0099111;GO:1905289;GO:0031648;GO:0043666;GO:2000479;GO:2001237;GO:1905337;GO:0047496;GO:0000132;GO:1903599;GO:0043065;GO:1904504"
"LOC113983557","HTT","HTT_ah_2","GO:0006890;GO:0006915;GO:0007030;GO:0031587;GO:0042297;GO:0045724;GO:0099111;GO:1905289;GO:0031648;GO:0043666;GO:2000479;GO:2001237;GO:1905337;GO:0047496;GO:0000132;GO:1903599;GO:0043065;GO:1904504"
"HUNK","HUNK","HUNK","GO:0007275;GO:0007165;GO:0006468;GO:0035556"
"HUS1","HUS1","HUS1","GO:0006260;GO:0006289;GO:0071479;GO:1901796;GO:0009792;GO:0000077;GO:0001932;GO:0006281;GO:0000723;GO:0006468;GO:0033314;GO:0031573;GO:0000724;GO:0044778;GO:0009411;GO:0006974"
"LOC113994101","HUWE1","HUWE1_ah_2","GO:0043161;GO:0010637;GO:0030154;GO:0006284;GO:0000209;GO:0043312;GO:0045732;GO:1903955;GO:0006513;GO:0016574;GO:0016567;GO:0032922;GO:0061025;GO:0007030;GO:0031398;GO:0098779"
"LOC113990253","HUWE1","HUWE1_ah_1","GO:0043161;GO:0010637;GO:0030154;GO:0006284;GO:0000209;GO:0043312;GO:0045732;GO:1903955;GO:0006513;GO:0016574;GO:0016567;GO:0032922;GO:0061025;GO:0007030;GO:0031398;GO:0098779"
"HVCN1","HVCN1","HVCN1","GO:0071294;GO:1902600;GO:0045454;GO:0071467;GO:0032930;GO:0010043;GO:0034765;GO:0009268;GO:0043312;GO:0035036;GO:0051453"
"LOC113990875","HYAL1","HYAL1","GO:0030308;GO:0071347;GO:0030307;GO:0036120;GO:0060272;GO:0046718;GO:0030214;GO:0050679;GO:0045927;GO:0045785;GO:0009615;GO:0006954;GO:0030213;GO:0010634;GO:1900087;GO:0046677;GO:0051216;GO:0045766;GO:0071467;GO:0044344;GO:1900106;GO:0071356;GO:0071493;GO:0030207;GO:0005975;GO:0000302;GO:0030212"
"HYAL2","HYAL2","HYAL2","GO:0019064;GO:0019087;GO:0071493;GO:0042307;GO:2001238;GO:0071560;GO:0046677;GO:0030214;GO:0002244;GO:0070295;GO:0043407;GO:0060586;GO:0001822;GO:0000302;GO:0030308;GO:0071347;GO:0051607;GO:0042117;GO:0050729;GO:0009615;GO:0006027;GO:0046718;GO:0051216;GO:0010764;GO:0045944;GO:0061099;GO:0048705;GO:0044344;GO:0071356;GO:0032757;GO:0051898;GO:0010259;GO:0035810;GO:0032755;GO:0005975"
"HYAL3","HYAL3","HYAL3","GO:0005975;GO:0046718;GO:0071347;GO:0071493;GO:0046677;GO:0051216;GO:0030214;GO:0001552;GO:0007341;GO:2000355;GO:2000368;GO:0071356;GO:0009615;GO:0006954"
"LOC113995484","HYDIN","HYDIN_pp_1","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113994178","HYDIN","HYDIN_pp_6","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113984169","HYDIN","HYDIN_pp_42","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113999366","HYDIN","HYDIN_pp_40","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113999122","HYDIN","HYDIN_pp_16","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113982117","HYDIN","HYDIN_pp_17","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113997354","HYDIN","HYDIN_pp_15","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113994177","HYDIN","HYDIN_pp_5","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113989603","HYDIN","HYDIN_pp_22","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC114001173","HYDIN","HYDIN_pp_44","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC114003338","HYDIN","HYDIN_pp_12","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113995492","HYDIN","HYDIN_pp_43","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113997903","HYDIN","HYDIN_pp_8","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC114001265","HYDIN","HYDIN_pp_10","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113986575","HYDIN","HYDIN_pp_20","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113983738","HYDIN","HYDIN_pp_13","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC114002461","HYDIN","HYDIN_pp_41","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC114000433","HYDIN","HYDIN_pp_9","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113997353","HYDIN","HYDIN_pp_39","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113991053","HYDIN","HYDIN_pp_25","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC114001631","HYDIN","HYDIN_pp_11","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113990404","HYDIN","HYDIN_pp_23","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113988584","HYDIN","HYDIN_pp_21","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113987257","HYDIN","HYDIN_pp_3","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113999367","HYDIN","HYDIN_pp_30","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113985451","HYDIN","HYDIN_pp_14","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113986574","HYDIN","HYDIN_pp_37","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113992388","HYDIN","HYDIN_pp_4","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113984170","HYDIN","HYDIN_pp_19","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113997531","HYDIN","HYDIN_pp_7","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC114001168","HYDIN","HYDIN_pp_32","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113985144","HYDIN","HYDIN_pp_36","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113997901","HYDIN","HYDIN_pp_27","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113996018","HYDIN","HYDIN_pp_26","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC114002457","HYDIN","HYDIN_pp_34","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113986090","HYDIN","HYDIN_pp_2","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC114001629","HYDIN","HYDIN_pp_33","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113991052","HYDIN","HYDIN_pp_24","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC114001164","HYDIN","HYDIN_pp_31","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113982290","HYDIN","HYDIN_pp_18","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"HYDIN","HYDIN","HYDIN","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113983737","HYDIN","HYDIN_pp_35","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113998579","HYDIN","HYDIN_pp_29","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113998208","HYDIN","HYDIN_pp_28","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"LOC113997352","HYDIN","HYDIN_pp_38","GO:0021591;GO:0003341;GO:0002064;GO:0060438;GO:1904158"
"HYI","HYI","HYI","GO:0046487;GO:0008150"
"HYKK","HYKK","HYKK","GO:0006554;GO:0016310"
"HYLS1","HYLS1","HYLS1","GO:0060271"
"HYOU1","HYOU1","HYOU1","GO:0071456;GO:0034976;GO:1903298;GO:0002931;GO:0050790;GO:0036498;GO:0006898;GO:0006888"
"HYPK","HYPK","HYPK","GO:0043066;GO:0050821"
"IAH1","IAH1","IAH1","GO:0016042"
"IAPP","IAPP","IAPP","GO:0045779;GO:0045596;GO:0044267;GO:0019233;GO:1905907;GO:0097647;GO:0043410;GO:0010823;GO:0007204;GO:0010739;GO:0007186;GO:0043065;GO:0031333;GO:0006915;GO:0007165;GO:0007267;GO:0051897;GO:0042755;GO:0007189"
"IARS","IARS","IARS","unknown"
"IARS2","IARS2","IARS2","GO:0006428;GO:0106074;GO:0032543;GO:0006418"
"IBA57","IBA57","IBA57","GO:0016226;GO:0006783"
"IBSP","IBSP","IBSP","GO:0030198;GO:0045785;GO:0071363;GO:0030282;GO:0001649;GO:0007155"
"IBTK","IBTK","IBTK","GO:0051209;GO:0061099;GO:0001933"
"ICA1","ICA1","ICA1","GO:0050796;GO:0006836;GO:0051049"
"ICE1","ICE1","ICE1","GO:0042795;GO:0045945;GO:0042796;GO:0090316;GO:0031334"
"ICE2","ICE2","ICE2","GO:0042795;GO:0042796;GO:0045945"
"ICK","ICK","ICK","unknown"
"ICMT","ICMT","ICMT","GO:0006464;GO:0006612;GO:0006481;GO:0043687"
"LOC113993374","ICOS","ICOS","GO:0031295;GO:0051897;GO:0006955;GO:0098609;GO:0002517"
"ICOSLG","ICOSLG","ICOSLG","GO:0001817;GO:0042113;GO:0006972;GO:0050852;GO:0007165;GO:0002250;GO:0006952;GO:0042110;GO:0031295;GO:0042104"
"ID1","ID1","ID1","GO:0007420;GO:0000122;GO:0050679;GO:0007179;GO:0043066;GO:1903351;GO:0030182;GO:0032091;GO:0032233;GO:0032922;GO:0001525;GO:1990090;GO:0036164;GO:0030154;GO:0043392;GO:0010628;GO:1901653;GO:0045602;GO:1901342;GO:0050774;GO:0071364;GO:0010621;GO:0120163;GO:0048514;GO:0043534;GO:0045892;GO:0043433"
"ID2","ID2","ID2","GO:0000122;GO:2000177;GO:0010628;GO:0061030;GO:0090398;GO:0060749;GO:0032922;GO:2000045;GO:0071158;GO:0048663;GO:0045475;GO:0019216;GO:0061031;GO:0045892;GO:0051148;GO:0042752;GO:0048661;GO:0043153;GO:0045777;GO:0033598;GO:0030154;GO:0045893;GO:0045664;GO:0010629;GO:0043433;GO:0071931;GO:0048557"
"ID4","ID4","ID4","GO:0045892;GO:0032922;GO:0030154;GO:0000122"
"IDE","IDE","IDE","GO:0150094;GO:0043171;GO:0044257;GO:0042447;GO:0097242;GO:0010815;GO:0050435;GO:0006625;GO:0010992;GO:0019885;GO:1901143;GO:0051603;GO:0045732;GO:0030163;GO:0008286;GO:0046718;GO:0006508;GO:0045861;GO:0032092;GO:0008340;GO:1901142;GO:1903715"
"IDH1","IDH1","IDH1","GO:0006979;GO:0006103;GO:0006739;GO:0071071;GO:0006099;GO:0006102;GO:0006740;GO:0048545;GO:0006749;GO:0006097;GO:0043312;GO:0006625;GO:0008585;GO:0060696"
"IDH2","IDH2","IDH2","GO:1904465;GO:0006099;GO:0006102;GO:1903976;GO:0006741;GO:0006103;GO:0006097;GO:0060253;GO:0006739;GO:0005975"
"IDH3A","IDH3A","IDH3A","GO:0006099;GO:0005975;GO:0006102"
"LOC113987999","IDH3B","IDH3B_pp_1","GO:0006099;GO:0022900;GO:0006102"
"IDH3B","IDH3B","IDH3B","GO:0006099;GO:0022900;GO:0006102"
"IDH3G","IDH3G","IDH3G","GO:0006102;GO:0006099;GO:0005975"
"LOC113987727","IDI1","IDI1","GO:0006695;GO:0050992;GO:0045540;GO:0009240"
"IDNK","IDNK","IDNK","GO:0046177;GO:0016310;GO:0008150"
"IDO2","IDO2","IDO2","GO:0019441;GO:0002376;GO:0034354;GO:0006569"
"IDS","IDS","IDS","GO:0006027;GO:0030207"
"IDUA","IDUA","IDUA","GO:0006027;GO:0030211;GO:0005984;GO:0030209;GO:0030207"
"IER3IP1","IER3IP1","IER3IP1","GO:0006888;GO:2000269"
"IER5","IER5","IER5","GO:0042127;GO:0034605;GO:1900036;GO:0045944"
"IER5L","IER5L","IER5L","unknown"
"IFI30","IFI30","IFI30","GO:0048147;GO:0060333;GO:0042590;GO:0019886;GO:0050821"
"IFI35","IFI35","IFI35","GO:0034145;GO:0002281;GO:1901223;GO:0050729;GO:0060337;GO:1901224;GO:0008285;GO:0045089"
"IFIH1","IFIH1","IFIH1","GO:0032728;GO:0009615;GO:0016032;GO:0032727;GO:0045087;GO:0032480;GO:0009597;GO:0039530;GO:0032760;GO:0016579;GO:0060760;GO:0016925;GO:0051607;GO:0032755;GO:0071360;GO:0034344;GO:0039528"
"IFIT5","IFIT5","IFIT5","GO:0043123;GO:0045071;GO:0045087;GO:0051607"
"LOC113986375","IFITM3","IFITM3","GO:0034341;GO:0006955;GO:0032897;GO:0035456;GO:0060337;GO:0009615;GO:0046597;GO:0045071;GO:0035455;GO:0051607"
"LOC113986374","IFITM5","IFITM5","GO:0060349;GO:0030282;GO:0001701;GO:0030500"
"IFNAR1","IFNAR1","IFNAR1","GO:0060337;GO:0009615;GO:0035457;GO:0007259;GO:0019221;GO:0032496"
"LOC114002687","IFNAR2","IFNAR2","GO:0060337;GO:0051607;GO:0035456;GO:0007166;GO:0009615;GO:0060338;GO:0035455;GO:0007259;GO:0019221"
"IFNG","IFNG","IFNG","GO:0032722;GO:0051173;GO:0007259;GO:0032834;GO:0032735;GO:0045589;GO:0007050;GO:0050796;GO:0010628;GO:0032731;GO:0032755;GO:0051607;GO:0032760;GO:0048143;GO:1902948;GO:0051044;GO:0033141;GO:2000309;GO:0050769;GO:1903543;GO:0010629;GO:0035722;GO:0032700;GO:0040008;GO:0045672;GO:0006915;GO:0050766;GO:0048662;GO:0051712;GO:0060333;GO:0002281;GO:0002250;GO:0042531;GO:0050729;GO:1902004;GO:1904798;GO:0007166;GO:0001819;GO:1904440;GO:0045348;GO:0006959;GO:0045892;GO:0042307;GO:0045821;GO:0001774;GO:1904783;GO:1901216;GO:0045429;GO:0010508;GO:0150076;GO:0034393;GO:1903078;GO:2000273;GO:0031334;GO:0060334;GO:1901857;GO:0030225;GO:0060550;GO:0009615;GO:0032747;GO:0000122;GO:0060557;GO:0060559;GO:1900222;GO:0090312;GO:0060552;GO:0001934;GO:0008284;GO:0010835;GO:0097191;GO:0010634;GO:0071902;GO:0051770;GO:0030857"
"IFNGR1","IFNGR1","IFNGR1","GO:0009615;GO:0001774;GO:0048143;GO:0060333;GO:0007165;GO:0032760;GO:1902004;GO:0019221;GO:0060334;GO:1900222;GO:0010628"
"IFNGR2","IFNGR2","IFNGR2","GO:0019221;GO:0060334;GO:0060333;GO:0009615;GO:0007166"
"IFNLR1","IFNLR1","IFNLR1","GO:0019221;GO:0051607;GO:0050691;GO:0002385;GO:0008285;GO:0034342"
"IFRD1","IFRD1","IFRD1","GO:0006357;GO:0007518;GO:0007275"
"IFT122","IFT122","IFT122","GO:0001843;GO:0060271;GO:0035735;GO:0048593;GO:0061512;GO:0060173;GO:0042073;GO:0035721;GO:1905515;GO:0035050;GO:0045879;GO:0010172"
"IFT140","IFT140","IFT140","GO:0061512;GO:0021532;GO:0035721;GO:1902017;GO:0042733;GO:0042073;GO:0035845;GO:0007368;GO:0060271;GO:1990403;GO:0031076;GO:0008589;GO:0035735;GO:0007507;GO:1905515;GO:0048701"
"IFT172","IFT172","IFT172","GO:0031122;GO:0001947;GO:0009953;GO:0016485;GO:1905515;GO:0060021;GO:0045879;GO:0001843;GO:0042073;GO:0021522;GO:0048596;GO:0007420;GO:0060271;GO:0008544;GO:0007224;GO:0050680;GO:0060348;GO:0035735;GO:0061525;GO:0045880;GO:0007219;GO:0060173;GO:0070986"
"IFT20","IFT20","IFT20","GO:0007283;GO:0061351;GO:0007224;GO:0060122;GO:0035845;GO:2000785;GO:0001822;GO:0035735;GO:0060828;GO:0055007;GO:0061512;GO:0060271;GO:2000583;GO:0042073;GO:0001736;GO:0045198;GO:1902017;GO:0090102;GO:0036372;GO:0008542;GO:0072659;GO:0051642;GO:0034067"
"IFT22","IFT22","IFT22","GO:0035735;GO:0006886"
"IFT27","IFT27","IFT27","GO:0007283;GO:0090102;GO:0035735;GO:0007224;GO:0060122;GO:0006886;GO:0042073;GO:0001822"
"IFT43","IFT43","IFT43","GO:0060271;GO:0035721;GO:0035735"
"IFT46","IFT46","IFT46","GO:0060271;GO:0042073;GO:0008150;GO:0035735;GO:0050821"
"IFT52","IFT52","IFT52","GO:0007224;GO:0070613;GO:0035720;GO:0050680;GO:0001947;GO:0035735;GO:1905515;GO:0060271;GO:0009953;GO:0042073;GO:0042733;GO:0001841"
"IFT57","IFT57","IFT57","GO:0035735;GO:0007224;GO:0042073;GO:0050680;GO:0006919;GO:0001843;GO:0006915;GO:0060972;GO:1905515;GO:0044458;GO:0001947;GO:0042981"
"IFT74","IFT74","IFT74","GO:0033630;GO:0035735;GO:0007219;GO:0007507;GO:0007368;GO:0045944;GO:0003334;GO:0060271;GO:1905515;GO:0050680"
"IFT80","IFT80","IFT80","GO:0050680;GO:0097500;GO:0035735;GO:2000051;GO:0060173;GO:0060271;GO:0003418;GO:0035630;GO:0061975;GO:1905515;GO:0001958;GO:0033687;GO:0007224;GO:0001649"
"IFT81","IFT81","IFT81","GO:0035735;GO:0060271;GO:0042073;GO:0007283;GO:0008589"
"IFT88","IFT88","IFT88","GO:1905515;GO:0035735;GO:0060271;GO:2000785;GO:0042073;GO:0060122;GO:1902017;GO:0001822"
"IGBP1","IGBP1","IGBP1","GO:0000122;GO:0035303;GO:0070555;GO:0034612;GO:0007165;GO:0060632;GO:0032873;GO:0042113;GO:0043666;GO:0043154"
"IGDCC3","IGDCC3","IGDCC3","GO:0050885"
