"pfil_name","best_annot","dummy_name","GO"
"ABCB11","ABCB1","ABCB1_ah_6","GO:0042493;GO:0090555;GO:0031625;GO:0140328;GO:0099038;GO:0150104;GO:0042910;GO:0070633;GO:0005515;GO:1905039;GO:2001225;GO:0099040;GO:0140115;GO:0070062;GO:1990962;GO:0016324;GO:0005886;GO:0055085;GO:0016020;GO:0000086;GO:0045332;GO:1901529;GO:0022857;GO:0072089;GO:0047484;GO:0015562;GO:0042626;GO:0016021;GO:0090554;GO:0008559;GO:0009986;GO:0005524;GO:0098591;GO:0046943;GO:0005654;GO:0046865;GO:0016887"
"ABCB5","ABCB1","ABCB1_ah_7","GO:0042493;GO:0090555;GO:0031625;GO:0140328;GO:0099038;GO:0150104;GO:0042910;GO:0070633;GO:0005515;GO:1905039;GO:2001225;GO:0099040;GO:0140115;GO:0070062;GO:1990962;GO:0016324;GO:0005886;GO:0055085;GO:0016020;GO:0000086;GO:0045332;GO:1901529;GO:0022857;GO:0072089;GO:0047484;GO:0015562;GO:0042626;GO:0016021;GO:0090554;GO:0008559;GO:0009986;GO:0005524;GO:0098591;GO:0046943;GO:0005654;GO:0046865;GO:0016887"
"LOC113987650","ABCB1","ABCB1_ah_1","GO:0042493;GO:0090555;GO:0031625;GO:0140328;GO:0099038;GO:0150104;GO:0042910;GO:0070633;GO:0005515;GO:1905039;GO:2001225;GO:0099040;GO:0140115;GO:0070062;GO:1990962;GO:0016324;GO:0005886;GO:0055085;GO:0016020;GO:0000086;GO:0045332;GO:1901529;GO:0022857;GO:0072089;GO:0047484;GO:0015562;GO:0042626;GO:0016021;GO:0090554;GO:0008559;GO:0009986;GO:0005524;GO:0098591;GO:0046943;GO:0005654;GO:0046865;GO:0016887"
"LOC113991394","ABCB1","ABCB1_ah_3","GO:0042493;GO:0090555;GO:0031625;GO:0140328;GO:0099038;GO:0150104;GO:0042910;GO:0070633;GO:0005515;GO:1905039;GO:2001225;GO:0099040;GO:0140115;GO:0070062;GO:1990962;GO:0016324;GO:0005886;GO:0055085;GO:0016020;GO:0000086;GO:0045332;GO:1901529;GO:0022857;GO:0072089;GO:0047484;GO:0015562;GO:0042626;GO:0016021;GO:0090554;GO:0008559;GO:0009986;GO:0005524;GO:0098591;GO:0046943;GO:0005654;GO:0046865;GO:0016887"
"LOC113991395","ABCB1","ABCB1_ah_4","GO:0042493;GO:0090555;GO:0031625;GO:0140328;GO:0099038;GO:0150104;GO:0042910;GO:0070633;GO:0005515;GO:1905039;GO:2001225;GO:0099040;GO:0140115;GO:0070062;GO:1990962;GO:0016324;GO:0005886;GO:0055085;GO:0016020;GO:0000086;GO:0045332;GO:1901529;GO:0022857;GO:0072089;GO:0047484;GO:0015562;GO:0042626;GO:0016021;GO:0090554;GO:0008559;GO:0009986;GO:0005524;GO:0098591;GO:0046943;GO:0005654;GO:0046865;GO:0016887"
"LOC113987630","ABCB1","ABCB1_ah_2","GO:0042493;GO:0090555;GO:0031625;GO:0140328;GO:0099038;GO:0150104;GO:0042910;GO:0070633;GO:0005515;GO:1905039;GO:2001225;GO:0099040;GO:0140115;GO:0070062;GO:1990962;GO:0016324;GO:0005886;GO:0055085;GO:0016020;GO:0000086;GO:0045332;GO:1901529;GO:0022857;GO:0072089;GO:0047484;GO:0015562;GO:0042626;GO:0016021;GO:0090554;GO:0008559;GO:0009986;GO:0005524;GO:0098591;GO:0046943;GO:0005654;GO:0046865;GO:0016887"
"ABCB10","ABCB10","ABCB10","GO:0055085;GO:0006839;GO:0042802;GO:0005743;GO:0032592;GO:0042626;GO:0016887;GO:0005524;GO:0005515"
"ABCB6","ABCB6","ABCB6","GO:0016887;GO:0005886;GO:0006779;GO:0020037;GO:0015886;GO:0016021;GO:0043588;GO:0043190;GO:0006879;GO:0031307;GO:0055085;GO:0005829;GO:0000139;GO:0015562;GO:0042626;GO:0005739;GO:0005524;GO:0005794;GO:0005783;GO:0005740;GO:0015439;GO:0070062;GO:0007420;GO:0005774;GO:0035351;GO:0010008;GO:0005741;GO:0005789;GO:0005654;GO:0005768"
"ABCB7","ABCB7","ABCB7","GO:0005743;GO:0016887;GO:0016021;GO:0055085;GO:0015886;GO:0005515;GO:0005524;GO:0042626;GO:0015232;GO:0006879"
"ABCB8","ABCB8","ABCB8","GO:0005515;GO:0005739;GO:0055085;GO:0005524;GO:0031966;GO:0005743;GO:0005654;GO:0005730;GO:0016887;GO:0042626;GO:0043190;GO:0071805;GO:0016021;GO:0062157"
