"pfil_name","best_annot","dummy_name","GO"
"NOCT","NOCT","NOCT","GO:0048255;GO:0010629;GO:0009991;GO:0016311;GO:0046872;GO:0004535;GO:0000175;GO:0006739;GO:0007623;GO:0005654;GO:0032496;GO:0005739;GO:0019178;GO:0045995;GO:0032922;GO:0000932;GO:0033962;GO:0006366;GO:0048471;GO:0003729;GO:0045600;GO:0005634;GO:0005737;GO:0090503;GO:0000290;GO:0042752;GO:0102757;GO:0045668"
"NOD1","NOD1","NOD1","GO:0005829;GO:0005515;GO:0070423;GO:0051092;GO:0035556;GO:0050830;GO:0009595;GO:0070374;GO:0006952;GO:0016323;GO:0050700;GO:0051000;GO:0002221;GO:0043280;GO:0043123;GO:0042981;GO:0042803;GO:0045335;GO:0000187;GO:0046330;GO:0007254;GO:0016045;GO:0002606;GO:0010942;GO:0008656;GO:0006915;GO:0071225;GO:0044877;GO:0045087;GO:0005737;GO:0007165;GO:0070498;GO:0042802;GO:0042834;GO:0006919;GO:0005524;GO:0016324;GO:0032760;GO:0038187;GO:1904417;GO:0006954;GO:0032731;GO:1901224;GO:0042742;GO:0032757;GO:0032755;GO:0046658"
"NODAL","NODAL","NODAL","GO:0001892;GO:0060766;GO:1900224;GO:0045766;GO:0070698;GO:0010085;GO:0001831;GO:0050679;GO:0060391;GO:1901164;GO:0022409;GO:0060137;GO:0005125;GO:0048859;GO:2000036;GO:0030509;GO:1900164;GO:0032927;GO:0005615;GO:0016015;GO:0042074;GO:0060136;GO:0048701;GO:0001893;GO:0010862;GO:0090010;GO:0045944;GO:0009880;GO:0005515;GO:0060802;GO:0048327;GO:0001842;GO:0010575;GO:0060395;GO:0048546;GO:0007420;GO:0048382;GO:0051091;GO:0060460;GO:0001889;GO:0010721;GO:0001947;GO:0070374;GO:0000122;GO:0043280;GO:0019827;GO:0002085;GO:0033505;GO:0001944;GO:0010470;GO:0001890;GO:0008083;GO:1901383;GO:0035987"
"NOG","NOG","NOG","GO:0030514;GO:0042060;GO:0090190;GO:0048570;GO:0030509;GO:0060412;GO:0009953;GO:0048712;GO:0055009;GO:0060272;GO:0019955;GO:0005515;GO:0060513;GO:0060044;GO:0035019;GO:0061384;GO:0060394;GO:0060302;GO:0048318;GO:0042733;GO:2000313;GO:0045944;GO:0060676;GO:0001649;GO:0090193;GO:1905006;GO:0061312;GO:0060825;GO:0005615;GO:0048706;GO:0060325;GO:0045668;GO:0061053;GO:0001707;GO:0003151;GO:0050679;GO:0061626;GO:0060425;GO:2001234;GO:0007399;GO:0042803;GO:0001701;GO:0042474;GO:0001706;GO:0005576;GO:0008045;GO:0003223;GO:0030336;GO:0051216;GO:0090090;GO:0001839;GO:0000122;GO:0001501;GO:0003203;GO:0021510;GO:0061037;GO:0003149;GO:0001837;GO:0001843;GO:0060173;GO:0010628;GO:0021533;GO:0021983"
"LOC113996715","NOG","NOG_pp_1","GO:0030514;GO:0042060;GO:0090190;GO:0048570;GO:0030509;GO:0060412;GO:0009953;GO:0048712;GO:0055009;GO:0060272;GO:0019955;GO:0005515;GO:0060513;GO:0060044;GO:0035019;GO:0061384;GO:0060394;GO:0060302;GO:0048318;GO:0042733;GO:2000313;GO:0045944;GO:0060676;GO:0001649;GO:0090193;GO:1905006;GO:0061312;GO:0060825;GO:0005615;GO:0048706;GO:0060325;GO:0045668;GO:0061053;GO:0001707;GO:0003151;GO:0050679;GO:0061626;GO:0060425;GO:2001234;GO:0007399;GO:0042803;GO:0001701;GO:0042474;GO:0001706;GO:0005576;GO:0008045;GO:0003223;GO:0030336;GO:0051216;GO:0090090;GO:0001839;GO:0000122;GO:0001501;GO:0003203;GO:0021510;GO:0061037;GO:0003149;GO:0001837;GO:0001843;GO:0060173;GO:0010628;GO:0021533;GO:0021983"
"NOL10","NOL10","NOL10","GO:0000462;GO:0003723;GO:0032040;GO:0005730"
"NOL11","NOL11","NOL11","GO:0003723;GO:0005515;GO:0030490;GO:0005654;GO:0005730;GO:0034455;GO:0006364;GO:1901838"
"NOL12","NOL12","NOL12","GO:0005515;GO:0019843;GO:0003723;GO:0042802;GO:0005730"
"NOL4","NOL4","NOL4","GO:0003723;GO:0005730"
"NOL4L","NOL4L","NOL4L","GO:0005515;GO:0005829;GO:0005654"
"NOL6","NOL6","NOL6","GO:0003723;GO:0005730;GO:0005739;GO:0005654;GO:0006364;GO:0032040;GO:0032545;GO:0005515;GO:0034456;GO:0000794;GO:0006409"
"NOL7","NOL7","NOL7","GO:0005515;GO:0005730;GO:0005739;GO:0003723;GO:0005694"
"NOL8","NOL8","NOL8","GO:0005730;GO:0005515;GO:0003723;GO:0005694;GO:1902570;GO:0006364"
"NOL9","NOL9","NOL9","GO:0045111;GO:0003723;GO:0005524;GO:0005634;GO:0006364;GO:0005515;GO:0051731;GO:0005730;GO:0000448;GO:0005654;GO:0016310;GO:0016020;GO:0000460;GO:0006396"
"NOLC1","NOLC1","NOLC1","GO:0003700;GO:0019904;GO:0062064;GO:0005515;GO:0006364;GO:0001650;GO:0015030;GO:0014029;GO:0034512;GO:0000278;GO:0003723;GO:0005525;GO:0008134;GO:0008284;GO:0003677;GO:0031428;GO:0042306;GO:0006970;GO:0005730;GO:0030674;GO:0033979;GO:0014032;GO:0031429;GO:0006417;GO:0008139;GO:0005737;GO:0034513;GO:0005654;GO:0046982;GO:0045893;GO:0062065;GO:0005524;GO:0007000"
"NOM1","NOM1","NOM1","GO:0005730;GO:0005515;GO:0048820;GO:0008150;GO:0042274;GO:0003723"
"LOC114000042","NOMO2","NOMO2","GO:0005789;GO:0005515;GO:0030246;GO:0016021;GO:0032991"
"NONO","NONO","NONO","GO:0005515;GO:0006310;GO:0006397;GO:0007623;GO:0016607;GO:0006281;GO:0005634;GO:0045892;GO:0006355;GO:0003676;GO:0008380;GO:0000398;GO:0042382;GO:0003723;GO:0016020;GO:0000976;GO:0045087;GO:0003682;GO:0016363;GO:0002218;GO:0001650;GO:0042752;GO:0090575;GO:0005654;GO:0042802;GO:1903377"
"NOP10","NOP10","NOP10","GO:0000454;GO:0003723;GO:0005515;GO:0005697;GO:0090661;GO:0005654;GO:0072589;GO:1904874;GO:0031429;GO:0070034;GO:0034513;GO:0031120;GO:0031118;GO:0007004;GO:0001522;GO:0005732;GO:0016604"
"NOP14","NOP14","NOP14","GO:0032040;GO:0000447;GO:0000472;GO:0005654;GO:0000480;GO:0003723;GO:0030515;GO:0000462;GO:0005730;GO:0030490;GO:0030692;GO:0030686;GO:0006364;GO:0016020;GO:0019899;GO:0042274"
"NOP16","NOP16","NOP16","GO:0005730;GO:0003723;GO:0005654;GO:0042273;GO:0043231"
"NOP2","NOP2","NOP2","GO:0005515;GO:0003723;GO:0000027;GO:0008284;GO:0070475;GO:0005730;GO:1901796;GO:0005654;GO:0009383;GO:0001510;GO:0006357;GO:0000470"
"NOP53","NOP53","NOP53","GO:0005515;GO:0042981;GO:0005654;GO:0005730;GO:0002039;GO:0003723;GO:1901837;GO:1903715;GO:1990173;GO:0039535;GO:0032435;GO:0031333;GO:1902570;GO:0008097;GO:0001932;GO:1901797;GO:1901796;GO:0033553;GO:0032436;GO:0006974;GO:0071456;GO:0007095;GO:0000122;GO:0016032;GO:0051898;GO:1903006;GO:0006364;GO:0042802;GO:0000027;GO:0051726;GO:0043231;GO:0005829;GO:0050821;GO:0014067;GO:0006281;GO:0001650"
"NOP56","NOP56","NOP56","GO:0005654;GO:0032040;GO:0016020;GO:0005737;GO:0030515;GO:0006364;GO:0003723;GO:0005730;GO:0005515;GO:0005732;GO:0045296;GO:0001650;GO:0031428;GO:0070761;GO:1990226"
"NOP58","NOP58","NOP58","GO:0015030;GO:0005654;GO:0048254;GO:0005515;GO:0070761;GO:0005730;GO:0006364;GO:0031428;GO:0016020;GO:0051117;GO:0005732;GO:0030515;GO:0001650;GO:0005829;GO:0032040;GO:0003723;GO:0001094"
"NOS1","NOS1","NOS1","GO:0006527;GO:0005739;GO:0006809;GO:0007520;GO:0005515;GO:0016709;GO:0005886;GO:0014069;GO:0020037;GO:0007263;GO:0005737;GO:0051346;GO:0005829;GO:0005634;GO:0016491;GO:0043267;GO:0010523;GO:0018119;GO:0004517;GO:0001666;GO:0042311;GO:0005856;GO:0006936;GO:0012506;GO:0050660;GO:0032991;GO:0048306;GO:0001917;GO:0006941;GO:0016529;GO:0005516;GO:0045893;GO:1902514;GO:0098735;GO:0046870;GO:0032496;GO:0097110;GO:0045454;GO:0043197;GO:0005654;GO:0045944;GO:0045776;GO:0042383;GO:0031284;GO:1902307;GO:0034618;GO:0055117;GO:0071944;GO:0017080;GO:1990425;GO:0042136;GO:0035066;GO:0051926;GO:0050661;GO:0071363;GO:0033555;GO:0044325;GO:1903779;GO:0034617;GO:0009408;GO:0060314;GO:0045121;GO:0098924;GO:0033138;GO:0051612;GO:0010181;GO:0009725;GO:0042738;GO:0002028;GO:0045202;GO:0048471"
"NOS1AP","NOS1AP","NOS1AP","GO:1990454;GO:0060307;GO:0005739;GO:0033017;GO:0003062;GO:0098978;GO:1902514;GO:1901841;GO:0042383;GO:0005829;GO:0010628;GO:0005515;GO:0051000;GO:0031965;GO:0098901;GO:1902261;GO:0030315;GO:0050999;GO:1902937;GO:1901381;GO:0050998;GO:0005901;GO:0098974;GO:0030018;GO:0045428;GO:0048471;GO:0010750;GO:0005634;GO:1903762;GO:0045429;GO:2000170"
"LOC113998505","NOS1AP","NOS1AP_pp_1","GO:1990454;GO:0060307;GO:0005739;GO:0033017;GO:0003062;GO:0098978;GO:1902514;GO:1901841;GO:0042383;GO:0005829;GO:0010628;GO:0005515;GO:0051000;GO:0031965;GO:0098901;GO:1902261;GO:0030315;GO:0050999;GO:1902937;GO:1901381;GO:0050998;GO:0005901;GO:0098974;GO:0030018;GO:0045428;GO:0048471;GO:0010750;GO:0005634;GO:1903762;GO:0045429;GO:2000170"
"NOS2","NOS2","NOS2","GO:0032496;GO:0050660;GO:0034618;GO:0032310;GO:0032635;GO:0071222;GO:0005634;GO:0001912;GO:0020037;GO:1900015;GO:0019221;GO:0050796;GO:0004517;GO:0032637;GO:0042742;GO:0051712;GO:0042127;GO:0045776;GO:0034617;GO:0035690;GO:0031284;GO:0005829;GO:0012506;GO:0006527;GO:0016491;GO:0016709;GO:0002227;GO:0005737;GO:0050829;GO:0005515;GO:0048471;GO:0006809;GO:0009725;GO:0071346;GO:0005516;GO:0005782;GO:0050661;GO:0005777;GO:0018119;GO:0009617;GO:0001666;GO:0007623;GO:0006625;GO:0010181;GO:0043457;GO:0046872;GO:0006801;GO:0006954;GO:0010629;GO:0042177;GO:0042803;GO:0007263;GO:0030863;GO:0045454;GO:0005886"
"NOS3","NOS3","NOS3","GO:0050660;GO:0042311;GO:0012506;GO:0005515;GO:0010628;GO:0020037;GO:0010181;GO:0005901;GO:0006527;GO:0010544;GO:0009408;GO:0048873;GO:0006809;GO:0004517;GO:0034405;GO:0031284;GO:0050999;GO:1902042;GO:0008285;GO:0045766;GO:0046870;GO:0007263;GO:0008217;GO:0019430;GO:0016709;GO:0043536;GO:0005886;GO:0005634;GO:0007005;GO:0070168;GO:0014806;GO:0009725;GO:0003180;GO:0000139;GO:0045454;GO:0014740;GO:0005794;GO:0001974;GO:0045747;GO:0016491;GO:0030666;GO:0003184;GO:0005737;GO:0005829;GO:0032496;GO:0005856;GO:0043542;GO:0050661;GO:0031644;GO:0003785;GO:0097746;GO:0003100;GO:0005516;GO:0034618;GO:0003203;GO:0045776;GO:0034617"
"NOSIP","NOSIP","NOSIP","GO:0005829;GO:0016567;GO:0005654;GO:0005515;GO:0005737;GO:0003723;GO:0007275;GO:0005634;GO:0051001;GO:0000139;GO:0050999;GO:0043086;GO:0061630"
"NOTCH1","NOTCH1","NOTCH1","GO:0003180;GO:0045668;GO:0046427;GO:0005576;GO:0046533;GO:0001669;GO:0005886;GO:0003157;GO:0048103;GO:0007219;GO:0045892;GO:0035914;GO:0002040;GO:0001837;GO:0007283;GO:0000139;GO:0003151;GO:0045747;GO:0003160;GO:0003169;GO:0001701;GO:0045955;GO:0048754;GO:0005515;GO:0045608;GO:0046579;GO:0002052;GO:0002193;GO:0005829;GO:0045603;GO:0007221;GO:0048711;GO:0006367;GO:0045070;GO:0005654;GO:0001708;GO:0002437;GO:0035924;GO:0005509;GO:0005634;GO:0097150;GO:0031960;GO:1902339;GO:0045967;GO:0045944;GO:0005789;GO:0035116;GO:0031490;GO:0045662;GO:0007411;GO:0000122;GO:0120163;GO:0001889;GO:0042246;GO:0048709;GO:0043086;GO:0043235;GO:0060768;GO:0021915;GO:0019899;GO:0003713;GO:0070168;GO:0045618;GO:0042802;GO:0003162;GO:0060843;GO:0003182;GO:1901201;GO:0032496;GO:0050679;GO:0001947;GO:0060045;GO:0072144;GO:0070986;GO:0060271;GO:0005112;GO:0061314;GO:0060038;GO:0014031;GO:0060411;GO:0021515;GO:0061419;GO:0031100;GO:0016021;GO:0045893;GO:0030513;GO:2000737;GO:0060354;GO:0072017;GO:0010629;GO:0055008;GO:0006955;GO:2000048;GO:0004888;GO:2000811;GO:2000974;GO:0003344;GO:0009986;GO:0030279;GO:0030335;GO:0071372;GO:0060528;GO:0007492;GO:0010812;GO:1903849;GO:0050768;GO:0030514;GO:0061384;GO:0009912;GO:0007368;GO:0016324;GO:0014807;GO:2001027;GO:0030900;GO:0003256;GO:0003252;GO:0070374;GO:0060982;GO:0048873;GO:0031069;GO:0032495;GO:0090090;GO:0003273;GO:0003241;GO:0060948;GO:0090051;GO:0060979;GO:0004857;GO:0030216;GO:1902263;GO:0030324;GO:0060253;GO:0060740;GO:0072044;GO:0060317;GO:0008284;GO:0035148;GO:0010628;GO:0005912;GO:0003222;GO:0060842;GO:0003203;GO:0007507;GO:0010614;GO:0008285;GO:0003219;GO:0010832;GO:0006355;GO:0003213;GO:0060412;GO:0007386;GO:0003332;GO:0048708;GO:0048715;GO:0003208;GO:0003270;GO:0060956;GO:0007440;GO:0062043;GO:0003184;GO:0003192;GO:0003207;GO:0003181;GO:0003198;GO:0003209;GO:0007050;GO:0003214;GO:0006959"
"NOTCH2","NOTCH2","NOTCH2","GO:0007219;GO:0060413;GO:0046849;GO:0001701;GO:0007411;GO:0005886;GO:0000139;GO:0005576;GO:2001204;GO:0005634;GO:0005654;GO:0005509;GO:0005515;GO:0000122;GO:0043235;GO:0046579;GO:0002437;GO:0001709;GO:0002011;GO:0042060;GO:0030513;GO:0001947;GO:0070374;GO:0002315;GO:0072015;GO:0072014;GO:0070986;GO:0043066;GO:0006915;GO:0005789;GO:2000249;GO:0061073;GO:0072104;GO:0061314;GO:0045967;GO:0035264;GO:0030097;GO:0006367;GO:0009887;GO:0009986;GO:0060674;GO:0038023;GO:0019899;GO:1990705;GO:0043065;GO:0005887;GO:0010629;GO:0003184;GO:0035622;GO:0072574;GO:0016020;GO:0006959;GO:0007399;GO:0005929;GO:0043011;GO:0051059;GO:0030326;GO:0045672;GO:0007050;GO:0019827;GO:0042742;GO:0010838;GO:0007275"
"NOTUM","NOTUM","NOTUM","GO:1990699;GO:0043687;GO:0090090;GO:1990697;GO:0005788;GO:0004629;GO:0005515;GO:0044267;GO:0005576;GO:0016055;GO:0030178"
"NOVA1","NOVA1","NOVA1","GO:0003723;GO:0007268;GO:0005634;GO:0005515;GO:0008380;GO:0005730;GO:0007626;GO:0043231;GO:0005654;GO:0010468;GO:0005737;GO:0051252;GO:0045202;GO:0120163;GO:0003729;GO:0000398;GO:0006396;GO:0000381"
"NOX1","NOX1","NOX1","GO:0005515;GO:0050661;GO:0001525;GO:0005244;GO:0005769;GO:0005886;GO:1990451;GO:0030198;GO:0016175;GO:0003081;GO:0042554;GO:0034765;GO:0006954;GO:0030054;GO:0034220;GO:0046330;GO:0031267;GO:0072592;GO:0051454;GO:0045726;GO:0071455;GO:0042743;GO:0016477;GO:0010575;GO:0043020;GO:0007165;GO:0048661;GO:0006952;GO:0006739;GO:0046872;GO:1902177;GO:0008217;GO:0045730;GO:0008284"
"NOX3","NOX3","NOX3","GO:0009590;GO:0005886;GO:0048840;GO:0005737;GO:0070062;GO:0043020;GO:0001659;GO:0005515;GO:0042554;GO:0016175;GO:0006952"
"NOX4","NOX4","NOX4","GO:0000902;GO:0009055;GO:2000379;GO:1990782;GO:0072593;GO:0008285;GO:0061098;GO:0043065;GO:0042554;GO:0005886;GO:0006801;GO:0003015;GO:0016175;GO:0097038;GO:0071560;GO:0043020;GO:1903409;GO:0006954;GO:0016324;GO:0020037;GO:0022900;GO:0072341;GO:0005925;GO:0001725;GO:0000166;GO:0005730;GO:0071320;GO:0019826;GO:0001666;GO:0050667;GO:0010467;GO:0016021;GO:0048471;GO:0005634;GO:0050660;GO:0007569;GO:0034599;GO:0005515;GO:0016174;GO:0005789;GO:0071480;GO:0051496;GO:0006952;GO:0014911;GO:0005739;GO:0005654"
"NOX5","NOX5","NOX5","GO:1902600;GO:0016021;GO:0050660;GO:0015252;GO:0005509;GO:0001935;GO:0050661;GO:0034599;GO:0005789;GO:0043012;GO:0005886;GO:0042554;GO:0016175;GO:0061640;GO:0001816;GO:0000293;GO:0033215;GO:0006915;GO:0001525;GO:0020037"
"NOXA1","NOXA1","NOXA1","GO:0016176;GO:0031267;GO:0042554;GO:0005829;GO:0006801;GO:0019899;GO:0005515;GO:0050790;GO:0060263;GO:0010310;GO:0043020;GO:0017124"
"NOXO1","NOXO1","NOXO1","GO:0005515;GO:0005737;GO:0019899;GO:0060263;GO:0022617;GO:0010310;GO:0060090;GO:0006801;GO:0016176;GO:0005886;GO:0050790;GO:0043020;GO:0005543"
"NOXRED1","NOXRED1","NOXRED1","GO:0008150;GO:0055129;GO:0004735;GO:0003674;GO:0005575"
"NPAS2","NPAS2","NPAS2","GO:0051879;GO:0042493;GO:0019216;GO:0000981;GO:0006974;GO:0045944;GO:2000987;GO:0000785;GO:0045893;GO:0005515;GO:0005829;GO:0005654;GO:0006357;GO:2001020;GO:0046872;GO:0051775;GO:0000978;GO:0007417;GO:0005667;GO:1990513;GO:0046983;GO:0032922;GO:0003700;GO:0003677;GO:0005634;GO:1990837;GO:0045739;GO:0007623;GO:0060548"
"NPAS3","NPAS3","NPAS3","GO:0000785;GO:0000981;GO:0000977;GO:0006357;GO:0045893;GO:0046982;GO:0005654"
"LOC113999457","NPAS4","NPAS4_ah_1","GO:0045944;GO:0000981;GO:0005667;GO:0000785;GO:0044877;GO:0035176;GO:0060079;GO:0071386;GO:0001228;GO:0030154;GO:0007614;GO:0032228;GO:0046982;GO:0060080;GO:0098794;GO:1904862;GO:0005515;GO:0048167;GO:0000977;GO:0006357;GO:0005634;GO:0007612;GO:0007616;GO:0000978"
"LOC113999497","NPAS4","NPAS4_ah_2","GO:0045944;GO:0000981;GO:0005667;GO:0000785;GO:0044877;GO:0035176;GO:0060079;GO:0071386;GO:0001228;GO:0030154;GO:0007614;GO:0032228;GO:0046982;GO:0060080;GO:0098794;GO:1904862;GO:0005515;GO:0048167;GO:0000977;GO:0006357;GO:0005634;GO:0007612;GO:0007616;GO:0000978"
"LOC113983538","NPAT","NPAT","GO:0003712;GO:0045893;GO:0003713;GO:0015030;GO:0005634;GO:0005515;GO:0097504;GO:0005654;GO:0003714;GO:0000083;GO:0045892;GO:0045944;GO:0008022;GO:0001701;GO:0010468;GO:0005737"
"NPB","NPB","NPB","GO:0001664;GO:0007631;GO:0005515;GO:0007186;GO:0005576;GO:0007218"
"NPBWR1","NPBWR1","NPBWR1","GO:0005886;GO:0008188;GO:0045202;GO:0007186;GO:0038003;GO:0004930;GO:0005515;GO:0019222;GO:0005887;GO:0042923;GO:0016021;GO:0007218;GO:0043005;GO:0007268;GO:0004985;GO:0042277"
"NPBWR2","NPBWR2","NPBWR2","GO:0007186;GO:0005886;GO:0005515;GO:0038003;GO:0007218;GO:0004930;GO:0016021;GO:0004985;GO:0005887;GO:0008188;GO:0042277;GO:0043005;GO:0042923"
"NPC1","NPC1","NPC1","GO:0046718;GO:0005794;GO:0004888;GO:0042632;GO:0015248;GO:0071404;GO:0034383;GO:0032367;GO:0005515;GO:0006486;GO:0071383;GO:1905103;GO:0001618;GO:0090150;GO:0005765;GO:0033344;GO:0070062;GO:0007628;GO:0046686;GO:0005887;GO:0031902;GO:0006914;GO:0005635;GO:0016021;GO:0006897;GO:0007041;GO:0008203;GO:0015485;GO:0060548;GO:0005764;GO:0031579;GO:0048471;GO:0016020;GO:0016242;GO:0030301;GO:0005576;GO:0005783;GO:0008206;GO:0038023;GO:0042493;GO:0045121"
"NPC1L1","NPC1L1","NPC1L1","GO:0016324;GO:0005515;GO:0030301;GO:0031267;GO:0008144;GO:0030659;GO:0042493;GO:0014850;GO:0031489;GO:0006695;GO:0031526;GO:0005886;GO:0044214;GO:0071501;GO:0030299;GO:0042157;GO:0098856"
"NPC2","NPC2","NPC2","GO:0015485;GO:0032367;GO:0015914;GO:0035578;GO:0042632;GO:0120009;GO:0009615;GO:0005515;GO:0005783;GO:0070062;GO:0030301;GO:0019747;GO:0034383;GO:0015918;GO:0005576;GO:0005615;GO:0043202;GO:0120020;GO:0033344;GO:0005764;GO:0043312;GO:0008203;GO:0019899;GO:0032366;GO:0046836;GO:0032934"
"NPDC1","NPDC1","NPDC1","GO:0005515;GO:0050776;GO:0016021;GO:0005886"
"NPEPL1","NPEPL1","NPEPL1","GO:0005634;GO:0030145;GO:0070006;GO:0006508;GO:0005737"
"LOC113983988","NPEPPS","NPEPPS_ah_2","GO:0070062;GO:0043171;GO:0004177;GO:0042277;GO:0006508;GO:0000209;GO:0071456;GO:0005634;GO:0005737;GO:0005829;GO:0008270;GO:0070006;GO:1903955"
"LOC113987171","NPEPPS","NPEPPS_ah_1","GO:0070062;GO:0043171;GO:0004177;GO:0042277;GO:0006508;GO:0000209;GO:0071456;GO:0005634;GO:0005737;GO:0005829;GO:0008270;GO:0070006;GO:1903955"
"NPFFR1","NPFFR1","NPFFR1","GO:0004930;GO:0005929;GO:0005515;GO:0008150;GO:0007186;GO:0008188;GO:0005886;GO:0042277;GO:0007218;GO:0005887"
"NPFFR2","NPFFR2","NPFFR2","GO:0004930;GO:0045761;GO:0031628;GO:0009582;GO:0042277;GO:0005886;GO:0005887;GO:2000479;GO:0015629;GO:0007186;GO:0008188;GO:0043408;GO:0007218"
"LOC113996397","NPHP1","NPHP1_pp_1","GO:0007588;GO:0005912;GO:1903348;GO:0005515;GO:0005923;GO:0005856;GO:0097711;GO:0030036;GO:0005829;GO:0090251;GO:0016020;GO:0007165;GO:0048515;GO:0005737;GO:0098609;GO:0032391;GO:0060041;GO:0005929;GO:0031514;GO:0005911;GO:0005198;GO:0007632;GO:0030030"
"NPHP1","NPHP1","NPHP1","GO:0007588;GO:0005912;GO:1903348;GO:0005515;GO:0005923;GO:0005856;GO:0097711;GO:0030036;GO:0005829;GO:0090251;GO:0016020;GO:0007165;GO:0048515;GO:0005737;GO:0098609;GO:0032391;GO:0060041;GO:0005929;GO:0031514;GO:0005911;GO:0005198;GO:0007632;GO:0030030"
"NPHP3","NPHP3","NPHP3","GO:2000167;GO:0007368;GO:0030324;GO:0071908;GO:0072189;GO:2000095;GO:0005929;GO:0016055;GO:0060027;GO:0035469;GO:0005515;GO:0045494;GO:0090090;GO:0071910;GO:0005576;GO:0071909;GO:0060271;GO:0060993;GO:0048496;GO:0060287;GO:0001822;GO:0001947;GO:0003283;GO:0005829"
"NPHP4","NPHP4","NPHP4","GO:0005654;GO:0005911;GO:0097730;GO:0060041;GO:0030036;GO:0097711;GO:0005829;GO:0005515;GO:0007165;GO:0030317;GO:0005813;GO:0035869;GO:0005923;GO:0043231;GO:1903348;GO:0007632;GO:0035329;GO:0035845;GO:0097546;GO:0045494;GO:0090090;GO:1904491;GO:0120206;GO:0098609;GO:0005198;GO:0036064;GO:0016604;GO:0097470"
"NPHS2","NPHS2","NPHS2","GO:0036057;GO:0070062;GO:0005783;GO:0072249;GO:0005515;GO:0005911;GO:0031235;GO:0005887;GO:0031532;GO:0032991;GO:0005886;GO:0007588;GO:0045121"
"NPL","NPL","NPL","GO:0008747;GO:0019262;GO:0005829;GO:0042802;GO:0005515;GO:0005975"
"NPLOC4","NPLOC4","NPLOC4","GO:0046872;GO:0042175;GO:0005515;GO:0007030;GO:0005783;GO:0006511;GO:0043130;GO:0034098;GO:0030433;GO:0039536;GO:0005634;GO:0032480;GO:0031625;GO:0005654;GO:0036501;GO:0030970;GO:0070987;GO:0005829"
"LOC113995944","NPM1","NPM1_pp_1","GO:0007098;GO:0045944;GO:0005813;GO:0005515;GO:0007569;GO:0005730;GO:0019901;GO:0043024;GO:0032071;GO:0008285;GO:0051092;GO:0005829;GO:0042255;GO:0010826;GO:0005654;GO:0043066;GO:0016020;GO:0008104;GO:0005737;GO:0006357;GO:0034080;GO:0034644;GO:0060735;GO:0006913;GO:0016032;GO:0005634;GO:0042274;GO:0008284;GO:0046599;GO:0007165;GO:0051059;GO:0000056;GO:1990904;GO:0042803;GO:0006886;GO:0042273;GO:0031616;GO:0008134;GO:0006407;GO:0032991;GO:0000055;GO:0005925;GO:0042393;GO:1902751;GO:0010824;GO:0006334;GO:1902629;GO:0060699;GO:0032993;GO:0043023;GO:0006281;GO:0045893;GO:0045727;GO:0051082;GO:0003713;GO:0003723;GO:0004860;GO:0006338;GO:0033613;GO:0030957;GO:0044387;GO:0001046;GO:0003682"
"NPM1","NPM1","NPM1","GO:0007098;GO:0045944;GO:0005813;GO:0005515;GO:0007569;GO:0005730;GO:0019901;GO:0043024;GO:0032071;GO:0008285;GO:0051092;GO:0005829;GO:0042255;GO:0010826;GO:0005654;GO:0043066;GO:0016020;GO:0008104;GO:0005737;GO:0006357;GO:0034080;GO:0034644;GO:0060735;GO:0006913;GO:0016032;GO:0005634;GO:0042274;GO:0008284;GO:0046599;GO:0007165;GO:0051059;GO:0000056;GO:1990904;GO:0042803;GO:0006886;GO:0042273;GO:0031616;GO:0008134;GO:0006407;GO:0032991;GO:0000055;GO:0005925;GO:0042393;GO:1902751;GO:0010824;GO:0006334;GO:1902629;GO:0060699;GO:0032993;GO:0043023;GO:0006281;GO:0045893;GO:0045727;GO:0051082;GO:0003713;GO:0003723;GO:0004860;GO:0006338;GO:0033613;GO:0030957;GO:0044387;GO:0001046;GO:0003682"
"NPM2","NPM2","NPM2","GO:0042393;GO:0051054;GO:0005730;GO:0005515;GO:0007096;GO:0045836;GO:0005634;GO:0045740;GO:0042802;GO:0009994;GO:0019899;GO:0001824;GO:0005737;GO:0006338;GO:0003682;GO:0005654;GO:0007338;GO:0000785;GO:0043085;GO:0003723"
"NPM3","NPM3","NPM3","GO:0015629;GO:0005515;GO:0042393;GO:0005737;GO:0003723;GO:0005730;GO:0006338;GO:0005654;GO:0006364;GO:0003682;GO:0009303;GO:0005829"
"NPNT","NPNT","NPNT","GO:0062023;GO:0070062;GO:0010811;GO:0005576;GO:0070374;GO:0007160;GO:0005201;GO:0016020;GO:0001658;GO:0071356;GO:0001657;GO:0030198;GO:0030154;GO:0005178;GO:0045669;GO:0033631;GO:0005509"
"LOC113995868","NPPA","NPPA","GO:0060372;GO:0051427;GO:1903766;GO:0007168;GO:0006182;GO:0060452;GO:0005634;GO:0005576;GO:0005515;GO:0007565;GO:1902514;GO:1903779;GO:0062023;GO:0035994;GO:0043508;GO:0005184;GO:1902261;GO:1901841;GO:0005615;GO:0019934;GO:0003180;GO:0005179;GO:0003085;GO:0071855;GO:0042995;GO:0042311;GO:0007218;GO:0043204;GO:0005102;GO:0008217;GO:0006457;GO:0044267;GO:0010460;GO:0032991;GO:0006367;GO:0005737"
