"gene","moduleColor","best_anno","display_gene_ID","MM.black","MM.blue","MM.brown","MM.grey","MM.grey60","MM.lightcyan","MM.lightgreen","MM.magenta","MM.midnightblue","MM.pink","MM.turquoise"
"LOC113986086","pink","COPZ1","LOC113986086 (COPZ1)",0.611123479208196,-0.909152566684004,-0.882773078747239,-0.106433506176991,-0.545584362541874,-0.590482158560955,-0.37107241920922,-0.225274382394447,-0.0949823665251924,0.958169831088488,0.723402437887178
"LOC113986114","turquoise","LOC113986114","LOC113986114",-0.00178730892021258,-0.542988263294719,-0.94842418543904,-0.00775833285414296,-0.285856346517013,-0.742312799404051,-0.162914965011025,-0.786624699929331,0.529210465074098,0.756310966060948,0.988775455256157
"LOC113986121","midnightblue","DNMT1","LOC113986121 (DNMT1)",-0.827961239261544,0.553671819138135,-0.0194237502787499,-0.178950023417727,0.287344980754288,-0.413584647503442,0.269873695551263,-0.718474372064402,0.868958788617139,-0.33795166907579,0.286635392911759
"LOC113986135","turquoise","LOC113986135","LOC113986135",-0.0786867286411787,-0.471466449065977,-0.909609951522171,-0.0516924236135538,-0.271932827156181,-0.7484896340934,-0.0931104313393677,-0.817100995985454,0.584611593483598,0.691743688588584,0.971250475958742
"LOC113986139","turquoise","LOC113986139","LOC113986139",-0.306304734642293,-0.182769761752486,-0.694921173909814,-0.199336490787126,-0.121953969086359,-0.819930597609112,0.0563567165808182,-0.84168077647109,0.731194614438487,0.415943613823183,0.818922325021634
"LOC113986140","turquoise","LOC113986140","LOC113986140",-0.446638131862968,-0.0338071298522961,-0.595595012118475,-0.247939943906225,-0.035829597056938,-0.78748871297481,0.0913861166275852,-0.877451669568664,0.817368351560203,0.277155889415702,0.761133004173748
"LOC113986143","turquoise","KAT8","LOC113986143 (KAT8)",-0.460806014354904,-0.049065104710513,-0.631804452776601,-0.217852228476463,-0.0393051674456986,-0.769475360234889,0.0711729023348536,-0.91506391291581,0.842925939835678,0.304186737813109,0.805030339064098
"LOC113986146","blue","CYP39A1","LOC113986146 (CYP39A1)",-0.235120667248852,0.349121126406671,0.344333513539629,0.243558331718517,0.321526294451417,0.27191745263967,0.336381115967302,0.0957998288472206,0.0183081175835178,-0.38078570329171,-0.293166092910071
"LOC113986160","turquoise","TBC1D12","LOC113986160 (TBC1D12)",-0.555041525571932,0.137786811992254,-0.405800410343344,-0.0334445814330527,0.264464902744478,-0.412415827533505,-0.0895945143472677,-0.801026621890306,0.784888647606613,0.0974782197569981,0.603780041579303
"LOC113986170","pink","COX6C","LOC113986170 (COX6C)",0.785550652008288,-0.913877756982159,-0.682985787273755,0.144540047055867,-0.374406242197413,-0.205140029921987,-0.558424084989036,0.0913602519617214,-0.414915615322879,0.883645641285614,0.462979895721925
"LOC113986178","blue","IMPDH1","LOC113986178 (IMPDH1)",-0.899416291817387,0.724936311440629,0.206817438208933,-0.180644033812508,0.410724414198878,-0.19008975696979,0.359686481093974,-0.585770660344365,0.798386280925816,-0.544382779450573,0.0753253002144644
"LOC113986179","turquoise","LOC113986179","LOC113986179",-0.0289115950296114,-0.516315686204615,-0.935478991796723,-0.0142648356627775,-0.259923418258995,-0.746332828216785,-0.173812630593788,-0.799711723435554,0.551291134445035,0.735099651741659,0.984228702024966
"LOC113986181","turquoise","LOC113986181","LOC113986181",-0.0298654077270912,-0.523910816344857,-0.948108973662283,0.000920961831239473,-0.274206058003927,-0.753253455474684,-0.152838289804848,-0.810020917472421,0.554058186737342,0.744562680380286,0.997609842664511
"LOC113986199","black","UGT8","LOC113986199 (UGT8)",0.917651973018416,-0.742608846895241,-0.215515227907383,-0.250532353823027,-0.419552331962236,0.0466905534825784,-0.455056723329438,0.58577889874288,-0.759336097963201,0.546896374453498,-0.0737291500641153
"LOC113986219","brown","TMEM136","LOC113986219 (TMEM136)",-0.468926509325187,0.825948124270566,0.885064415444054,-0.0804016809155358,0.64249175982301,0.4948926066648,0.139388148924362,0.329904878674731,-0.000238436101491381,-0.905963587949599,-0.769216319265778
"LOC113986221","brown","GRIK4","LOC113986221 (GRIK4)",-0.41564777914027,0.812856344646902,0.920980366957541,-0.238219222052563,0.341294943804777,0.410337842386927,0.372352622936922,0.405515462469815,-0.0637232921374628,-0.919178274702612,-0.825490449958477
"LOC113986226","turquoise","CR1","LOC113986226 (CR1)",0.27327811030865,-0.629120879944934,-0.786563711589996,0.0314966857123522,-0.267734284635799,-0.600743096087877,-0.275414241127217,-0.431612195015951,0.189684716851816,0.732497462503685,0.729317720585411
"LOC113986238","magenta","C4BPA","LOC113986238 (C4BPA)",0.633513373501257,-0.191456562593044,0.414143408875834,-0.107687679753406,-0.377313071039669,0.459469144448743,0.117845252444928,0.882128987146273,-0.862714652430973,-0.0722530503344569,-0.643294986372221
"LOC113986242","brown","LOC113986242","LOC113986242",-0.250975287871294,0.5855595346399,0.703147714917367,-0.367897293521847,0.167870886759372,0.240277960239532,0.217096766505812,0.356534615749564,-0.0946901752956276,-0.670510056806194,-0.646421844604402
"LOC113986256","blue","PLXNA2","LOC113986256 (PLXNA2)",-0.670948186565137,0.95901456031506,0.879525607534617,-0.0375469446298672,0.519863314652393,0.413170199298489,0.439219080907441,0.163204385621742,0.183763867381048,-0.983510740547353,-0.699318185675887
"LOC113986257","brown","CD34","LOC113986257 (CD34)",-0.323954560029461,0.651949123708854,0.741080696070648,0.0704726394319092,0.580088880027707,0.43898001349609,0.126497849335041,0.331481370434115,-0.0690865195173696,-0.732297416992968,-0.670272712108363
"LOC113986275","blue","ARAP1","LOC113986275 (ARAP1)",-0.782865267961619,0.839438619138967,0.524291454848007,-0.106231325189165,0.277060349704374,0.00554907320695233,0.515046469154082,-0.233971270923311,0.510959640629662,-0.748848346314783,-0.285330120125345
