"gene","moduleColor","best_anno","display_gene_ID","MM.black","MM.blue","MM.brown","MM.grey","MM.grey60","MM.lightcyan","MM.lightgreen","MM.magenta","MM.midnightblue","MM.pink","MM.turquoise"
"ATP2A3","brown","ATP2A3","ATP2A3",0.764959170281126,5.78091627778888e-05,1.3139733545711e-19,0.311212555720356,0.00416846148282203,1.75490262899226e-09,0.486539025119048,4.62463472409492e-12,3.3959897693797e-05,1.08560292295164e-09,4.71964636678034e-23
"ATP2B1","brown","ATP2B1","ATP2B1",1.57728104424185e-05,5.77094341562678e-24,5.63389120830397e-41,0.65298473173884,1.55565109064518e-05,3.46319228836018e-09,0.00736604718742247,0.000916176401145123,0.645237608511358,8.05723206421256e-44,5.4658064162385e-20
"ATP2B2","brown","ATP2B2","ATP2B2",0.0100256452650175,7.93824824294178e-15,2.08244596391454e-54,0.904175723608378,2.76849576389325e-05,8.29916560509095e-12,0.0517796517305347,4.32446943479019e-07,0.0368461866206018,3.82229123414278e-28,6.43222693406385e-31
"ATP2B4","blue","ATP2B4","ATP2B4",9.17511139126593e-10,8.77187827669648e-37,1.27827470107564e-24,0.626076801181589,4.49404891621152e-07,0.000111589305987141,0.00586016399897717,0.13249462452916,0.16348531124442,3.24181473690135e-49,6.58679031697849e-12
"ATP2C1","turquoise","ATP2C1","ATP2C1",0.343864662514952,0.000144441755428536,2.43329291001473e-25,0.770250188740688,0.0225557611445817,5.2891600998166e-12,0.523179831014392,3.18324967516685e-19,3.07778748701993e-08,2.99922517539436e-10,1.03229292648542e-43
"ATP2C2","black","ATP2C2","ATP2C2",4.58606945032302e-34,7.21143568271043e-12,0.294816104985032,0.110777332495607,0.000300427098669006,0.200924872407343,0.000474521037179819,7.29062685655034e-11,4.37878018134149e-20,1.69072943275183e-05,0.148857331414379
"ATP5F1A","turquoise","ATP5F1A","ATP5F1A",0.106623028162252,1.47280350008926e-06,9.99134690749451e-14,0.286770659629368,0.320566527527908,6.41243389350012e-11,0.0056899292718939,3.49743288771092e-05,0.025553929611859,1.24867913239707e-10,1.77908872076668e-12
"ATP5F1B","blue","ATP5F1B","ATP5F1B",1.28699734843212e-07,3.11089083258208e-08,0.00457395393599127,0.524229498501251,2.34248742618568e-06,0.417599713118044,0.222174071564353,0.0556559719253287,8.0798804933682e-05,3.21221118812091e-06,0.173514116029191
"ATP5F1C","pink","ATP5F1C","ATP5F1C",1.04182725650167e-09,5.14971021274324e-28,1.34093377581684e-19,0.772018305689034,0.000260319616696442,0.000145621440338795,3.3107011649441e-05,0.210435730063697,0.133598980821293,7.64677481621939e-36,2.74722811938484e-10
"ATP5F1D","black","ATP5F1D","ATP5F1D",2.16491764023563e-21,8.41835564402837e-06,0.350546046516333,0.850557924655481,0.324614495386624,0.00145614697827651,3.91666213528963e-06,3.33962352525488e-17,7.02119610624487e-26,0.0237089560081865,0.000737176396282857
