"gene","moduleColor","best_anno","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"AARS2","turquoise","AARS2","AARS2",0.0479096908717048,0.693691705523585,-0.0406381796873296,0.738364891696214,-0.0987344295212647,0.416110741059514
"AASDH","brown","AASDH","AASDH",0.0730598025665335,0.54779997080504,0.21630776921865,0.072092622360695,-0.0591104246730277,0.626914768171534
"AASDHPPT","pink","AASDHPPT","AASDHPPT",-0.183911036289868,0.12749957417668,-0.183220995908431,0.128959129744789,0.151371639123625,0.210976489990199
"AASS","blue","AASS","AASS",0.10827902166531,0.3722629027638,0.128353258727093,0.289630749672581,-0.0894101225786337,0.4616908294833
"AATF","black","AATF","AATF",-0.205330324677953,0.0881560926376521,0.0290840992563565,0.811102362317971,0.182964628731427,0.129504612492192
"AATK","blue","AATK","AATK",0.00945997665940391,0.938047247628511,0.0433200991474495,0.72177827992192,0.0144743619137519,0.905333280962232
"ABAT","brown","ABAT","ABAT",-0.041743220406979,0.731515721115732,-0.0105286987768449,0.931064445662327,-0.0281879040003159,0.816820340719934
"ABCA1","blue","ABCA1","ABCA1",-0.0435137010623992,0.720585758083977,0.0433055789820838,0.721867745893753,-0.0262632816206652,0.829131873876174
"ABCA12","turquoise","ABCA12","ABCA12",0.0539174928253182,0.657544172926837,0.0728336770577371,0.549043000408752,0.141249860964465,0.243468498949302
"ABCA13","pink","ABCA13","ABCA13",0.000863302771789951,0.994340768245415,-0.0363857067263552,0.764907753303668,-0.0249938305669998,0.837275081854179
"ABCA2","blue","ABCA2","ABCA2",0.0129497567119022,0.915265759776576,0.0579057272171445,0.633967057360756,0.0310809395907794,0.798397753998658
"ABCA3","brown","ABCA3","ABCA3",-0.00628063303174253,0.958845918884116,-0.00981202965836145,0.935746468086429,-0.0372798603788664,0.759303047719504
"ABCA4","turquoise","ABCA4","ABCA4",0.0292756250661464,0.809881639605027,-0.000488469081206156,0.996797907717659,0.0450051781916763,0.711421226585878
"ABCA5","blue","ABCA5","ABCA5",-0.0741671692903578,0.541732405905511,0.0151705268884599,0.900802632052053,0.0131374040484986,0.914042547775532
"ABCA7","brown","ABCA1","ABCA7",-0.0147724492361384,0.903392948157516,-0.0135991286615371,0.911033568332368,0.0266748149447117,0.82649579592895
