,PFT1_PVN_run2,PFT10_PVN_run2,PFT11_PVN_run2,PFT12_PVN_run2,PFT2_PVN_run2,PFT3_PVN_run2,PFT4_PVN_run2,PFT5_PVN_run2,PFT6_PVN_run2,PFT7_PVN_run2,PFT8_PVN_run2,PFT9_PVN_run2
WASL,1184.74410729368,1265.35203138258,1176.33338496783,1176.32475568203,1664.31830032868,1567.03978072394,1658.20014178248,1423.55411938956,1154.88704511668,1228.94308695427,1407.46913601658,1530.39078486728
LMOD2,265.52944539997,397.826678666683,266.869663455387,255.413074114352,410.812745017839,454.372242168217,402.051039402033,473.81296098553,305.240089281442,351.420180383244,435.50786790677,359.057202399557
NDUFA5,788.863843242819,751.1129658287,811.143319186769,794.731517463382,676.260980260135,814.702299138219,728.066519538915,690.62469536507,773.336933514874,679.206839863521,695.082093811468,700.523706122479
IQUB,236.562596810882,256.107251151834,233.510955523464,170.953770721957,230.68715681771,263.318118555002,222.898762777293,296.133100615956,201.011766112169,231.197487094239,340.330651741715,254.547757320724
ATP6AP1,85.9349841476266,64.7860240067881,78.1296054195048,45.7911885862384,96.9096731836953,72.2639949417861,113.532547395911,102.588966999099,75.3794122920635,67.8179295476436,123.057410799264,86.9187464021983
SLC13A1,7.72449295709003,2.02456325021213,1.75572147010123,8.1406557486646,9.48029411579628,9.89917738928577,4.16633201452884,11.6338003813411,6.51427019807956,0,13.4594043061695,9.31272282880696
CADPS2,1266.81684496276,1512.34874790846,976.181137376285,1329.97963293808,949.082777592494,2047.1498841043,1531.12701533935,1253.27758653539,1465.7107945679,1205.3095660513,1396.89388977602,1407.25589413083
LOC113987776,22.2079172516338,40.4912650042426,31.6029864618222,29.5098770889092,20.0139542444588,18.808437039643,27.0811580944375,34.9014011440234,30.7101309338037,19.5233433546247,22.1118785029928,23.7991805625067
FEZF1,243.321528148336,311.782740532668,289.694042566703,246.254836397104,178.018856174397,253.418941165716,339.556059184101,159.700350689319,317.338019649304,160.296924385339,185.547502220765,260.756239206595
AASS,213.389117939612,223.71423914844,152.747767898807,208.60430355953,209.619836560384,186.104534918573,204.150268711913,204.120315781713,173.093465263257,175.710090191622,201.891064592543,172.802745823418
