,PFT1_GON_run1,PFT10_GON_run1,PFT11_GON_run1,PFT12_GON_run1,PFT2_GON_run1,PFT3_GON_run1,PFT4_GON_run1,PFT5_GON_run1,PFT6_GON_run1,PFT7_GON_run1,PFT8_GON_run1,PFT9_GON_run1
RAP1GAP,81.3308171601209,89.4170774666804,89.760683685836,131.974050861481,100.755277181502,134.951885762919,66.5918396308691,93.129624905079,86.9885203209176,72.6417955451653,94.8966806052131,132.095228777174
ALPL,185.601095570532,283.847234283764,212.861049883554,350.373586357914,195.482460856418,504.159875114301,150.336122803023,342.527603464443,394.882098825218,142.940307363067,232.722811960404,442.907531782291
ECE1,646.475726144551,691.4227501784,605.24346713878,665.709814080037,727.677001866403,708.709588754951,706.277086994066,644.015033241902,764.583310189118,574.104513179532,647.330928414133,693.499951080166
EIF4G3,7410.48868662794,8014.26550131596,7865.60048184169,6914.03877079617,7231.12873925703,6790.03198807139,7328.129261197,7185.97656576902,7470.71147545564,8036.29154264982,7408.71942153557,6766.96660948952
HP1BP3,2293.94612502905,2248.9434716329,2137.15913537705,2353.34258837066,2303.59287573092,2028.52205643633,1982.62067991906,2287.20044893999,2648.5715266132,1953.12698667404,2439.07063603161,2106.72464130655
LOC113982853,133.465956365327,33.2714706852764,70.0988196403672,89.9292204985313,58.5586226354029,50.9252399105354,129.147810193201,120.752818732857,167.109525879657,50.380600136163,35.0213940328763,67.9901912823692
DDOST,3316.83755623519,3729.5239171277,3675.05884919437,3970.90064538969,4115.4655525675,3703.11369549443,3280.15258545387,3335.30334617681,4320.81137120347,3475.08976753162,3641.09525703098,4400.90795286307
LOC113982835,1218.91955461771,1209.21001271801,1205.35775235266,901.628028894366,1235.75916885005,932.780644361307,1027.1286779428,991.278041362536,1294.5265326705,959.574686314361,1052.9012657626,890.671505799036
PLEKHM2,364.94597443644,400.297381682232,447.948554775029,377.235561312021,457.273950285278,409.099427281301,414.68554679223,423.029482619681,535.666151449861,351.492559089509,430.424229887931,426.395628185144
SLC25A34,1333.61686086916,2466.24776454611,2590.23687207698,1776.39408283462,1587.97206087769,2412.15886376236,1978.58481085052,1690.53946225999,2924.41670289401,2025.76878221921,2044.79752256471,1797.85491519522
TMEM82,89.6724394329538,94.6157447612548,89.760683685836,124.966579134323,81.8098404465187,111.186773804669,106.950530316244,107.33583887365,124.759851512895,98.4179165450626,146.863910460449,119.468478967592
FBLIM1,12.5124334092494,8.3178676713191,8.54863654150819,4.67164781810552,1.72231243045303,16.1263259716696,13.1165744727469,3.1569364374603,9.15668634957027,4.68656745452679,4.5188895526292,8.74159602201889
LOC113982842,49.0070308528934,17.6754688015531,41.0334553992393,28.0298869086331,49.9470604831377,58.5640258971157,29.260050746897,47.3540465619046,34.3375738108885,42.1791070907411,45.188895526292,40.7941147694215
LOC113982841,202.284340116198,220.423493289956,200.892958725442,239.421950677908,226.484084604573,189.27214166749,228.02660237237,309.37977087111,176.266212229228,193.32090749923,257.576704499864,219.511188997363
