"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"14389","SYNJ2BP",159.640221704683,-0.0138362348993336,0.102639274249673,-0.134804488832185,0.89276645666209,0.984856798295211,"SYNJ2BP","SYNJ2BP","GON","~ Year + mean_T","no"
"1238","CA12",14.7302281985866,-0.0775289398678635,0.575421709352553,-0.134734123874292,0.8928220922266,0.984856798295211,"CA12","CA12","GON","~ Year + mean_T","no"
"7230","LOC113991242",200.288064220737,0.0169219179400162,0.125783952046397,0.134531612854511,0.892982214854298,0.984966097136282,"AQP14","LOC113991242 (AQP14)","GON","~ Year + mean_T","no"
"100","ACAT1",580.065335065548,-0.0161673092188519,0.120316603700689,-0.134373051778218,0.893107589922463,0.98498623963457,"ACAT1","ACAT1","GON","~ Year + mean_T","no"
"11811","PKP4",4266.97835833828,-0.0118672231904332,0.0884398657251458,-0.134184093260773,0.893257003893843,0.98498623963457,"PKP4","PKP4","GON","~ Year + mean_T","no"
"15733","WDR33",3362.9484754051,-0.0110414126623834,0.0823000481650594,-0.13416046416205,0.893275688247979,0.98498623963457,"WDR33","WDR33","GON","~ Year + mean_T","no"
"9079","LOC114000859",45.1212975927064,-0.0292522892665819,0.218192658605736,-0.13406633134912,0.893350122940749,0.98498623963457,"AOC3","LOC114000859 (AOC3)","GON","~ Year + mean_T","no"
"391","ALG5",1306.13133570478,0.0190189819546689,0.141881095580239,0.134048739029598,0.893364034016674,0.98498623963457,"ALG5","ALG5","GON","~ Year + mean_T","no"
"10327","MMD",6018.91521326406,0.0114562143170958,0.0856289872149257,0.133788973684124,0.89356944653067,0.98498623963457,"MMD","MMD","GON","~ Year + mean_T","no"
"6231","LOC113985981",33.443510841664,0.0306527366823033,0.229271913550324,0.133695995325547,0.893642972001164,0.98498623963457,NA,"LOC113985981","GON","~ Year + mean_T","no"
"3342","EXOSC5",278.221445626162,-0.0174319750845759,0.130397316336704,-0.133683541765262,0.893652820102895,0.98498623963457,"EXOSC5","EXOSC5","GON","~ Year + mean_T","no"
"3896","GALNTL6",95.4100783578439,-0.0327910260977711,0.245566408556012,-0.133532213508314,0.893772489686895,0.98498623963457,"GALNTL6","GALNTL6","GON","~ Year + mean_T","no"
"2813","DNM1",715.154512778684,-0.0113785747441902,0.085332394246152,-0.133344140226129,0.89392122041218,0.98498623963457,"DNM1","DNM1","GON","~ Year + mean_T","no"
"10548","MTG2",378.898332529031,-0.0176516274989976,0.132395166014615,-0.133325317157343,0.89393610613797,0.98498623963457,"MTG2","MTG2","GON","~ Year + mean_T","no"
"15500","UNK",937.688102109829,-0.0101483189304933,0.0761472068976599,-0.133272372604979,0.893977976136308,0.98498623963457,"UNK","UNK","GON","~ Year + mean_T","no"
"15904","ZBTB18",1238.26983735842,-0.0150341856098334,0.112823545688237,-0.133253972104166,0.893992527824199,0.98498623963457,"ZBTB18","ZBTB18","GON","~ Year + mean_T","no"
"2069","COL5A2",320.436501737806,-0.0229901360829052,0.172828365220788,-0.13302293320622,0.894175243599877,0.98498623963457,"COL5A2","COL5A2","GON","~ Year + mean_T","no"
"15778","WFDC2",145.161405905249,0.0528849622134944,0.397581016758994,0.133016819174624,0.894180078922702,0.98498623963457,"WFDC2","WFDC2","GON","~ Year + mean_T","no"
"6032","LOC113984936",142.650166748155,-0.0279300147918421,0.210225445473726,-0.132857441347807,0.894306125330962,0.98498623963457,"SKIV2L","LOC113984936 (SKIV2L)","GON","~ Year + mean_T","no"
"13452","SH3BP5L",3053.64600574235,-0.0103635726654135,0.0780992017237455,-0.132697549228118,0.894432581157589,0.98498623963457,"SH3BP5","SH3BP5L","GON","~ Year + mean_T","no"
"987","BAIAP2",192.658628200203,-0.0292009176492898,0.220098442450035,-0.1326720776587,0.894452726415532,0.98498623963457,"BAIAP2","BAIAP2","GON","~ Year + mean_T","no"
"14178","SSTR3",39.431841535455,-0.0368688669947849,0.277962805459864,-0.132639570009335,0.894478436550996,0.98498623963457,"SSTR3","SSTR3","GON","~ Year + mean_T","no"
