"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","n_p005","n_q01","Test","fdrtool"
"LOC114004308",27.4521600190616,2.71569906361295,0.820596692632566,9.69493206904825,0.00184776913300885,0.608598915961243,NA,"LOC114004308","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"VXN",71.725865884804,1.06713724948578,0.340749090204753,9.62505173035116,0.00191941043539969,0.618744415037037,"VXN","VXN","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"ATP1A1",795.226156585838,-0.710926638022554,0.232837134051063,9.4028451059192,0.0021664899405848,0.619950806900514,"ATP1A1","ATP1A1","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"FAM107A",433.128502412188,-1.08197539855327,0.338986355903468,9.44298064984702,0.00211958742049783,0.619950806900514,"FAM107A","FAM107A","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"GUCA1C",98.6183839241187,-1.44762234766407,0.48602568092407,9.40100812819834,0.00216866165703434,0.619950806900514,"GUCA1C","GUCA1C","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"IGFBP3",300.542494937915,-0.619400356418701,0.201780656728061,9.53073192439992,0.00202059521282719,0.619950806900514,"IGFBP3","IGFBP3","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC114004218",167.821405241417,1.11182643552248,0.345201916708041,9.52772023268865,0.0020239137498248,0.619950806900514,"HEATR8L1","LOC114004218 (HEATR8L1)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"PTPRQ",97.4079856146013,-1.5537934865471,0.492411071809487,9.41266283177744,0.00215492054377357,0.619950806900514,"PTPRQ","PTPRQ","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"OLIG3",38.1725517269547,-1.76143377421278,0.588144387181416,9.27179435784782,0.00232709611731476,0.652922838396962,"OLIG3","OLIG3","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"DRAM1",25.7467136699665,-2.0797905448138,0.704061951493298,8.90395066564507,0.00284554347898539,0.665188009002244,"DRAM1","DRAM1","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"GADD45B",677.484050538061,-1.47426896400366,0.455299673255544,9.01899278938748,0.00267188583873293,0.665188009002244,"GADD45B","GADD45B","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"GCDH",424.732361216622,0.639555884767694,0.215064426425047,8.90991161885225,0.00283626992058912,0.665188009002244,"GCDH","GCDH","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"KCNE3",16.9056477624346,2.41939089978815,0.792410938702506,9.10765343099412,0.00254542201666465,0.665188009002244,"KCNE3","KCNE3","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113983980",147.768304566463,-1.42387171872324,0.461713198446503,8.96344692439723,0.00275434738744919,0.665188009002244,"CITED4","LOC113983980 (CITED4)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113992627",164.314323003131,1.13013168711141,0.364480723561519,9.13867395676783,0.00250262414952296,0.665188009002244,"LOC113992627","LOC113992627","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113995899",93.324039725598,0.89505675256428,0.2965765833249,8.88475682132164,0.00287561341915219,0.665188009002244,"AGPAT1","LOC113995899 (AGPAT1)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113996120",32.6353256045653,-1.85500038358344,0.641825982282823,8.87221040219353,0.00289544343851202,0.665188009002244,NA,"LOC113996120","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC114000615",9.791487563755,-3.24757644678616,1.11066194217537,9.07804127249393,0.00258696985657036,0.665188009002244,"LOC114000615","LOC114000615","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"OCLN",130.442683308682,0.84015832574138,0.280496261945197,8.8163299539076,0.00298546529022194,0.665188009002244,"OCLN","OCLN","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"OTP",1932.10112389276,1.25265235106592,0.42217894104829,8.83462118165585,0.00295568985557477,0.665188009002244,"OTP","OTP","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"PDZRN4",195.508500944734,0.750179278263581,0.251715335586881,8.84384528673579,0.00294078895939975,0.665188009002244,"PDZRN4","PDZRN4","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"SGK1",741.523868971849,-0.799154748317945,0.258295532430605,9.03091655654083,0.00265451351794681,0.665188009002244,"SGK1","SGK1","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"TOPAZ1",197.670009869501,-1.05340169999846,0.357970248269577,9.13377343058572,0.00250933633248386,0.665188009002244,"TOPAZ1","TOPAZ1","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"ANKRD7",57.0344888848552,-2.46488703687743,0.82996708942677,8.63091776855562,0.00330505023539805,0.725320354691571,"ANKRD26","ANKRD7","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113992565",235.723550819943,-0.742623358954465,0.251941387137346,8.60571710525001,0.00335109397587024,0.725320354691571,"AKAP8","LOC113992565 (AKAP8)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC114000127",8.0067850495975,-3.52462543599506,1.18614198467296,8.57381431386364,0.00341031965235868,0.727743000744878,NA,"LOC114000127","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"DEPDC5",989.393093143628,0.403817395284275,0.139154456393799,8.38997553561856,0.00377295987434027,0.755247333968128,"DEPDC5","DEPDC5","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"GFPT2",22.8498379474754,-3.26596763447531,1.04202832217667,8.37701409733504,0.00379996205986515,0.755247333968128,"GFPT2","GFPT2","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113983310",22.8593805937445,-2.32291901069365,0.830616478071687,8.31218748030523,0.00393799349108852,0.755247333968128,"LOC113983310","LOC113983310","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113984448",42.9140320641047,1.69926076498928,0.587097491634109,8.45656912783939,0.00363727313244565,0.755247333968128,"LOC113984448","LOC113984448","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113993120",14.4765535170841,5.47289085640128,2.00456650294635,8.41518885712759,0.003720991409886,0.755247333968128,"CARTPT","LOC113993120 (CARTPT)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113994306",70.5978440836662,-2.32365097154457,0.760264776640244,8.31496008272963,0.00393198681487318,0.755247333968128,"LOC113994306","LOC113994306","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"OIT3",99.3852494261414,-0.90937985635961,0.311462717195155,8.34184359056661,0.00387422645612349,0.755247333968128,"OIT3","OIT3","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"PTTG1IP",238.4385452385,0.653658937975144,0.223315486958742,8.32177467965779,0.00391726298014037,0.755247333968128,"PTTG1IP","PTTG1IP","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"DYRK4",49.8962364008664,-1.6482878657611,0.593510428565939,8.22724841083217,0.00412660480635506,0.762465724647384,"DYRK4","DYRK4","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"PLA2G6",899.251121284551,0.414169864052101,0.144179142223958,8.23562661069695,0.00410759886417743,0.762465724647384,"PLA2G6","PLA2G6","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113986826",9.05185287027024,-2.84808983103496,1.04013842524676,8.20306934211047,0.00418195841950143,0.763383759203207,"CAPN6","LOC113986826 (CAPN6)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"CAPN3",128.684372907682,-1.12399314978848,0.395011644569723,8.08042950902221,0.00447458391288306,0.769978751469207,"CAPN3","CAPN3","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"ECEL1",949.92356267736,1.18234046045007,0.400373579603828,7.99927426102221,0.00467961021838798,0.769978751469207,"ECEL1","ECEL1","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"GAS2L2",151.10684446421,-1.00694494365445,0.361139668829184,8.00458065762398,0.00466591666491372,0.769978751469207,"GAS2L2","GAS2L2","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113984923",215.422036097289,-1.61789996399613,0.55186243387349,8.00282968788844,0.00467043065588998,0.769978751469207,"ANKRD26","LOC113984923 (ANKRD26)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113991197",184.663462247383,1.20694397579109,0.429702529560509,7.9862131082932,0.00471349013970193,0.769978751469207,"LOC113991197","LOC113991197","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"NETO2",2823.68959224277,0.387337080366275,0.135547826300412,7.98130336304777,0.00472629027038719,0.769978751469207,"NETO2","NETO2","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"PTGS2",97.5623474785389,-1.24894982086648,0.425971086711187,8.15250950809171,0.0043001613501424,0.769978751469207,"PTGS2","PTGS2","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"RTEL1",262.660506313471,-0.618391027651417,0.219348035546757,8.0514346918872,0.00454676329821252,0.769978751469207,"RTEL1","RTEL1","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"SF3B1",7047.83684944832,-0.327657775217987,0.11603787168251,8.08830609377472,0.00445517830800123,0.769978751469207,"SF3B1","SF3B1","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"SSBP4",386.781780479257,0.81411153388877,0.281080234094329,8.1025899906171,0.00442020527379327,0.769978751469207,"SSBP4","SSBP4","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"SAPCD2",164.264754155543,-0.87628634695822,0.304144822659816,7.9562258251344,0.00479222404068981,0.77241474936693,"SAPCD2","SAPCD2","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"NAA60",477.174889748316,0.473717286928679,0.16773067248754,7.91606280212392,0.00489977872355027,0.773825622104556,"NAA60","NAA60","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"TRPC5",920.979831584607,-0.548995776724121,0.197750294195787,7.91482737677228,0.00490312584793329,0.773825622104556,"TRPC5","TRPC5","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113991825",12.4625729620224,-2.43645796439456,0.844734910425331,7.84544270702864,0.00509489799791535,0.795802057385727,NA,"LOC113991825","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113983733",149.065262193197,1.08420004621718,0.381227008157203,7.79598363083892,0.00523624969895735,0.809534889682681,"CFD","LOC113983733 (CFD)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"KLF9",399.718741647832,-0.937846558660482,0.335778832890951,7.7532791332336,0.00536151039111062,0.820527716522395,"KLF9","KLF9","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC114001297",35.6476554154949,1.92688194381348,0.68845108885294,7.72969129275862,0.00543200359376649,0.821670879433764,"KRT17","LOC114001297 (KRT17)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
