"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"15290","TSR2",138.985064951283,-0.174314384194874,0.135736361423293,-1.28421288420481,0.199067478271729,0.884486285159366,"TSR2","TSR2","GON","~ Batch + Status","no"
"12357","PTCHD4",12.858274047748,0.569082117793633,0.443368329512702,1.28354255347715,0.19930206113219,0.884486285159366,"PTCHD4","PTCHD4","GON","~ Batch + Status","no"
"9894","LUZP2",32.8892371211629,-0.482769773282569,0.376204551271784,-1.28326404252828,0.199399585669307,0.884486285159366,"LUZP2","LUZP2","GON","~ Batch + Status","no"
"10635","MYBBP1A",2993.35125021507,0.24063622751504,0.187548162390627,1.2830636378822,0.199469781750149,0.884486285159366,"MYBBP1A","MYBBP1A","GON","~ Batch + Status","no"
"14129","SPSB1",404.263042958989,-0.0901235878460466,0.0702586100829233,-1.28274083047868,0.19958289001436,0.884486285159366,"SPSB1","SPSB1","GON","~ Batch + Status","no"
"8553","LOC113998121",269.838085958221,-0.159163041157272,0.124090605534511,-1.28263570373993,0.199619735411776,0.884486285159366,NA,"LOC113998121","GON","~ Batch + Status","no"
"14725","THUMPD1",340.180831578517,0.100631649744342,0.0784573848731549,1.28262814146861,0.199622386069766,0.884486285159366,"THUMPD1","THUMPD1","GON","~ Batch + Status","no"
"6061","LOC113985008",2493.6071383854,0.0745149785609669,0.0581072783220004,1.28236910612202,0.199713196287996,0.884486285159366,"GFPT1","LOC113985008 (GFPT1)","GON","~ Batch + Status","no"
"2791","DNAJC17",251.476792955994,-0.156257182414501,0.121855830847025,-1.28231190356958,0.199733253896989,0.884486285159366,"DNAJC17","DNAJC17","GON","~ Batch + Status","no"
"6695","LOC113988477",284.32683602807,-0.190970698096229,0.148933002448115,-1.28225910279865,0.199751769362994,0.884486285159366,"EPHB6","LOC113988477 (EPHB6)","GON","~ Batch + Status","no"
"5320","LARP1B",1023.87744517838,0.118610924976423,0.0925194770755391,1.28201032610227,0.199839023905989,0.884486285159366,"LARP1B","LARP1B","GON","~ Batch + Status","no"
"6652","LOC113988247",14.979396903085,0.520926923108404,0.406347069999447,1.28197533972403,0.19985129706432,0.884486285159366,"SULT1B","LOC113988247 (SULT1B)","GON","~ Batch + Status","no"
"7036","LOC113990145",6.58815541442963,-0.572585269862373,0.446711820347183,-1.28177774525277,0.199920623182351,0.884486285159366,NA,"LOC113990145","GON","~ Batch + Status","no"
"10318","MITD1",118.715119417459,-0.208785344701736,0.162892413493367,-1.28173768332211,0.199934681071614,0.884486285159366,"MITD1","MITD1","GON","~ Batch + Status","no"
"12551","RAD1",147.428137321689,-0.120804463246538,0.0942523766549657,-1.28171264782821,0.199943466491546,0.884486285159366,"RAD1","RAD1","GON","~ Batch + Status","no"
"6036","LOC113984926",120.25147640151,-0.214700046557201,0.167511830036997,-1.28170079993623,0.199947624235232,0.884486285159366,"CHD8","LOC113984926 (CHD8)","GON","~ Batch + Status","no"
"2733","DLST",3398.37059525219,-0.078968115190294,0.061617979177974,-1.28157586866338,0.199991469819228,0.884486285159366,"DLST","DLST","GON","~ Batch + Status","no"
"15070","TOM1L2",1491.27963402275,-0.0896119985982066,0.0699549071201086,-1.2809966060615,0.200194858201406,0.884486285159366,"TOM1L2","TOM1L2","GON","~ Batch + Status","no"
"5712","LOC113983368",73.9321087374023,-0.232337666693537,0.181380147935346,-1.28094319768862,0.200213618338137,0.884486285159366,"NYAP1","LOC113983368 (NYAP1)","GON","~ Batch + Status","no"
"13523","SHROOM3",213.61045437523,0.152619662187356,0.119164831863126,1.28074415749318,0.200283544172875,0.884486285159366,"SHROOM3","SHROOM3","GON","~ Batch + Status","no"
"10673","MYO1C",3213.02236190146,-0.086830285620319,0.0677967633310311,-1.28074381952945,0.200283662919812,0.884486285159366,"MYO1C","MYO1C","GON","~ Batch + Status","no"
"1673","CDYL2",101.944406710665,0.166462606509219,0.129990127117114,1.28057884241659,0.200341635415169,0.884486285159366,"CDYL2","CDYL2","GON","~ Batch + Status","no"
"11176","NTNG1",58.9079071996228,0.336423553630234,0.262726739435096,1.28050747462401,0.200366717653023,0.884486285159366,"NTNG1","NTNG1","GON","~ Batch + Status","no"
"6886","LOC113989394",320.127656638134,-0.169517463553466,0.1323910559641,-1.28042987737354,0.200393991837378,0.884486285159366,"LOC113989394","LOC113989394","GON","~ Batch + Status","no"
"8926","LOC113999964",274.189689648602,0.266066443663581,0.207828774035009,1.28021947345348,0.200467959064879,0.884486285159366,"CGTL","LOC113999964 (CGTL)","GON","~ Batch + Status","no"
"7842","LOC113994358",36.2311637697759,0.283798378695252,0.221698985465987,1.28010679931051,0.200507577707555,0.884486285159366,"COL6A6","LOC113994358 (COL6A6)","GON","~ Batch + Status","no"
