"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","n_p005","n_q01","Test","fdrtool"
"ARRDC2",311.154195986249,-0.945795302239828,0.265628727237421,12.7708799233875,0.000352057188756637,0.143609921784194,"ARRDC2","ARRDC2","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"KMT2C",4479.10369395685,0.494114598626525,0.136179829843225,12.7809340400283,0.000350170041890908,0.143609921784194,"KMT2C","KMT2C","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113984019",1590.83690021323,0.519918940372477,0.143339993466272,12.7425722186878,0.000357425794327965,0.143609921784194,"FUS","LOC113984019 (FUS)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"SERPINF2",58.399331004155,1.46138077277974,0.407825504552236,12.8690754177107,0.000334056611470688,0.143609921784194,"SERPINF2","SERPINF2","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"CTBS",1043.13637419238,-0.529669994081305,0.151530815585445,12.5785989037176,0.000390189139757191,0.152754045790072,"CTBS","CTBS","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ATP8B3",362.6107987445,1.36407697849808,0.370029417283213,12.5029614173701,0.000406307452086941,0.155087554461585,"ATP8B3","ATP8B3","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"DNAH9",714.500291674179,0.829092976495868,0.239387900716461,12.4079644400805,0.00042750661320378,0.159199291960861,"DNAH9","DNAH9","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ARHGDIB",2610.01206887427,-0.314412697466854,0.0889444706567886,12.3024993356429,0.000452352147370592,0.164440775858433,"ARHGDIB","ARHGDIB","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"CENPI",197.772082191082,1.54931727171279,0.441784248931636,12.1730865051374,0.000484840115108903,0.172152066918203,"CENPI","CENPI","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ISYNA1",1138.64150482365,0.753829168724315,0.213056802895546,12.0734461353125,0.000511450734318873,0.173529551368457,"ISYNA1","ISYNA1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"MAPK7",341.215586226379,0.857820034588063,0.247224485977262,12.1089680160133,0.000501798992391621,0.173529551368457,"MAPK7","MAPK7","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"CWH43",21.2635386611545,-2.68314709770328,0.804044179193349,11.9865790195102,0.000535850682644015,0.175007314295746,"CWH43","CWH43","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC114000425",138.034790314123,1.24085617636963,0.360292706958123,11.9765895227683,0.000538730925589471,0.175007314295746,"DNAH9","LOC114000425 (DNAH9)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"FEN1",491.591454913747,-0.606000631464707,0.176953591961773,11.8355239848919,0.000581113437432627,0.181070203320844,"FEN1","FEN1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"IRF2BPL",1991.08067098331,0.482408370143138,0.139882065953177,11.8641949197924,0.000572235022030533,0.181070203320844,"IRF2BPL","IRF2BPL","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC114001494",197.976057853209,0.808811056537402,0.238953879331248,11.7304261095249,0.000614865127975567,0.184823765108201,"PSD","LOC114001494 (PSD)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"NTN4",919.363519141065,0.421450093101215,0.123772677195626,11.7228586875737,0.000617370449339682,0.184823765108201,"NTN4","NTN4","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"PSMA7",1398.43702039699,-0.384043370037734,0.113850065234717,11.446949526362,0.000716114620691887,0.20653673114347,"PSMA7","PSMA7","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"SH3D19",2136.90869549359,0.329268876274556,0.0969967271404629,11.4447739461647,0.000716953546673035,0.20653673114347,"SH3D19","SH3D19","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"MTHFD2",158.424627642694,-0.772993829938234,0.231707578572801,11.2264088286581,0.000806415345617726,0.223860899943481,"MTHFD2","MTHFD2","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"SNTA1",165.089198414497,0.769864766650374,0.229217096912438,11.2427909681393,0.00079932869588176,0.223860899943481,"SNTA1","SNTA1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ANKRD9",309.368729779014,-0.8486181706804,0.253095657464072,11.1729920772798,0.00082996669545378,0.226164690098776,"ANKRD9","ANKRD9","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"VWA3A",370.528187469097,0.764264817827501,0.230881601318378,11.1411390744054,0.00084434027610887,0.226164690098776,"VWA3A","VWA3A","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ONECUT2",434.841936332214,0.793051182453079,0.233974012459117,10.9556654062178,0.000933178553969229,0.245651209689693,"ONECUT2","ONECUT2","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LEPROTL1",1152.71875775342,-0.350453411128921,0.106758051201633,10.8947317835632,0.000964381525616642,0.249562324290083,"LEPROTL1","LEPROTL1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"PTPRQ",117.170445388492,-1.45920574691282,0.428681439065017,10.8554474542249,0.000985055583293378,0.250663810762055,"PTPRQ","PTPRQ","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113983742",937.827978147571,-0.878568118116707,0.267216691106522,10.6562393616445,0.0010970021120429,0.270741299277954,"LOC113983742","LOC113983742","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"TYRO3",1759.72908816677,-0.411466659221929,0.125504867986491,10.6521655093132,0.0010994210476312,0.270741299277954,"TYRO3","TYRO3","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"NOTCH1",723.386578156446,0.619483080328577,0.187575447414289,10.5569218944775,0.00115753794322131,0.280528401858777,"NOTCH1","NOTCH1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"MSMO1",952.016696639563,-0.573873998515746,0.179579679918207,10.487355183416,0.00120194304039542,0.286738536574333,"MSMO1","MSMO1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"HSPB8",1064.38480544497,0.804000366451662,0.247965335757735,10.3886857581362,0.00126789837679052,0.293307157830874,"HSPB8","HSPB8","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"MED27",246.018017309749,-0.556881164110689,0.172740441851626,10.4031995466116,0.00125797156434952,0.293307157830874,"MED27","MED27","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ZNF385C",320.899868683154,0.68410466277789,0.214029323309668,10.3507434576442,0.00129422549702906,0.29492887893492,"ZNF385C","ZNF385C","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"MAL2",18.2029861435982,-2.57674222079639,0.831925051574327,10.3043437693179,0.00132717439614108,0.297989686474736,"MAL2","MAL2","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC114003417",23.1245165378523,-2.78511871115033,0.839124203454302,10.2112671070616,0.001395852364382,0.303331028671329,"ATP2A3","LOC114003417 (ATP2A3)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC114004333",335.810496279304,0.691770672485814,0.214903736298935,10.1919316213689,0.00141056477833799,0.303331028671329,"LOC114004333","LOC114004333","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"PNPT1",1029.07725978077,-0.365477953744608,0.114436683095136,10.229852401265,0.00138185720892332,0.303331028671329,"PNPT1","PNPT1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"HMGB1",3379.65148773905,-0.384501468121797,0.122768042058679,10.0809428396712,0.00149810657451721,0.305795842951299,"HMGB1","HMGB1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113993050",1135.74729739341,-0.499035957449057,0.158788091502904,10.0889794537354,0.00149158691471331,0.305795842951299,"CYP46A1","LOC113993050 (CYP46A1)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
