"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","n_p005","n_q01","Test","design","fdrtool"
"LOC113993594",219.5952967993,-0.232975778675771,0.376867714456322,0.394114326667633,0.530144626533793,0.994415758122037,"RING1","LOC113993594 (RING1)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113993610",2882.19906676311,-0.175161328538401,0.279314829742466,0.39098767631603,0.531780693598738,0.994415758122037,"H2BC21","LOC113993610 (H2BC21)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113994017",391.533972822651,0.16922953083622,0.263523810438773,0.392914674428837,0.530771290383323,0.994415758122037,"CACNA1B","LOC113994017 (CACNA1B)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113994348",78.8803865292316,0.394165182251223,0.638499585942586,0.39549646761759,0.529424282147928,0.994415758122037,NA,"LOC113994348","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113994469",758.492431398355,-0.498260523757211,0.749798714322553,0.450529631680013,0.502083547990379,0.994415758122037,"PDE11A","LOC113994469 (PDE11A)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113994497",87.3021750026991,-0.457236701272474,0.70759460515119,0.390628996469957,0.531968959728142,0.994415758122037,"LOC113994497","LOC113994497","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113994841",83.208081053824,0.422157827552226,0.647449382868423,0.448718377998162,0.502944205358866,0.994415758122037,"MLA3A","LOC113994841 (MLA3A)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113995123",1440.70328746672,0.103676927033056,0.162403870866998,0.412950486802117,0.52047574096719,0.994415758122037,"SEC22B","LOC113995123 (SEC22B)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113995139",5.83580945308039,-1.18413312926406,1.98949219274132,0.409374967656269,0.522286917649893,0.994415758122037,"HBE1","LOC113995139 (HBE1)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113995187",527.926973328543,-0.321931572010994,0.471134560275757,0.442987023951076,0.505684258439816,0.994415758122037,NA,"LOC113995187","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113995230",11.8341666912941,-0.719451789203244,1.08774107268786,0.426067369643491,0.513924966408218,0.994415758122037,"LOC113995230","LOC113995230","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113995247",69.4928338355729,-0.424752898775093,0.639195146593311,0.435793439886737,0.509159802119028,0.994415758122037,"VAMP8","LOC113995247 (VAMP8)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113995256",1420.37244948042,-0.176512297116217,0.282752402726883,0.39167681663892,0.531419310158872,0.994415758122037,"LOC113995256","LOC113995256","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113996351",19.2686496469777,0.551874471751735,0.833356388282365,0.418283521618548,0.517794778539196,0.994415758122037,"RNF151","LOC113996351 (RNF151)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113996609",319.451047858645,0.216281255032633,0.348723850211957,0.390058133398981,0.532268845950276,0.994415758122037,"FLRT1","LOC113996609 (FLRT1)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113996727",29.9174976030749,-0.436661526610292,0.648538695558407,0.419084689568493,0.517394120036009,0.994415758122037,"LOC113996727","LOC113996727","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113996774",9.18956060794292,-0.778608532064307,1.19415183216281,0.388359851927767,0.533162795445949,0.994415758122037,"AMDHD2","LOC113996774 (AMDHD2)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113996816",7.06577783975733,1.04539403179528,1.58506510292125,0.442414033041139,0.505959599899524,0.994415758122037,NA,"LOC113996816","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113997171",804.901330803807,-0.205609681956635,0.305757137789976,0.414388266060485,0.519750556240263,0.994415758122037,"KDR","LOC113997171 (KDR)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113997545",217.636824864183,-0.179897792960143,0.289614603648455,0.386702182883752,0.534037988158183,0.994415758122037,NA,"LOC113997545","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113997560",10.3412648049584,-1.1779416457232,1.59874473167056,0.417376892171632,0.518248834496719,0.994415758122037,"GABRG3","LOC113997560 (GABRG3)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113998257",131.470374536393,-0.486277441535635,0.758582140652184,0.445894788545331,0.504290928489812,0.994415758122037,"LOC113998257","LOC113998257","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113998331",24754.0323664917,-0.0969815526243633,0.156830734683966,0.384492151182883,0.535208864075389,0.994415758122037,"TUBB4B","LOC113998331 (TUBB4B)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113998419",19.1261378456812,-0.539015189531525,0.883045573542993,0.391475683621294,0.53152473806132,0.994415758122037,"INPP1","LOC113998419 (INPP1)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113998464",5.19217432232115,-1.3314671752379,2.07964930112364,0.428070815175921,0.512937091257219,0.994415758122037,"LOC113998464","LOC113998464","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113998968",18.0520639644718,0.787865821060016,1.16324743644286,0.38871399407013,0.532976156693985,0.994415758122037,"EML6","LOC113998968 (EML6)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113999067",59.4709481214967,0.402006693175421,0.61310975669594,0.418844527881518,0.517514166153665,0.994415758122037,"IRF2BP2","LOC113999067 (IRF2BP2)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113999190",6.69713115449831,0.977395575060562,1.36943801617648,0.420812402239925,0.516531949488643,0.994415758122037,NA,"LOC113999190","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113999345",27.9980430137369,0.495061211444392,0.802146315931275,0.413909293666194,0.519991941705223,0.994415758122037,"PPP1R1A","LOC113999345 (PPP1R1A)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
