,PFT1_AH_run2,PFT10_AH_run2,PFT11_AH_run2,PFT12_AH_run2,PFT2_AH_run2,PFT3_AH_run2,PFT4_AH_run2,PFT5_AH_run2,PFT7_AH_run2,PFT8_AH_run2,PFT9_AH_run2
PREB,523.047496290322,561.53902722559,531.59296585063,406.258118219134,568.175593672317,554.571021951035,490.170911011546,585.184919797221,462.529339432385,519.710666614259,524.475191227607
SLC5A6,241.475079207287,249.572900989151,206.7305978308,272.134624644396,293.800200146797,214.637507513465,276.769506787888,339.079112405866,264.000764516201,228.882677417997,209.991024840172
SNX17,494.533833800901,373.336511725574,413.461195661601,524.831061814192,640.209251559549,419.469240572001,518.127426848707,375.174630823265,620.929798142106,369.572029592362,409.934632223877
ZNF513,264.642429979942,248.550061230999,248.920515755454,216.735790341787,278.422228238287,294.173233647897,218.060823529851,212.197896150768,279.840810387173,220.48331310908,252.190178157336
LOC114002990,580.074821269165,468.460609233734,463.034349223068,482.067049370073,603.787739144656,476.124826311595,553.539013575776,502.055847078363,578.689675819513,559.607647081617,501.366131077731
PPM1G,764.522575497609,686.325477720165,720.392848563453,726.988211550029,854.691491336136,692.941394815045,685.866521871669,625.655652568244,795.170302722798,727.594933259963,603.8497891337
NRBP1,671.85317240699,683.256958445709,738.32356368143,835.842061407787,803.701373955286,602.510363730692,681.207102565476,612.530009507371,822.626382232483,706.59652248767,742.504150032953
KRTCAP3,47.2257534981041,32.7308722608723,46.4089097171185,32.0730093330895,75.2711256574438,33.7754453447585,30.7521674208765,21.8760717681204,64.4161865419531,32.5475366970546,41.194411571517
IFT172,2040.50897189921,1458.56949512512,1943.90046837839,2295.64994075023,2055.79203408502,1698.57804169285,1808.78657466428,1775.24322398297,1550.21248923913,1953.90212236189,1808.53514216416
LOC114003003,160.389351502995,208.659310663061,237.318288326174,188.550418503617,229.050844742544,214.637507513465,122.076785822267,162.976734672497,214.368620787155,208.934187184318,162.768162794774
FNDC4,290.48293661098,732.353266837017,274.234466510246,650.20737102536,850.64465662337,593.794119770754,863.856339368257,1063.17708793065,964.130792013167,472.464242376599,703.319221952729
ZNF512,1862.29858134033,1902.4819501632,1940.73622453405,2062.39169105503,2073.59810682119,1841.30653653683,1990.50392760582,1824.46438546124,1988.45375833603,1827.91165772813,1791.45453248817
GPN1,450.872288113975,457.20937189406,427.172918987113,441.246855673413,518.804210176575,488.10966175651,478.056420815443,471.429346602995,393.889140658172,444.116387834003,530.503641701487
FOXJ1,20.4941949142716,9.20555782337033,15.8212192217449,14.5786406059498,25.8997421617011,17.4324879198753,12.1144901961029,7.65662511884214,16.8960489290369,22.048331310908,20.0948349129351
EXOC7,1057.67866796697,1135.35213154901,973.532356111372,1312.07765453548,1226.19091796804,1187.58823954151,1025.07224736255,1105.83542787849,1193.28345561323,993.224829529473,1064.02150863991
GALR2,19.6031429614772,22.5024746793497,14.7664712736286,29.1572812118996,34.8027785297858,16.3429574248831,28.8883996983991,27.3450897101505,36.9601070322682,24.1481723881373,14.0663844390546
SRP68,1131.63598004891,1167.06016405173,1107.48534552215,1214.88671716248,1225.38155102548,1135.29077578188,1134.10265912747,1044.58242692775,1220.73953512291,958.577451755189,1074.06892609638
TEN1,15.1478831975051,21.4796349211974,21.0949589623266,22.3539155957897,25.0903752191479,19.6115489098598,27.0246319759217,26.2512861217445,19.0080550451665,26.2480134653666,31.1469941150494
ACOX1,1341.92424090839,1395.15343011968,1353.24161743325,1385.94276693896,1505.42251314888,1245.3333557761,1483.55910709198,1466.79061205247,1487.90830881331,1420.54248874564,1378.50567502735
MRPL38,374.241820173655,373.336511725574,281.61770214706,427.640124441194,466.195358910619,291.994172657912,435.189763198464,319.390647814558,463.58534249045,380.071234978509,381.801863345767
TRIM65,47.2257534981041,90.0098987173987,61.1753809907471,91.3594811306186,101.980234761698,69.7299516795014,78.2782443440492,113.755573194226,88.7042568774437,86.0934841664025,94.4457240907951
TRIM47,114.054649957685,98.1926167826168,108.639038655982,110.797668605218,108.455170302123,95.8786835593144,133.259392157131,124.693609078286,163.680474000045,65.0950733941092,93.4409823451483
WBP2,5203.74340431939,3966.57258211446,4646.16471145243,4058.69354469642,4259.69821865727,4615.251176787,3864.52237255681,3523.14135825579,3675.94664512359,4096.78994167442,4146.56918428416
UNC13D,10.692623433533,9.20555782337033,13.7117233255123,28.1853718381696,27.5184760468074,8.71624395993767,23.297096530967,14.2194466492783,22.1760642193609,9.44928484753198,18.0853514216416
UNK,1116.4880968514,963.515052179427,1086.39038655982,921.370086296026,980.143367431875,1033.96443974761,903.92734540152,918.795014261057,1020.0989540906,1056.22006184635,958.523625347005
LOC114003029,2853.14835284772,3274.11006584538,2530.34032753107,2381.17796563846,3293.3140892488,3043.05867251324,2922.3877888445,3097.65176236585,3261.99344636218,2682.54697616047,2816.29111304786
LOC114003180,147.023572211079,50.1191481494607,95.9820632785859,42.7640124441194,55.0369520936148,66.4613601945248,32.6159351433538,22.9698753565264,53.8561559613051,38.8470599287426,66.3129552126859
GALK1,80.1946757514975,50.1191481494607,64.3396248350961,59.2864717975291,67.1774562319122,76.2671346494547,91.3246184013907,37.1893220058047,68.6401987742124,62.9952323168799,48.2276037910443
ITGB4,71.2841562235533,43.9821096005471,53.7921453539328,29.1572812118996,72.0336578872311,35.9545063347429,67.095638009185,48.1273578898649,66.5281926580827,51.4461063921186,20.0948349129351
SAP30BP,1035.40236914711,997.268764198452,964.039624578325,974.825101851175,1086.97980384889,1012.17382984776,1024.14036350131,983.329425977012,1006.37091433576,1045.72085646021,1072.05944260509
RECQL5,580.074821269165,448.003814070689,578.001875567748,598.696174217671,520.422944061681,371.529898792343,342.001377074596,351.110951878332,466.753351664644,382.171076055738,446.10533506716
SMIM5,28.5136624894213,53.1876674239174,28.4781945991409,48.5954686864993,51.7994843234022,52.297463759626,44.7304253394567,53.596375831895,80.2562324129252,36.7472188515133,55.2607960105716
LLGL2,166.626715172556,149.33460469023,165.595427854264,182.718962261237,246.04755053616,159.071452268863,180.785469080304,196.884645913084,229.152663600063,167.987286178346,191.90567341853
TSEN54,228.109299915371,240.367343165781,237.318288326174,232.286340321466,212.863505891481,227.711873453372,215.265171946135,223.135932034828,256.608743109748,197.385061259557,201.953090874998
MCHR1,69.5020523179645,100.238296298921,69.6133645756777,112.741487352678,86.602262853188,90.4310310843534,53.1173800906048,74.3786440116094,48.576140670981,100.792371707008,54.2560542649248
CASKIN2,324.342910817168,478.689006815257,345.957326982156,428.612033814924,486.429532474448,331.217270477632,438.917298643419,428.77100665516,601.921743096939,335.974572356693,358.692803195892
TMEM94,2114.46628398115,2114.20978010072,1757.2100815618,2221.78482834675,2831.16556505095,1678.96649278299,2043.62130769643,2177.76294451639,2086.66204273606,1764.91642541125,1914.03302545707
GRB2,3767.36765641479,3895.99663880195,4018.58968232321,3608.69950465944,3491.60899017433,3829.69968989762,3603.59489140998,3747.37109387903,3686.50667570424,3941.40170195945,3905.43116532894
