"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","n_p005","n_q01","Test","design","fdrtool"
"MAMDC4",153.898604551425,1.53333864477735,0.433444537979242,11.5020440922997,0.000695196959634131,0.150086755004095,"MAMDC4","MAMDC4","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"PLEKHG4",224.237935608117,0.876677060528395,0.258860256081431,11.4791452451063,0.000703814917014378,0.150086755004095,"PLEKHG4","PLEKHG4","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"SGPP2",546.664930019817,0.811788121405086,0.237280435823248,11.4764635705808,0.000704831196600427,0.150086755004095,"SGPP2","SGPP2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"SLIT3",2808.31679816695,0.743383476694889,0.218701613995561,11.4172712750583,0.000727644870332802,0.15190656734183,"SLIT3","SLIT3","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"COL5A2",183.756919771085,1.71983512593008,0.530714636673861,11.2438906890038,0.000798855234665753,0.159593993011095,"COL5A2","COL5A2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"CUNH14orf132",757.577248652479,0.900929406802703,0.273227016586097,11.1820507621569,0.000825924335598963,0.159593993011095,"CUNH14orf132","CUNH14orf132","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"EHHADH",103.510018119302,-1.14672304839572,0.339976604553546,11.1979121096676,0.000818894207528051,0.159593993011095,"EHHADH","EHHADH","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"ITGA6",1772.46799032193,0.663493901604949,0.200776533551708,11.1519892254609,0.000839416136810491,0.159593993011095,"ITGA6","ITGA6","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113990242",332.121455847411,1.23535230304524,0.375720956513589,11.1666772747695,0.000832796444364472,0.159593993011095,"LOC113990242","LOC113990242","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113985182",272.730830147432,0.832502138814034,0.256215374351784,10.9138037910187,0.000954503309039387,0.178291170725304,NA,"LOC113985182","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"HSPH1",8294.27062485068,0.671096135948182,0.204393955838282,10.6733736642695,0.00108688705558188,0.192005990894027,"HSPH1","HSPH1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"IDS",308.529975155811,-0.599153008260362,0.183552280367937,10.6240455721115,0.0011162656724508,0.192005990894027,"IDS","IDS","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"IQCH",316.354613121177,0.875836145317944,0.265971219324645,10.6638523878282,0.0010924961386737,0.192005990894027,"IQCH","IQCH","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113996979",182.83532227462,1.28292686764071,0.380932382295172,10.6210154512921,0.00111809631214705,0.192005990894027,"LOC113996979","LOC113996979","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"PLD1",4205.00961484386,0.936747340786878,0.289417133658629,10.674503526443,0.00108622337841577,0.192005990894027,"PLD1","PLD1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113989407",97.9816254938108,1.12172953356017,0.338920303399161,10.5913290959862,0.00113619267963658,0.192016562858582,"A2ML1","LOC113989407 (A2ML1)","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LTBP2",1078.93178909597,0.994180914412981,0.307577017420566,10.4714398921002,0.00121234189806757,0.201684440448834,"LTBP2","LTBP2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"GPD1",121.244439141047,-1.97121691874065,0.592936820687975,10.3806577173663,0.00127342323057013,0.208586725167388,"GPD1","GPD1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"PHLDA2",244.398789390026,-0.682629962899198,0.212559319847361,10.2075217808473,0.00139869000875648,0.218997831223975,"PHLDA2","PHLDA2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"TECTA",139.28440901307,1.55612641420286,0.472411755067113,10.2260757095563,0.00138468959798088,0.218997831223975,"TECTA","TECTA","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"TTC7A",846.636282291888,1.06955658752968,0.335090901497011,10.2227992244213,0.00138715161034407,0.218997831223975,"TTC7A","TTC7A","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"PCDH15",1132.4390518383,0.578609012716901,0.17957787024424,10.1687535634888,0.00142840809506533,0.220409579538559,"PCDH15","PCDH15","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"ADAL",133.851714140637,-0.93370337571185,0.299762384920562,10.0085476286564,0.00155815351208207,0.230774789223698,"ADAL","ADAL","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"CPXM2",110.572822981675,1.66695080267883,0.549092268562153,10.0321880582216,0.00153828197437332,0.230774789223698,"CPXM2","CPXM2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"FANCG",132.314378070325,-0.941750716143618,0.291990795745501,10.0056497739534,0.00156060719677902,0.230774789223698,"FANCG","FANCG","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"ACE",272.035636039746,-0.924467508330997,0.292600065713154,9.86924316469508,0.00168064627846566,0.240534047310995,"ACE","ACE","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"DNAL4",1050.11521610421,0.49784241907416,0.158555414527975,9.88804998894739,0.00166355565395557,0.240534047310995,"DNAL4","DNAL4","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"RNF13",1906.34064463799,-0.34421456761036,0.109336188759376,9.8299065151144,0.00171697075191468,0.240534047310995,"RNF13","RNF13","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"TNRC18",4990.4974596561,0.568206713730918,0.179721668568248,9.83077783406392,0.00171615760085754,0.240534047310995,"TNRC18","TNRC18","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"KIAA0556",463.450248157702,0.794256014854716,0.258946629247529,9.78974575753597,0.00175487724775381,0.242651663075777,"KIAA0556","KIAA0556","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113989593",282.599774771219,-0.98261571731293,0.318863237600861,9.73890703549273,0.00180408136729611,0.246257106635919,"AKAP8","LOC113989593 (AKAP8)","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"CCDC71",1834.56695475102,0.476714134422489,0.151997680471501,9.69898085055959,0.00184370236465774,0.246709381411997,"CCDC71","CCDC71","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"TRRAP",1666.12225668431,0.646532546641793,0.205575379429152,9.68900573942403,0.00185373819037849,0.246709381411997,"TRRAP","TRRAP","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"DEPDC5",862.918250295956,0.601000751071007,0.193907316533783,9.63789239153337,0.00190603818628654,0.250538130486331,"DEPDC5","DEPDC5","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"RBMX2",254.469018451135,-0.673278884671837,0.218880461263418,9.5976563088701,0.0019482587848425,0.252964771734368,"RBMX2","RBMX2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LAMP5",1928.40095563294,0.763549280148461,0.25394950619622,9.5275784351891,0.00202407013046641,0.255959659904283,"LAMP5","LAMP5","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113991879",436.634345706206,0.948531667580228,0.30229648095102,9.49686913803018,0.00205822802296542,0.255959659904283,"LOC113991879","LOC113991879","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"NPAS2",911.853359337563,1.3714956724495,0.440048467419921,9.48863422997448,0.00206748668655662,0.255959659904283,"NPAS2","NPAS2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"SUSD6",1543.58626507673,0.500252967592003,0.161807070868412,9.50222699521331,0.00205222666910304,0.255959659904283,"SUSD6","SUSD6","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"ABCA1",815.611630907932,0.990375667876176,0.317155361179407,9.42668438948965,0.00213850582769013,0.256944503744407,"ABCA1","ABCA1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"CDKL5",3001.28163109689,0.500610819859581,0.163017252220494,9.43349781601026,0.00213057534365836,0.256944503744407,"CDKL5","CDKL5","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"DPF3",1082.50878213481,0.656783706649651,0.212056799825993,9.41869707739761,0.00214784078456393,0.256944503744407,"DPF3","DPF3","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"ARHGAP15",397.428252046168,-0.784657336616665,0.252038180658516,9.3707684351884,0.00220473074561668,0.260819647206454,"ARHGAP15","ARHGAP15","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"CEP192",354.661059949668,0.750535397462351,0.243163942064731,9.32818254576344,0.00225656055337821,0.261147828389324,"CEP192","CEP192","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"MYCN",381.601611012241,0.500015773239958,0.16444685474276,9.33575460743452,0.00224725533286843,0.261147828389324,"MYCN","MYCN","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"CUNH8orf34",918.501994106305,0.987189114853082,0.330887557761793,9.26194349399918,0.0023396461079535,0.267851743133128,"CUNH8orf34","CUNH8orf34","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"KLF3",158.277442712258,1.0770707634442,0.355529892767883,9.21087495415151,0.00240581683582919,0.272497147351845,"KLF3","KLF3","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113998917",223.168937969798,0.855671482467703,0.277071632919057,9.12493233204223,0.00252149211590977,0.279649234980118,NA,"LOC113998917","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"MLPH",1807.43987263059,0.404089782103261,0.133555150943459,9.12764836751626,0.00251775144385436,0.279649234980118,"MLPH","MLPH","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113993050",786.914420077471,-0.706114499570616,0.234260099400021,9.02222444321743,0.00266716611295765,0.292755851594435,"CYP46A1","LOC113993050 (CYP46A1)","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"FARP1",1578.42459372714,0.44635591323998,0.148475177643603,8.91125284392737,0.00283418758677108,0.297467056252007,"FARP1","FARP1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113992189",310.596589323599,-0.694422654560341,0.231327913978877,8.91649083278519,0.00282607014982117,0.297467056252007,"TRIM58","LOC113992189 (TRIM58)","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
