,PFT1_VMH_run1,PFT10_VMH_run1,PFT11_VMH_run1,PFT12_VMH_run1,PFT2_VMH_run1,PFT3_VMH_run2,PFT4_VMH_run1,PFT5_VMH_run1,PFT6_VMH_run1,PFT7_VMH_run1,PFT8_VMH_run1,PFT9_VMH_run1
EIF1B,2069.26186556228,2030.93101445897,1915.47103882313,1837.29303642407,1801.99178567645,2197.122191122,1616.80672344876,2043.23598425681,1871.45591934606,1950.43095695601,1756.33230442917,2339.40740327109
LOC113987788,37.0905428732861,57.3647000281729,53.5980428294546,49.3571045969185,65.2632839882818,54.5271200716409,42.3144790677399,78.671233667155,57.0986024839935,47.2707186617367,35.50033381293,20.378113268912
LOC113987801,16.5931376012069,61.7773692611092,14.058503037234,13.0947420359172,16.3158209970704,6.41495530254598,8.85651887464322,6.6482732676469,12.7979626257227,13.3591161435343,5.60531586519948,14.2646792882384
TNFAIP3,120.056230879321,136.792746221028,133.555778853723,171.23893431584,154.093864972332,161.443041780741,134.815898425125,162.882695057349,137.824212892398,173.668509865946,116.777413858323,112.079622979016
LOC113988082,171.787777518378,56.2615327199388,36.9035704727392,40.2915139566682,117.836484978842,53.4579608545499,25.5854989711915,44.3218217843127,29.5337599055139,166.475139634812,24.2897020825311,123.287585276917
LOC113988074,16.5931376012069,7.72217115763865,9.66522083809837,1.0072878489167,6.34504149886073,6.41495530254598,3.93623061095254,2.21609108921563,10.8290452986884,13.3591161435343,5.60531586519948,7.13233964411918
ARFGEF3,11297.9745725865,10439.2722378192,13123.6125852579,13199.4999722045,14575.4667573829,11387.6148212362,13755.1578699737,15456.1273017344,14764.9110354299,11962.5746943756,12789.4623657635,11754.0957335084
SMIM28,14.6410037657708,3.30950192470228,8.78656439827124,2.01457569783341,7.25147599869798,5.34579608545499,3.93623061095254,6.6482732676469,4.92229331758564,6.16574591240044,14.9475089738653,7.13233964411918
NHSL1,1140.04615989469,938.795379307213,1357.52419953291,1175.50491968579,1035.14819881414,1443.36494307285,1273.37060264315,1419.40634264261,1173.47472691242,989.602218940271,1358.35487800001,1255.29177736498
CCDC28A,1027.79846435711,935.485877382511,727.527532176859,846.121793090031,794.036621857429,938.721792605896,774.453372704913,925.218029747527,869.276999885625,760.441995862721,845.468476334255,883.391210207333
REPS1,1134.18975838838,1087.72296591882,1216.93916916057,1106.00205811054,1154.79755279265,1255.19292086483,1069.67066852635,1164.55586738281,1140.00313235284,1211.56907178669,1234.10370965475,1277.70770196078
ABRACL,48.8033458859027,35.301353863491,46.5687913108376,45.3279532012517,29.0059039947919,68.4261898938238,25.5854989711915,33.2413663382345,37.4094292136509,38.0220997931361,38.3029917455298,36.6806038840415
LOC113987838,49.7794128036208,63.9837038775774,39.5395397922206,44.320665352335,33.5380764939782,16.037388256365,44.2825943732161,21.0528653475485,41.3472638677194,11.3038675060675,24.2897020825311,33.6238868937047
HECA,2166.86855733408,1693.36181813933,1887.35403274866,1828.22744578382,1881.75802166213,2428.06058201366,1766.38348666495,1960.13256841123,2054.56523076025,2393.3370383301,1931.03131556122,2347.55864857866
CITED2,482.177057352719,792.074127312079,574.641311646939,608.401860745689,620.001197888677,609.420753741869,379.846253956921,604.992867355868,596.58195009138,620.685088514978,541.847200302616,504.358303405571
ZFYVE27,728.145920617669,888.049683128445,696.77455678291,720.210811975443,732.399075868496,598.729161570959,724.266432415268,757.903152511746,696.996733770127,639.182326252179,671.703684513071,712.215058748473
MARVELD1,50.7554797213389,87.1502173504934,99.2881777004651,82.5976036111697,37.1638144933271,44.9046871178219,64.947805080717,43.2137762397048,104.352618332816,64.7403320802046,38.3029917455298,70.3044907777462
PI4K2A,859.914954509606,1020.42976011654,748.61528673271,838.063490298698,903.715196337736,751.618929614971,874.827253284203,815.521520831353,851.556743942317,850.872935911261,858.547546686387,890.523549851452
MORN4,659.821236377405,996.160079335386,678.32277154654,856.194671579199,678.919440378098,597.660002353868,724.266432415268,791.144518849981,826.945277354388,701.867409694917,785.678440438794,593.003096125338
ANKRD2,10.7367360948986,19.8570115482137,8.78656439827124,9.06559064025034,3.62573799934899,11.760751388001,7.87246122190509,4.43218217843127,9.84458663517129,20.5524863746681,5.60531586519948,12.2268679613472
UBTD1,164.955309094351,227.252465496223,137.949061052859,213.545023970341,157.719602971681,133.644902136375,161.385455049054,166.206831691172,185.07822874122,153.116023491278,155.080405603852,160.987094824404
MMS19,862.843155262761,934.382710074277,733.678127255649,926.704821003368,872.896423343269,666.086192247691,924.03013592111,829.926112911254,789.535848140737,761.469620181455,927.679775690514,730.555360690494
ZDHHC16,100.53489252496,179.816271242157,147.614281890957,149.078601639672,136.871609475424,106.9159217091,126.94343720322,136.289601986761,134.870836901847,130.508288479143,136.396019386521,149.779132526503
EXOSC1,120.056230879321,179.816271242157,93.1375826216752,136.991147452672,118.742919478679,114.400036228737,122.023148939529,119.668918817644,117.150580958538,109.955802104475,112.10631730399,122.268679613472
PGAM1,9849.49126669289,12246.2602887067,8934.1786801622,10437.5166904749,10049.6392996956,8477.36343231452,10072.8141334276,10210.639693561,9758.9387314453,10203.281860704,9445.89145217199,9408.57489625665
RRP12,1003.39679141416,1011.60442165066,1050.87310203324,1103.98748241271,1040.58680581316,822.183437942977,1165.12426084195,1016.07776440537,1076.99777788774,936.165754366134,1082.76018129437,1017.88675778215
ARHGAP19,772.068931914981,667.416221481627,552.674900651261,717.188948428693,688.890219876308,701.368446411694,703.601221707767,683.664101023023,678.292019163302,886.83978706693,553.992051343882,765.198153247644
SLIT1,5588.95917085358,7075.71511501348,7631.13117989858,8067.36838197388,6030.50872741721,5786.28968289648,7069.47017727077,6441.06875080524,6590.95075224718,5242.93927417784,7531.67608420637,5786.36526270755
LCOR,379.690030992323,401.55290019721,392.759428602725,416.009881602599,519.386968406743,586.968410182958,429.049136593827,573.967592106849,443.990857246225,364.806633150359,468.043874744157,385.146340782436
PPRC1,351.3840903785,371.76738287489,426.148373316155,387.805821832931,451.404380918949,317.540287476026,386.734657526087,469.811310913714,395.752382733886,382.276246568827,448.425269215958,341.333397254275
LDB1,1074.64967640758,1252.0948948457,1313.59137754155,1196.65796451304,1152.98468379298,1058.46762492009,1234.99235418636,1232.14664560389,1169.53689225835,1049.20442942681,1178.98477031362,1071.88875794477
LOC113988245,73.2050188288541,71.7058750352161,104.560116339428,64.4664223306691,103.333532981446,20.314025124729,33.4579601930966,59.8344594088221,71.8654824367504,31.8563538807356,86.882395910592,33.6238868937047
HPS6,472.416388175539,533.932977185301,407.696588079786,445.221229221183,448.685077419437,327.162720429845,519.582440645736,437.677990120087,450.882067890845,499.425418904436,488.596699583221,453.413020233291
ARMH3,982.899386142081,942.104881231916,899.744194382975,1052.61580211796,956.288397328296,807.215208903703,993.898229265517,1114.69381787546,1145.90988433394,854.983433186194,981.864495720776,906.826040466582
KCNIP2,2275.21198520079,3173.81234578949,2914.50341090657,2495.05200176668,2580.61902103664,1457.26401289503,2278.09346608879,3272.05849322688,2711.19915932617,2273.1049930383,2309.39013646219,2163.136723495
OGA,1504.11912020352,1408.74465261494,1426.05940183942,1433.37060900847,1509.21344222902,1584.49395972886,1425.89953881756,1554.58789908477,1390.05563288619,1537.32598082518,1592.84392502752,1348.01219273853
NPM3,34.1623421201319,16.5475096235114,18.4517852363696,11.0801663380837,13.5965174975587,31.0056172956389,12.7927494855958,32.1333207936267,7.87566930813703,7.19337023113385,21.4870441499313,9.17015097101038
FBXW4,109.319494784422,112.523065439878,73.8071409454785,104.757936287337,92.4563189833992,100.500966406554,85.6130157882178,86.4275524794097,75.8033170908189,65.767956398938,101.829904884457,80.4935474122022
LOC113988364,19.5213383543611,9.92850577410684,21.9664109956781,18.1311812805007,21.7544279960939,19.244865907638,23.6173836657153,19.9448198029407,24.6114665879282,21.5801106934015,35.50033381293,28.5293585764767
LOC113988371,9.76066917718055,9.92850577410684,19.3304416761967,24.1749083740009,20.8479934962567,26.7289804272749,18.6970954020246,16.6206831691172,17.7202559433083,35.9668511556692,15.8817282847319,31.5860755668135
TRIB2,1794.9870616835,1647.0287911935,1528.8622052992,1502.87347058372,1524.62282872625,1938.38566058598,1446.56474952506,1628.82695057349,1594.82303489775,1846.64090076393,1421.88179113893,2017.43321362228
LPIN1,1000.46859066101,910.113029293127,1300.41153094414,1286.30658306663,888.305809840502,1256.26208008192,1125.76195473243,1334.08683570781,1140.98759101635,1043.03868351441,997.746224005508,1148.30668270319
