,PFT1_LS_run2,PFT10_LS_run2,PFT11_LS_run2,PFT12_LS_run2,PFT2_LS_run2,PFT3_LS_run2,PFT4_LS_run2,PFT5_LS_run2,PFT6_LS_run2,PFT7_LS_run2,PFT8_LS_run2,PFT9_LS_run2
GPR34,95.3335520363043,60.2073468108712,88.1336567430862,87.2917547668372,45.6936436914762,38.3814497627451,56.6041301769685,70.7610135647884,71.1870832724864,99.2994911461942,111.750293286526,67.1433939246009
NYX,2.11852337858454,15.9038274594754,9.90265806102092,6.14730667372093,7.43850013582171,19.1907248813725,10.0426682572041,10.6141520347183,16.0421596107012,13.1723814785768,13.8451690797465,16.1791310661689
DDX3X,10914.6324464675,16110.5772164486,13959.7770686212,12787.6273426743,7866.74521506973,9963.64158960023,12322.3539515894,12975.8008624431,13771.1913908113,14427.8107594965,13197.4129549441,11271.1916572466
LOC113998898,2023.18982654824,1931.17904865059,1842.88466515599,2006.48089830251,2028.58525132623,2133.82583800023,1723.68706087285,1865.43722010173,1901.99854884376,1654.65376573199,1792.94939582718,2259.41565339049
USP9X,6946.63815837871,8025.7529286567,8728.20281498384,7451.76514988451,6057.06439631196,6653.69846958445,7653.42618183108,8593.92509744355,7455.59367907337,6910.43397568413,8320.94661692766,5475.82690934486
MED14,1263.69919532568,1292.75397492022,1462.62259561279,1292.16386281614,1146.59166379309,1356.14455828366,1247.11680357644,1322.34644099198,1246.27527475635,1101.41374363177,1280.67813987655,1117.97795667227
ATP6AP2,5899.02834766865,5376.62966897837,6144.59932686348,5248.57043802293,3644.86506655264,4773.00743120994,5426.69273825647,5337.14944812417,5483.41068193279,4575.88267363483,5698.27601696425,5386.84168848093
BCOR,501.030779035244,481.65877448697,512.957687560884,559.404907308604,609.95701113738,550.134113266013,682.901441489878,448.447923466847,608.599430230976,555.266542327698,435.133885363462,580.021848722155
MID1IP1,1151.4174562607,1018.9809450821,1087.3118551001,963.897686439442,1333.61681006518,1103.92360269991,1074.56550352084,957.042708463763,1052.76672445226,750.825744278876,1119.48081416236,1175.41387195717
TSPAN7,11319.2704117772,13054.770368878,14150.8983691989,12005.689933777,8311.99258034248,12345.1191629744,14967.2275826004,13479.9730840922,11002.9162229897,14061.0105983238,14592.8082100528,12971.6183323009
LOC113998862,341.082263952111,875.846497946825,711.010848781302,499.161301906139,377.238221173815,339.949983612885,382.53436361532,873.014004855577,930.445257420668,828.8467730366,890.046583697991,370.502101415268
RPGR,496.793732278075,536.186182919457,479.288650153412,457.359616524837,704.53222714997,538.254140720401,613.515733531014,578.471285892145,570.49930115556,409.357085949617,611.165320805954,381.827493161586
SRPX,57.2001312217826,45.4395070270726,40.6008980501858,61.4730667372093,86.0740730002226,67.6244591057889,62.0819492263526,38.0340447910738,46.1212088807659,61.8088669379372,57.3585576160928,87.367307757312
SYTL5,2158.77532277765,3364.79549535473,2583.60348812036,3235.9422330467,2573.72104699431,2285.52394896727,2741.64843421672,3705.22357278623,3462.09857098445,2712.49732447308,4635.16481976943,2237.57382645116
DYNLT3,2469.13899774028,2722.96245859733,2338.01756820704,2360.56576270884,1814.9940331405,1835.91268031797,2512.49300398415,2645.57739465353,2413.34238643486,2352.78998409656,2644.42729423159,2131.60051796775
LOC113998942,16.9481870286763,19.3117904865059,27.7274425708586,38.1133013770698,9.56378588891362,20.1045689233427,16.4334571481522,19.4592787303168,21.0553344890453,25.3315028434169,13.8451690797465,12.9433048529351
XK,351.674880845034,472.570873081555,437.697486297125,552.028139300139,247.595790235208,373.762213165779,432.74770490134,503.287708979558,289.76150796829,741.706403255246,439.089647957676,391.534971801287
