"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","n_p005","n_q01","Test","design","fdrtool"
"GRASP",163.662569280356,-2.05684426548219,0.607643354546916,11.7960329769156,0.000593570677062433,0.224520892542122,"GRASP","GRASP","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"STK10",626.863901147052,-1.70309598233379,0.499391093045838,11.7564683249782,0.000606321610969813,0.224520892542122,"STK10","STK10","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"EDA2R",22.7264337877586,-3.68052343302791,1.11759063695441,11.6290400565605,0.000649300556729421,0.228986663006576,"EDA2R","EDA2R","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"PQLC1",1540.90964579214,1.06401482279021,0.308008962934813,11.6716820798796,0.00063458609992569,0.228986663006576,"PQLC1","PQLC1","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"LOC113988019",947.242308828674,1.43377168204462,0.413423868548542,11.4638516169306,0.000709630691407027,0.244443018630718,"HIST1H101","LOC113988019 (HIST1H101)","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"MDK",224.356950619794,1.97735973382505,0.580499746625225,11.2189005514078,0.000809684492028059,0.272569243089082,"MDK","MDK","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"CBARP",582.024526992305,-2.04771595921237,0.622972487219608,11.1175287366381,0.000855156522320001,0.277225975186817,"CBARP","CBARP","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"F3",197.769830302952,-2.4722591095905,0.714240885763734,11.1050057262615,0.000860950233499431,0.277225975186817,"F3","F3","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"KREMEN1",8004.42359604639,1.49222835960704,0.449809267896158,11.0299549903862,0.000896513244692908,0.282535195327476,"KREMEN1","KREMEN1","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"DMTN",790.703572313191,-1.6743625470584,0.527301393904168,10.8390369657815,0.000993824070259497,0.28937737005418,"DMTN","DMTN","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"EPOR",212.452203017955,-2.79872855474753,0.854094809653407,10.9163816466207,0.00095317599800237,0.28937737005418,NA,"EPOR","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"LOC113989751",17.1342192477516,-4.67787906542516,1.37271712838797,10.8485210028586,0.00098874695778277,0.28937737005418,"LOC113989751","LOC113989751","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
