,PFT1_POM_run1,PFT10_POM_run1,PFT11_POM_run1,PFT12_POM_run1,PFT3_POM_run1,PFT4_POM_run1,PFT5_POM_run1,PFT6_POM_run1,PFT7_POM_run1,PFT8_POM_run1,PFT9_POM_run1
ATG13,4301.49817328426,4041.48302328963,4282.96180918874,4302.38016475998,4526.91252486652,4414.37070680351,4323.74125205448,4170.30894875651,4473.55843009072,4072.00168512757,4216.15054388264
ARHGAP1,2057.087432869,2145.57888278109,2251.53959219983,2107.18258370315,1842.47796399353,1977.1955126783,2081.18837299847,2113.57225256399,2265.80473608407,2311.93191080021,1954.40073288657
CKAP5,3965.01000972896,4062.7967208007,4065.64253620508,3818.81541459322,4009.90204163682,4091.66781224721,4272.02185908732,3998.9142240738,3949.28495632908,4321.8119121368,3911.6298315226
LRP4,1243.04046674209,1356.97207487148,1783.32381950542,1610.15671629405,1219.38541617026,1147.38806953352,1454.34933023651,1655.33557931902,1951.96628985305,1670.78398976893,1959.11467580236
CUNH11orf49,1418.80060715586,1471.66006624057,1813.17024326283,1515.92889559774,1566.66459605025,1472.13987135684,1671.57078069858,1520.35113293678,1512.04823661014,1540.65470801888,1431.15306923387
ARFGAP2,752.762180324745,739.889785027158,648.22701598131,646.133627631824,787.240584615416,722.239811626009,764.412628054608,685.57889873084,718.381645707999,686.740662082396,765.544329524308
DDB2,655.631576411874,767.293110398534,638.900008557118,686.516979358814,635.375734249889,653.601418180701,671.317720713722,799.250011473777,797.294781031984,666.793837872534,729.718363364304
PACSIN3,151.477489435548,202.987595343528,152.962921756741,162.568877465058,151.864850365527,118.8366214874,212.049511165351,133.208335245629,149.662842855833,153.875501047508,148.960596138966
ACP2,1542.52649547344,1431.06254717187,1485.79228267371,1474.51007331365,1459.46587814517,1607.36775098044,1591.92291552915,1451.97085417736,1581.89089660953,1605.24442450795,1684.76319810337
LOC113987125,4.62526685299382,12.1792557206117,15.8559126211256,9.31923501392054,16.7497996726684,13.3178972356569,13.4470421714613,12.4327779562588,12.6986654544343,14.247731578473,14.1418287473702
NR1H3,1825.82409021931,1747.72319590777,1780.52571727816,1763.40635874519,2025.60910708137,1842.99208668821,1792.59416024173,1745.02919171775,2069.8824690728,1853.15495397338,1902.54736081287
MADD,5049.63508675601,6483.42379527227,5948.76533514934,6490.32945191711,4737.96000074214,5491.0714756247,6032.54999568941,7200.35454781043,6268.60549682826,5267.8612889474,4907.21457533747
SPI1,54.3468855226774,51.7618368125995,34.5099274695086,15.5320583565342,35.7329059683593,39.9536917069707,29.9972479209522,23.0894447759091,39.0030438957626,55.0912287700954,28.2836574947404
SLC39A13,424.368233762183,386.69136912942,475.677378633767,502.203220194607,505.843950114586,480.468754117161,432.374125205448,420.938339376189,445.360338437661,447.378771564051,542.103435315859
LOC113987157,763.169030743981,765.263234445099,776.939718435153,726.900331085802,716.891425990208,780.633668736197,715.796398665479,730.869732714354,821.785064408393,702.888091204666,707.091437368511
PSMC3,1534.4322784807,1446.28661682263,1455.01315817388,1412.38183988751,1689.49646031649,1546.92498660323,1617.78261201273,1390.69501996437,1357.85015609201,1480.81423538929,1502.80500155388
CELF1,528.436737954544,426.273950221408,464.484969724737,450.429692339493,499.144030245519,523.495806724668,455.130658110998,441.363617447186,489.805667528181,445.479074020254,494.0212175748
PTPMT1,163.040656568032,209.077223203833,145.501315817388,167.74623025057,150.748197054016,155.716952293835,154.123791042133,161.626113431364,177.781316362081,175.722022801166,171.587522134759
KBTBD4,412.805066629699,403.94531473362,391.734311816043,428.684810640345,435.494791489379,424.123804273997,439.614840220851,459.12472881327,439.011005710444,390.387845250159,395.971204926366
