,PFT1_PIT_run1,PFT10_PIT_run2,PFT11_PIT_run2,PFT12_PIT_run1,PFT2_PIT_run1,PFT3_PIT_run2,PFT4_PIT_run1,PFT5_PIT_run1,PFT6_PIT_run1,PFT7_PIT_run1,PFT8_PIT_run2,PFT9_PIT_run1
SLC35G1,317.39762326089,262.5268281813,257.869939413781,344.787382504826,354.101798631705,401.827417887688,427.119694703689,361.197870689905,478.30755844916,237.728262932616,399.492740427366,277.826621259764
PLCE1,70.1937051442353,57.8630560073069,119.527697239006,158.279587875022,95.3651643114083,238.005470595015,89.7570372928041,184.612245019285,158.341953311643,90.5631477838537,299.331736343272,108.32229276554
NOC3L,437.439032058278,375.038325973286,422.773892086113,413.341598909294,368.953750450694,400.797091175156,303.316884644648,315.044809435084,498.818174163103,327.262284037108,473.174398604172,307.91614702797
TBC1D12,756.871255468277,887.233525445373,856.615163546209,836.76470023101,982.573865077379,1062.26684062104,685.042215660022,690.289263985153,831.910573357544,710.097408759762,1842.04145442013,652.94270917006
SYNDIG1,10.1730007455414,5.35769037104694,14.3875931861766,15.1222536186327,14.0702701443061,9.27294041279281,15.47535125738,13.0432564415799,6.56339702846189,6.17476007617184,5.75637954506292,6.01790515364111
LOC113999601,44771.3762811275,48753.9108384529,53176.5444161088,74483.1479732135,56189.6238212866,41941.5094870619,25319.7380372414,32588.0745555781,29943.0376684717,25869.1573391219,41799.3744285199,26379.4872409858
LOC113999595,124.110609095605,88.9376601593791,117.314221364209,81.6601695406166,102.400299383561,74.1835233023425,142.373231567896,124.412599904301,115.679872626641,116.291314767903,44.8997604514907,96.2864824582577
DSTN,10708.1005847568,12753.4461592401,11969.3707929616,11102.7586068001,12596.8001875274,13366.4284416846,8505.25305105606,9078.10648333962,8829.40985253835,8660.10100683101,20713.7561549544,10519.2982085647
RRBP1,1429.30660474856,1322.27798357438,1177.56916539169,1072.67185668168,1249.9089978192,1066.38814747117,1305.08795603905,1283.25576836775,1780.32144397029,1424.31132423697,868.062035395488,1372.08237503017
SNX5,753.819355244614,847.586616699625,743.727893931592,721.835572729401,738.689182576073,969.537436493115,593.221798199567,599.989796312676,781.864671015522,648.349807998043,1588.76075443736,628.871088555495
MGME1,422.179530939966,490.764437987899,440.481699084485,463.749110971403,494.022818400082,511.042049416137,427.119694703689,441.464064176551,639.931210275034,548.524520099932,420.215706789593,436.29812363898
KAT14,506.615437127959,477.905981097387,318.740525970682,506.091421103574,416.636332606399,427.585585701002,507.591521242065,416.380878711974,625.163566960995,526.91285983333,299.331736343272,490.45927002175
ME1,1217.7081892413,1637.31017739194,1922.40379726068,1428.54889184017,1087.31920948499,1628.94653251394,1236.99641050658,1302.31898932083,1161.72127403775,1240.09764863118,2358.96433756678,1794.33871997732
RWDD2A,14.2422010437579,9.64384266788448,4.42695174959281,6.04890144745308,6.2534533974694,6.1819602751952,9.28521075442801,8.02661934866457,8.20424628557736,10.2912667936197,3.45382772703775,7.02088934591462
PGM3,440.490932281941,387.896782863798,344.195498530841,384.105241913271,397.87597241399,299.825073346967,342.521107830011,228.75865143694,332.271974565883,389.009884798826,303.936839979322,331.987767642534
DOP1A,1195.32758760111,961.16965256582,1021.51911621854,1057.54960306305,988.045636800165,1157.05689817404,912.014034101596,1106.67014269713,1744.22276031375,1339.92293652929,927.928382664142,949.826030083021
UBE3D,87.4878064116556,101.796117049892,80.7918694300688,100.815024124218,153.209608238,61.819602751952,106.264078634009,83.2761757423949,138.651762226257,119.378694805989,133.54800544546,85.253656343249
TPBG,1692.78732405808,949.382733749517,1481.92209817619,1338.82352036962,920.821012777369,1303.36329135366,1455.71470827755,1004.33074600165,1420.15503203344,1264.79668893587,1573.7941676202,677.014329784624
LOC113999617,99.6954073063053,82.5084317141228,14.3875931861766,82.6683197818588,58.6261256012756,22.6671876757157,34.045772766236,61.2029725335673,39.3803821707713,60.7184740823564,23.0255181802517,49.1462254214024
IBTK,1072.23427858006,935.452738784795,1044.7606129039,1187.60098418329,907.532424307746,1207.54290708813,830.510517479394,931.08784444509,1279.04199592151,1100.13642023795,1235.3190503705,937.790219775739
LOC113999639,524.926838469934,394.326011309054,318.740525970682,455.683909041465,554.993989025409,452.313426801782,1108.03515002841,1120.71672655729,391.34254782204,870.64117074023,216.439870894366,569.695021211358
COL9A2,2.03460014910827,2.14307614841877,1.1067379373982,0,6.2534533974694,92.7294041279281,22.6971818441574,60.1996451149842,9.84509554269283,6.17476007617184,21.8742422712391,4.01193676909407
SMAP2,657.175848161971,499.336742581574,615.346293193401,478.871364590036,938.799691295093,824.261370026027,794.401364545508,929.081189607924,427.44123147858,795.514923146806,484.687157694298,673.00239301553
RIMS3,128.179809393821,86.7945840109604,154.943311235748,90.7335217117962,154.772971587368,83.4564637151353,163.007033244403,173.575643414871,123.06369428366,223.320489421548,54.1099677235914,170.507312686498
LOC113999636,34.5882025348406,48.2192133394224,52.0166830577155,29.2363569960232,62.534533974694,25.7581678133134,38.1725331015374,75.2495563937303,38.5599575422136,61.7476007617184,47.2023122695159,39.1163834986672
NFYC,1241.10609095604,1238.69801378605,1263.89472450875,1233.97589528043,1376.54142911795,1243.60434202677,1341.19710897293,1377.56854571456,1062.44989398227,1274.05882905012,1102.92232083405,1464.35692071934
TINAGL1,60.020704398694,55.7199798588881,23.2414966853623,40.3260096496872,88.3300292392553,86.5474438527329,202.211256429766,99.329414439724,17.2289171997125,28.8155470221353,6.9076554540755,51.1521938059494
LOC113999640,4.06920029821654,8.5723045936751,0,4.03260096496872,6.2534533974694,2.06065342506507,8.25352067060268,4.01330967433228,14.7676433140392,29.8446737014972,1.15127590901258,5.01492096136759
WDR83,266.532619533183,219.665305212924,335.341595031655,329.665128886193,463.537233087419,287.461152796577,244.510549866604,293.97493364484,177.211719768471,334.466170792641,253.280699982768,276.823637067491
WDR83OS,827.064960612512,1528.01329382259,1107.8446753356,1482.98900486725,1215.51500413311,677.954976846407,791.306294294032,740.455634914306,515.226666734258,536.174999947588,1357.35429672584,1164.46464722955
MTRR,249.238518265763,230.380685955018,188.145449357694,206.670799454647,194.638736996235,246.248084295276,238.320409363652,230.765306274106,330.631125308767,267.572936634113,177.296489987938,166.495375917404
FASTKD3,257.376918862196,230.380685955018,239.055394478012,273.208715376631,223.560958959531,251.399717857938,182.609144837084,205.68212080953,295.352866280785,229.49524949772,321.205978614511,218.650553915627
CUNH5orf49,30.5190022366241,47.147675265213,26.5617104975569,28.228206754781,32.8306303367143,27.8188212383784,30.95070251476,36.1197870689905,26.2535881138475,14.4077735110676,86.3456931759438,38.1133993063937
ADCY2,473.044534667673,287.172203888116,292.178815473125,323.61622743874,204.800598767123,255.521024708068,237.288719279827,177.588953089204,296.9937155379,277.864203427733,406.400395881442,230.686364222909
TENT4A,279.757520502387,263.598366255509,324.274215657673,309.502124061349,307.982579825368,379.160230211973,274.429562297539,229.761978855523,330.631125308767,242.873896329426,445.54377678787,272.811700298397
SRD5A1,68.1591049951271,48.2192133394224,27.6684484349551,75.6112680931635,58.6261256012756,59.758949326887,83.5668967898521,50.1663709291535,59.070573256157,96.7379078600255,73.6816581768053,60.1790515364111
NSUN2,409.971930045316,452.189067316361,459.296244020254,375.031889742091,429.143239401337,444.070813101522,370.376740093295,296.984915900589,413.494012793099,373.572984608396,528.435642236776,295.880336720688
UBE2QL1,941.002568962575,994.387332866311,1426.58520130628,1059.56590354553,873.138430621665,776.866341249531,728.373199180686,891.95807512035,1001.738471469,852.116890511714,1455.21274899191,917.730535930269
MED10,1020.3519747778,1294.41799364494,1367.92809062418,1298.49751071993,1235.83872767489,1423.91151671996,782.021083539604,847.811668702695,1073.11541415352,789.340163070634,1956.01776941238,1192.54820461321
CUNH7orf57,132.249009692038,191.80531528348,308.779884534099,297.404321166443,268.1168144165,195.762075381181,201.17956634594,211.702085321028,285.507770738092,241.844769650064,326.962358159574,239.713221953371
UPP1,140.387410288471,202.520696025574,159.370262985341,141.141033773905,73.4780774202654,229.762856894755,166.102103495879,170.565661159122,151.778556283181,99.8252878981114,261.339631345856,188.561028147421
ABCA13,531.030638917259,202.520696025574,472.577099269033,342.771082022341,194.638736996235,229.762856894755,510.686591493541,326.081411039498,703.10390667398,507.359452925453,419.06443088058,549.635337365888
LOC113999661,275.688320204171,487.549823765271,233.521704791021,372.007439018364,331.433030065878,164.852274005205,132.056330729643,445.477373850883,187.056815311164,262.427303237303,211.834767258315,608.811404710025
LOC113999662,202.442714836273,513.266737546296,945.154198538065,382.088941430786,279.842039536756,219.45958976943,171.260553915006,274.911712691761,272.380976681168,248.019529726236,248.675596346718,269.802747721576
LOC113999672,4.06920029821654,41.7899848941661,19.9212828731676,19.1548545836014,17.1969968430408,95.8203842655257,17.5387314250307,17.0565661159122,17.2289171997125,9.26214011425776,85.1944172669312,24.0716206145644
DAD1,3963.40109046291,7678.64183978447,5219.37611276992,7183.07046885053,7483.03867174682,5609.09862302712,4400.15820751505,3976.18655984471,2987.16607257872,4232.7980322158,5607.86495280029,6408.0660044355
TMEM74,452.69853317659,318.246808040188,452.655816395865,647.23245487748,565.155850796297,387.402843912233,464.260537721401,277.921694947511,543.121104105221,377.689491325844,262.490907254869,540.608479635426
TRHR,4039.69859605447,3039.95351653203,7837.91807265407,7203.23347367538,5154.40896286415,3488.68624863516,4144.29906672637,6861.75621568962,12461.4296831634,6013.18718751201,6268.69732457352,4658.86157311049
NUDCD1,966.435070826429,932.238124562167,987.210240159197,854.911404573369,844.216208658369,833.53431043882,839.795728233822,668.216060776325,1065.7315924965,796.544049826168,1025.78683493021,887.641010162063
ENY2,601.224344061494,821.8697029186,867.682542920191,758.128981414119,594.859754434277,686.197590546668,385.852091350675,465.543922222545,491.434352506084,442.524472125649,1166.24249582975,637.897946285957
EBAG9,845.376361954486,1216.19571422765,1086.81665452503,1064.60665475174,1192.84623556729,1323.96982560431,866.619670413281,660.189441427661,790.889341929657,726.563435629553,1888.09249078064,954.840951044389
SYBU,1607.33411779553,1844.11702571436,1463.10755324042,1241.03294696912,1500.04713371797,1060.20618719598,1341.19710897293,973.227596025579,1335.65129529199,736.854702423173,1245.68053355162,1075.19905411721
KCNV1,2.03460014910827,52.50536563626,46.4829933707245,27.2200565135389,39.8657654088674,23.6975143882483,43.3309835206641,85.282830579561,54.1480254848106,15.4369001904296,93.2533486300192,23.0686364222909
HIP1,552.393940482895,400.755239754311,399.532395400751,458.708359765192,551.867262326674,554.315771342503,749.007000857193,886.941438027435,353.603014908384,672.019721623369,366.105739066001,546.626384789067
