,PFT1_BSTm_run2,PFT10_BSTm_run2,PFT11_BSTm_run2,PFT12_BSTm_run2,PFT2_BSTm_run2,PFT3_BSTm_run2,PFT4_BSTm_run2,PFT5_BSTm_run2,PFT6_BSTm_run2,PFT7_BSTm_run2,PFT8_BSTm_run2,PFT9_BSTm_run2
LOC114003429,22.8070166054627,29.5337072312685,24.6994461286127,11.620280847364,27.3861198725288,25.2470512897343,22.989375416396,10.8139507521454,24.9430655470885,16.8532395833513,16.965765664885,14.8589735718357
LOC114003424,20.5263149449164,2.39462491064339,12.3497230643064,10.6519241100837,17.3445425859349,13.7711188853096,7.38944209812728,6.48837045128723,5.16063425112175,1.20380282738223,13.734191252526,4.05244733777337
LOC114003431,167.631572050151,229.085783118217,174.954410077673,200.449844617029,227.304794941989,239.846987252476,256.167326068412,157.883680981322,184.062621623342,231.130142857389,228.633889674403,128.32749902949
LOC114003423,5.70175415136568,11.9731245532169,18.5245845964595,14.525351059205,9.12870662417626,12.6235256448671,10.6736385861838,7.56976552650176,15.4819027533652,12.0380282738223,9.69472323707716,13.5081577925779
LOC114003432,137.982450463049,71.8387473193016,59.6903281441474,91.0255333043512,102.241514190774,67.7080011861055,89.4943542995415,75.6976552650176,73.1089852242248,87.877606398903,134.918231715991,64.8391574043739
LOC114003425,14.8245607935508,16.7623743745037,7.20400512084537,23.240561694728,12.7801892738468,10.3283391639822,32.8419648805657,34.6046424068652,19.7824312959667,14.4456339285868,12.1184040463465,9.45571045480453
LOC114003421,221.228061072988,259.417698653034,228.469876689668,206.259985040711,232.782018916495,265.09403854221,262.735719044525,226.011570719838,194.383890125586,216.684508928802,218.131272834236,189.114209096091
LOC114003428,49.0350857017448,79.0226220512318,81.3023435066835,59.0697609741003,49.2950157705518,89.5122727545124,77.1786174693294,81.1046306410903,87.7307822690697,71.0243668155518,55.7446586131937,60.7867100666005
SERPINE1,94.6491189126702,110.152745889596,83.3606306840679,76.5001822451462,113.195962139786,112.464137563362,64.0418315171031,118.953458273599,58.4871881793798,77.0433809524629,148.652422968517,95.9079203273031
LOC114003433,6.84210498163881,1.59641660709559,11.3205794756142,7.74685389824266,10.9544479490115,4.59037296176987,6.56839297611314,1.08139507521454,3.44042283408117,4.81521130952893,17.7736592679748,8.10489467554674
LOC114003437,4.56140332109254,9.57849964257355,5.14571794346098,5.81014042368199,8.21583596175863,8.03315268309727,13.1367859522263,5.40697537607269,10.3212685022435,6.01901413691117,7.27104242780787,17.5606051303513
LOC114003441,44.4736823806523,18.3587909815993,31.9034512494581,12.5886375846443,39.2534384839579,27.5422377706192,27.0946210264667,27.0348768803634,34.4042283408117,21.6684508928802,27.468382505052,27.0163155851558
LAPTM4A,4526.05244535407,3124.98550838962,4422.23000061037,4233.65565538961,2933.96630901025,3136.37232612926,2771.86183591974,4761.38251616961,4034.75587866869,4664.73595610615,2945.58007686528,5027.73633039749
LOC114003443,7.98245581191195,14.3677494638603,20.5828717738439,18.3987780083263,7.302965299341,33.2802039728315,14.7788841962546,25.9534818051489,18.0622198789261,12.0380282738223,21.8131272834236,24.3146840266402
MATN3,5.70175415136568,6.38566642838237,10.291435886922,10.6519241100837,12.7801892738468,11.4759324044247,5.74734385409899,22.7092965795053,15.4819027533652,14.4456339285868,9.69472323707716,12.1573420133201
WDR35,1029.73679973664,852.486468189046,895.354922162211,1006.12265003427,857.18555201015,1076.44245953503,861.280528992835,803.476540884401,799.898308923871,810.159302828243,836.169879197906,782.12233619026
TTC32,192.71929031616,209.130575529523,186.274989553288,204.32327156615,205.395899043966,175.581765787697,188.841298063253,243.313891923271,171.161035995538,154.086761904926,193.894464741543,252.602550721207
CTNNA3,188.157886995067,114.941995710883,142.021815239523,161.715575125815,160.665236585502,185.91010495168,183.915003331168,142.744149928319,126.435539152483,202.238875000215,164.810295030312,151.291367276872
LRRTM3,597.543835063123,779.849512566197,679.23476853685,507.418930334894,605.233249182886,652.980553811764,709.386441420219,729.941675769813,756.032917789336,664.499160714993,650.35435048726,736.194599695495
DNAJC12,2959.21040455879,2460.07799153431,2745.75509463078,2348.26508790481,2461.09930587792,1939.43257634777,2599.44152029677,3138.20850827259,2772.98080426942,2984.22720908056,2764.61190977317,3610.73057795607
SIRT1,837.017509420481,691.248390872391,861.393183735368,807.609518891797,855.359810685315,881.351608659815,821.049122014142,820.778862087834,750.012177829694,819.789725447301,756.996306095109,774.017441514713
HERC4,1441.40344946524,1294.69386835453,1349.20724477547,1213.35099181226,1246.98132486248,1188.9065970984,1161.78450765001,1435.01126480969,1363.26754800466,1279.64240550731,1313.63499862396,1186.01625418834
LOC114003452,70.7017514769344,71.0405390157539,89.5354922162211,91.9938900416316,61.1623343819809,63.1176282243357,54.1892420529334,92.9999764684502,86.0105708520291,80.6547894346096,67.0551690564504,48.6293680532804
MYPN,7.98245581191195,23.9462491064339,4.11657435476878,12.5886375846443,10.9544479490115,17.213898606637,3.28419648805657,10.8139507521454,6.88084566816233,10.8342254464401,6.46314882471811,4.05244733777337
ATOH7,7.98245581191195,3.99104151773898,9.26229229822977,5.81014042368199,5.47722397450575,6.8855594426548,8.21049122014142,11.8953458273599,4.30052854260146,15.649436755969,3.23157441235906,5.40326311703116
LOC114003508,13.6842099632776,21.5516241957905,26.7577333059971,17.430421271046,20.9960252356054,30.9850174919466,18.0630806843111,29.1976670307925,21.5026427130073,9.63042261905787,16.1578720617953,22.9638682473824
LOC114003509,31.9298232476478,23.1480408028861,18.5245845964595,39.7026262284936,9.12870662417626,11.4759324044247,9.03154034215556,18.3837162786471,16.3420084618855,22.8722537202624,13.734191252526,24.3146840266402
HNRNPH3,2760.78936009126,2937.40655705589,2888.80605345899,2798.55097074016,2749.56643520189,2839.14567685466,2639.67292727547,2619.13887216961,2825.44725248916,3157.5748162236,2743.60667609284,2596.26792773347
RUFY2,1624.99993313922,1442.36240451087,1479.90848053938,1515.47829384372,1590.2206939315,1553.8412475591,1611.71942651376,1438.25545003533,1500.88446136791,1377.15043452527,1742.62650186462,1598.01506686197
DNA2,20.5263149449164,14.3677494638603,22.6411589512283,13.5569943219247,25.5603785476935,28.6898310110617,12.3157368302121,19.4651113538617,20.642537004487,12.0380282738223,13.734191252526,39.1736575984759
SLC25A16,598.684185893396,463.75902436127,536.183809708634,486.115082114727,508.468958966617,397.067261193094,443.366525887637,564.488229261989,512.623002278094,456.241271577866,479.08090663223,541.677127482374
TET1,993.245573167901,1081.57225130726,1116.62079373103,974.166877704014,1131.04675073544,949.05960984592,1150.28981994181,1149.52296495305,1297.89951415712,1036.4742343761,1072.88270490321,1168.45564905799
CCAR1,1894.12272908368,1849.44863932024,1915.23621855618,1869.89685968832,1823.002712848,1978.45074652281,1841.61318067772,1805.92977560828,1863.84907036347,1803.29663541859,1764.43962914804,1649.34606647376
STOX1,21.6666657751896,39.9104151773898,33.9617384268425,22.2722049574476,62.9880757068162,26.3946445301767,23.8104245384101,41.0930128581524,12.0414799192841,32.5026763393203,17.7736592679748,24.3146840266402
LOC114003482,745.789442998631,747.921180424285,663.797614706467,695.280137367278,751.292555169706,798.724895347957,708.565392298205,607.74403227057,643.359069973178,741.542541667456,702.867434688094,667.302994953348
LOC114003483,297.631566701288,268.996198295607,215.091010036669,193.671347456066,302.160189260234,275.422377706192,238.925294506115,200.058088914689,238.249281260121,195.016058035922,259.333846591814,222.884603577535
KIF1BP,2520.17533490363,2205.44954270256,2209.57128492215,2127.47975180489,2606.24574120232,2157.47529203184,2366.26356964476,2449.35984536093,2153.70469413481,1975.44043973424,2354.20195940357,2269.37050915309
SRGN,3.42105249081941,11.9731245532169,8.23314870953757,5.81014042368199,5.47722397450575,6.8855594426548,7.38944209812728,8.6511606017163,6.88084566816233,7.2228169642934,13.734191252526,4.05244733777337
VPS26A,945.350838296429,920.334173990609,876.830337565751,855.058999018533,932.040946328396,792.986929145745,882.627806165203,896.476517352852,887.629091192941,965.449867560551,867.677729718406,921.256361453812
SUPV3L1,671.666639030877,622.602476767281,664.826758295159,523.88099486866,688.30447946289,661.013706494861,813.659679916015,634.778909150933,681.203721148071,618.754653274468,824.859368754649,663.250547615575
LOC114003489,470.964892902805,613.822185428255,539.271240474711,704.963704740082,435.439305973207,695.441503708135,523.008290723009,636.941699301363,421.451797174943,530.877046875565,435.454652065383,397.13983910179
LOC114003456,3.42105249081941,0,0,10.6519241100837,10.0415772865939,4.59037296176987,0.821049122014142,0,21.5026427130073,4.81521130952893,1.61578720617953,2.70163155851558
LOC114003457,153.947362086873,174.00941017342,127.613804997832,133.633229744686,211.785993680889,115.906917284689,200.335985771451,164.37205143261,171.161035995538,136.029719494192,189.047103123005,170.202788186481
MAP3K21,427.631561352426,415.866526148402,471.347763621026,434.792175038869,402.575962126173,327.064073526103,449.113869741736,493.116154297829,513.483107986614,446.610848958809,421.720460812857,501.15265410464
KCNK1,887.192945952499,908.361049437392,916.966937524747,900.571765670709,872.70435327125,866.432896534062,715.133785274318,1146.27877972741,847.204122892487,1028.04761458443,816.780432723751,968.534913727835
LOC114003506,35.3508757384672,27.1390823206251,30.8743076607659,18.3987780083263,15.5188012610996,21.8042715684069,15.5999333182687,42.174407933367,27.5233826726493,39.7254933036137,12.9262976494362,35.1212102607025
SLC35F3,442.456122145977,651.337975695002,500.163784104407,507.418930334894,437.265047298043,504.941025794685,438.440231155552,600.174266744068,536.705962116662,501.985779018391,545.328182085591,537.6246801446
LOC114003485,156.22806374742,116.538412317978,151.284107537753,140.411726905648,104.980126178027,127.382849689114,128.083663034206,144.906940078748,131.596173403605,131.214508184663,96.1393387676819,120.222604353943
TARBP1,519.99997860455,568.324312126031,736.866809503613,595.539393427404,605.233249182886,504.941025794685,594.439564338239,714.802144716809,722.488795157045,586.251976935148,706.906902703543,595.709758652685
IRF2BP2,943.070136635883,1189.33037228622,1416.10157804046,1157.18630105,752.205425832124,991.520559742291,1041.09028671393,1342.01128834124,1135.33953524678,1166.48493973338,937.156579584126,1187.3670699676
