,PFT1_TNA_run2,PFT10_TNA_run1,PFT11_TNA_run1,PFT12_TNA_run1,PFT2_TNA_run1,PFT3_TNA_run1,PFT4_TNA_run1,PFT5_TNA_run1,PFT6_TNA_run1,PFT7_TNA_run1,PFT8_TNA_run2,PFT9_TNA_run2
LOC113993405,79.2276196894301,46.994118649914,51.7868519055031,66.3275486905509,82.7201475419131,61.5425102188389,82.7486534288881,81.0385368670175,42.8496948944432,80.7528904387878,75.5690697245511,100.029308819706
LOC113993404,363.821569363304,344.979552816414,350.696926939021,313.270114584602,390.678287185903,370.374016044285,416.50155559207,392.397125882401,500.204601624928,297.912690402555,356.400072079302,446.870064401079
ABI2,3763.31193524793,5456.65800414569,4978.8061130203,4971.50488031329,4688.13944623083,5238.94605172007,5888.9458356892,5081.54278017709,5465.52230796469,5328.5995136838,4732.25769058878,5261.32418889738
RAPH1,683.859454161397,1137.47128095815,1212.90258410257,1078.58798409096,957.759780575644,1163.71292050168,1085.84621888352,1146.48203736075,1191.92110492094,1143.63552945743,1341.86158943324,1095.9732966333
PARD3B,918.414907189315,1335.06018891801,1427.31832181659,1264.3051204245,1406.24250821252,1357.29208900821,1180.54745558547,1273.58458465744,1488.37103490494,1208.01959075322,1161.10854428128,1399.32304838002
NRP2,1447.98899669235,2029.29148715538,1670.8073798986,2320.44378034327,2031.12844205324,1884.31976742772,3596.808135709,2184.62834648876,2480.03540246206,2094.11887502748,1740.13101095453,2816.04249829391
INO80D,617.141458633456,1070.18424743668,1141.12782444407,1176.54867138777,1263.72466365236,1065.24490415154,1369.03049950683,1169.51404257559,1134.20518934883,1134.90548724783,939.507353332257,1089.44964605811
NDUFS1,3550.64832450262,3082.3869641739,3218.05314823319,3087.80249750165,3417.43838459301,3082.7202845982,2837.35938312832,3320.87393708736,3358.01690601351,3003.13452010195,3299.50897675709,3172.66872973808
EEF1B2,2312.19553251521,1792.18479760354,1844.33876084511,1836.76288681526,1720.18041755834,1786.97070580883,1797.48463837196,1627.59503518178,1734.97540144031,1818.03129014893,1723.79175263571,1785.30570741258
GPR1,47.9535592857077,40.5858297431075,51.7868519055031,50.0007674744153,46.8415293309628,49.2340081750711,45.0520446446168,47.7700848900314,35.8538263402484,56.7452743623914,37.7845348622755,67.4110559437151
ZDBF2,258.532232670772,273.420326690409,288.007579895517,317.351809888636,345.830014422215,355.827604538014,309.847735617059,294.2978444118,309.56718352312,255.353734630761,305.339889832983,316.397052897114
ADAM23,2309.06812647484,3282.11196843604,3727.74479593472,3124.53775523795,2965.96577210522,3106.21833395449,2854.82854329664,3019.75179483413,3456.83354934151,3241.02817031351,2815.45844906199,3266.17438798258
DYTN,27.1041856832261,50.1982631033172,51.7868519055031,63.2662772125255,49.8314141818754,89.5163785001293,98.3789546321225,37.5336381278818,82.201455511789,80.7528904387878,111.311197296974,73.9347065189133
MDH1B,13.552092841613,45.9260704987796,30.8904028910018,32.6535624322712,56.8078121673379,35.8065514000517,52.4074805049624,24.7380796751948,43.7241784637175,39.2851899431941,57.1874041158765,42.4037287387885
FASTKD2,267.914450791889,262.739845179065,268.019672142516,252.044685024093,266.099751731214,274.143909156646,260.198543559726,272.118876427143,317.437535646589,241.167416040164,265.512947680855,235.938695803003
KLF7,28.1466543633502,142.050404100876,121.744529041007,158.165693031314,106.639226349213,116.371292050168,154.464153067258,121.984323915616,167.026361731401,152.775738667977,108.247586362195,171.789465146887
CREB1,384.670942965786,644.033035134048,621.442222866037,719.398797335975,722.555505637193,767.602945638609,698.766406732832,667.075114000081,751.181386006667,687.490824005896,625.997834339862,701.29243683381
METTL21A,71.9303389285616,100.396526206634,86.3114198425052,90.8177205147543,77.7370061237256,71.6131028001034,100.217813597209,89.5689091688088,57.7159155721071,73.114103505389,51.0601822463183,113.076609970103
LOC113993365,50.0384966459559,74.7633705794086,30.8904028910018,40.816953040339,36.8752464945878,41.4013250563098,53.3269099875056,40.9457870485983,65.5862676955763,53.4715085337919,29.6149057028646,39.1419034511894
CCNYL1,740.152762888097,745.497609491817,805.876098950548,634.703619777272,670.730834888042,694.870888107254,603.14574054834,660.250816158648,724.072395359162,819.532712426076,672.973202006475,705.641537217276
FZD5,61.5056521273207,137.778211496339,118.110363995007,144.900183293203,112.618996051038,66.0183291438454,57.9240574002216,119.425212225078,81.3269719425146,89.4829326483865,91.9083280433729,67.4110559437151
PLEKHM3,454.516344534099,953.766998963027,843.12629067205,964.300515578009,909.921622961044,803.409497038661,803.581367742757,913.60287352185,1088.73204374657,828.262754635675,663.782369202138,791.536269790719
CARF,172.007332220473,255.263508121124,216.232820237013,227.55451319989,258.126725462114,237.218403025343,288.700857518565,230.320052148366,201.131220933101,279.361350707158,220.579987304095,214.193193885675
WDR12,961.156123074402,1065.91205483214,990.309975035059,908.177205147543,935.833958335619,853.762459944983,874.377437898584,879.481384314685,933.948451985006,820.623967702276,938.48614968733,961.151184745873
FAM117B,365.906506723552,655.781564796527,587.826196190535,600.009209692983,578.044404509754,634.447332619666,837.600258596856,671.340300150977,601.644695660753,581.639062214512,634.167463499273,533.852072070389
BMPR2,2200.65138374193,3534.17133210376,3984.86197293924,3632.70882059017,3956.6142860409,3833.53890926804,3465.32971970532,3598.11103689558,4296.33777584488,3727.72802349864,3149.39204095291,2950.86461018134
NOP58,660.925143198667,538.296268171742,526.045390408531,530.620389524407,501.304026669666,496.815900675718,498.330779538415,541.678641163749,594.648827106558,455.053450175331,622.934223405083,558.859399275316
SUMO1,1535.55636582277,1448.27329293826,1397.33646018708,1396.9602178056,1193.96068379773,1359.52999847071,1176.8697376553,1383.62638735055,1534.71866407649,1484.10717563178,1552.22954028808,1354.7447694495
FZD7,355.481819922311,395.177815919731,367.959210907522,411.230801881416,394.664800320453,341.281193031743,410.065549214267,423.959503399029,426.747981805883,456.144705451531,432.990345448779,401.204510374692
ALS2,1622.08126627307,2086.96608731663,1988.79682142362,1866.3551777695,1872.66454495488,1799.2792078526,1963.90137471228,2451.62899953482,2052.4129370869,1538.66993944177,2633.6842002651,2228.91394652606
MPP4,61.5056521273207,40.5858297431075,43.6099805520026,35.7148339102966,25.9123353745752,41.4013250563098,44.1326151620736,69.0960156445097,54.2179812950097,70.9315929529893,38.8057385072019,79.3710819982452
TMEM237,172.007332220473,222.154015435957,130.829941656008,153.063573901271,176.403206203839,179.032757000259,215.146498915109,166.342259884931,156.532558900109,216.068544687567,166.456194122998,90.2438329569089
STRADB,411.775128649012,600.243060937538,409.752108936525,430.618854575577,473.398434727816,504.648583794479,412.823837661897,447.844545844044,506.325986609849,492.156129566126,405.417847035767,421.862737196153
LOC113993428,18.7644362422334,52.334359405586,54.5124756900033,50.0007674744153,62.787581869163,57.0666912938324,53.3269099875056,49.4761593503896,54.2179812950097,63.2928060195905,37.7845348622755,30.4437026842584
NCK2,489.960279658318,395.177815919731,508.78310644003,463.272417007848,477.384947862366,440.868164113137,370.53008146491,398.368386493655,430.24591608298,529.25880895692,356.400072079302,397.942685087092
UBE2K,2480.03299001519,3238.32199423953,3136.28443469819,3068.41444480748,3146.35549144361,3270.70467944847,3081.92762548481,3336.22860723058,3389.49831450738,3198.46921454172,2859.37020579382,3092.21037264396
PDS5A,775.596698012316,950.562854509624,880.376482393553,922.463138711662,946.796869455632,995.869710813938,927.704347886089,944.312213808299,967.178827617432,904.650623969663,948.698186136594,1029.64951578545
N4BP2,608.801709192463,1171.64882179445,790.430897505047,842.870080283001,990.648513935682,999.226575007693,1103.31537905184,850.478118488594,1087.85756017729,844.631583778673,792.45402846286,778.488968640323
RHOH,38.571341164591,72.6272742771398,41.7928980290025,37.7556815623136,54.8145556000629,67.137283875097,43.2131856795304,52.8883082711062,55.9669484335584,58.9277849147911,37.7845348622755,101.116583915573
RBM47,6.25481208074448,4.27219260453763,3.63416504600022,8.1633906080678,10.9629111200126,5.59477365625808,7.3554358603456,6.82429784143305,5.2469014156461,9.82129748579852,8.16962915941093,3.26182528759912
NSUN7,79.2276196894301,58.7426483123925,86.3114198425052,78.5726346026526,174.409949636564,146.583069793962,181.127608061011,89.5689091688088,70.8331691112224,48.0152321527928,77.6114770144038,94.5929333403744
APBB2,2373.70118464253,3809.72775509644,3792.25122550123,3518.42135207722,3498.16527556765,3793.25653894298,3256.61922716802,3565.69562214877,3972.77885521337,3341.4236557239,3153.47685553262,3455.36025466333
UCHL1,11077.2721949985,8225.03881188608,9113.57739410704,8997.07687391673,8237.132764264,8798.34105183146,8277.62363133644,9196.59437856122,9526.62400367477,7906.14447606781,10068.046735329,11334.8428744069
LIMCH1,586.909866909857,814.920739315554,773.168613536546,838.788384978967,762.420636982693,853.762459944983,806.339656190387,819.768778202146,746.808968160295,913.380666179262,917.040873143877,687.157860587548
TMEM33,814.168039176907,998.625021310672,841.30920814905,872.462371237246,1003.60468162297,988.037027695177,947.93179650204,1053.50097927123,1135.95415648738,1022.50619379925,832.280970614988,928.532931869882
SLC30A9,1168.60739041909,1311.56312959305,1547.24576833459,1290.83613990072,1621.51421747822,1528.49216288971,1288.12070504302,1567.88242906924,1470.00687995018,1333.5139475162,1248.93205774495,1389.53757251722
BEND4,200.153986583823,326.822734247129,311.629652694519,300.004604846492,291.015458822152,391.634155938066,306.170017686886,320.741998547354,299.947864261102,302.277711507354,347.209239274964,328.357078951645
LOC113993476,23.9767796428538,39.5177815919731,30.8904028910018,37.7556815623136,36.8752464945878,57.0666912938324,37.6966087842712,40.9457870485983,48.9710798793636,37.1026793907944,32.6785166376437,23.9200521090602
BRD3OS,1741.96516448734,1542.26153023809,1494.55037516759,1719.41414682428,1630.48387203096,2150.63099346561,2133.99582898277,1779.43566215367,1640.53117595868,1489.56345201278,1736.04619637482,1674.40364763421
BRD3,563.975555947128,575.677953461446,661.41803837204,632.662772125255,625.882562124355,599.759735950866,637.164631402438,490.496407353001,509.823920886946,588.186593871711,473.838491245834,637.143206177694
WDR5,811.040633136535,741.22541688728,862.205657163552,812.257365502746,787.336344073631,758.651307788596,907.476899270139,811.238405900354,849.123545765394,760.604927511285,856.789858093221,915.485630719486
LOC113993483,12.509624161489,4.27219260453763,9.08541261500054,6.12254295605085,6.97639798546255,13.4274567750194,3.6777179301728,5.11822338107479,8.74483569274351,5.45627638099918,6.12722186955819,3.26182528759912
RXRA,380.501068245289,388.769527012925,267.111130881016,494.90555561411,408.617596291378,582.975414982092,566.368561246612,458.934029836373,394.392089742732,381.939346669942,537.153117231268,367.498982402834
COL5A1,48.9960279658318,91.8521409975591,55.4210169515033,63.2662772125255,79.7302626910006,113.014427856413,34.0188908540984,119.425212225078,80.4524883732402,104.760506515184,25.5300911231591,123.949360928766
OLFM1,19371.1530140657,15969.4559557617,17600.2613177791,15844.1207464336,13652.8108575502,16177.8475044359,14572.0378688272,15964.5917628025,15394.4087535057,17450.2631217116,15451.8323513808,19242.5946466431
LOC113993470,5.2123434006204,8.54438520907527,29.0733203680017,23.4697479981949,3.98651313455003,15.6653662375226,14.7108717206912,8.53037230179132,17.489671385487,25.0988713525962,7.14842551448456,9.78547586279736
PPP1R26,165.752520139729,207.201341320075,236.220727990014,260.208075632161,240.187416356639,292.047184856672,276.748274245503,220.083605386216,245.729882966092,236.802394935364,221.601190949021,254.422372432731
CUNH9orf116,46.9110906055836,96.1243336020968,81.7687135350049,68.3683963425678,69.7639798546255,54.8287818313292,43.2131856795304,66.5369039539723,56.8414320028328,56.7452743623914,58.2086077608028,72.847431423047
