"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"UBXN11",7.5483958853602,-0.0726080984987288,0.338181514097938,-0.214701559582294,0.830000006564687,0.944978458867895,"UBXN11","UBXN11","PIT","~ Batch + strength.all_study","no"
"ZFYVE26",522.065349320512,0.0219743137584131,0.102422527467256,0.214545708857245,0.830121526175136,0.944978458867895,"ZFYVE26","ZFYVE26","PIT","~ Batch + strength.all_study","no"
"MLEC",1855.40699786423,-0.0168775575588373,0.0789612176941601,-0.213744899733044,0.830745995455746,0.945085229238902,"MLEC","MLEC","PIT","~ Batch + strength.all_study","no"
"ANXA11",5047.46159120531,0.016565423966056,0.0778495316725296,0.212787715098117,0.831492546248438,0.945161136588129,"ANXA11","ANXA11","PIT","~ Batch + strength.all_study","no"
"AREL1",675.313545212071,-0.0169377875221497,0.0795676065019584,-0.212872904776052,0.831426096861968,0.945161136588129,"AREL1","AREL1","PIT","~ Batch + strength.all_study","no"
"ARMC6",907.798129027027,-0.0180738388087587,0.0847831639988571,-0.213177215337262,0.83118873933229,0.945161136588129,"ARMC6","ARMC6","PIT","~ Batch + strength.all_study","no"
"CDK5RAP1",573.027951022583,0.0168847069886133,0.0794956615057637,0.212397842458222,0.831796668850978,0.945161136588129,"CDK5RAP1","CDK5RAP1","PIT","~ Batch + strength.all_study","no"
"CPT1A",2845.3360353999,-0.0203934869128331,0.0957969321295192,-0.212882463555939,0.831418640927523,0.945161136588129,"CPT1A","CPT1A","PIT","~ Batch + strength.all_study","no"
"DYNLL1",427.884868782888,-0.032763762306339,0.154134285521428,-0.212566348852891,0.831665221286172,0.945161136588129,"DYNLL1","DYNLL1","PIT","~ Batch + strength.all_study","no"
"EBF2",25.1203513347362,0.0540504372620529,0.2540263369296,0.212774934738488,0.831502515248555,0.945161136588129,"EBF2","EBF2","PIT","~ Batch + strength.all_study","no"
"EFL1",943.194351166459,-0.016343384144218,0.0765780487517387,-0.213421266415422,0.830998394391881,0.945161136588129,"EFL1","EFL1","PIT","~ Batch + strength.all_study","no"
"FANCF",46.2244563230315,-0.0302330612200823,0.141692871956518,-0.213370374971016,0.831038085793575,0.945161136588129,"FANCF","FANCF","PIT","~ Batch + strength.all_study","no"
"IKBIP",459.932678716896,-0.0235690544261212,0.110695818668823,-0.212917296331079,0.831391471177422,0.945161136588129,"IKBIP","IKBIP","PIT","~ Batch + strength.all_study","no"
"KLHL36",502.909444836381,0.020841050829243,0.0981351558228165,0.212370894553544,0.831817690664403,0.945161136588129,"KLHL36","KLHL36","PIT","~ Batch + strength.all_study","no"
"LOC113983777",6.5359275251255,-0.0841119981229978,0.394621224277626,-0.213146158767738,0.831212962270879,0.945161136588129,"NKAIN2","LOC113983777 (NKAIN2)","PIT","~ Batch + strength.all_study","no"
"LOC113984951",23.3224268680093,-0.0436449885519508,0.205532887683401,-0.212350388513884,0.831833687318583,0.945161136588129,NA,"LOC113984951","PIT","~ Batch + strength.all_study","no"
"LOC113998941",2318.65394658959,0.0281343716179411,0.132357415194366,0.212563622345042,0.831667348128331,0.945161136588129,"TDH","LOC113998941 (TDH)","PIT","~ Batch + strength.all_study","no"
"PEAK1",584.678111547757,0.0203105734186184,0.0956149664588278,0.21242044180776,0.83177903939832,0.945161136588129,"PEAK1","PEAK1","PIT","~ Batch + strength.all_study","no"
"PPP4R1",693.16672262852,-0.0176975663498735,0.0831961631772906,-0.212720943779102,0.831544629846207,0.945161136588129,"PPP4R1","PPP4R1","PIT","~ Batch + strength.all_study","no"
"ANXA4",2795.39325960054,-0.0219988044597195,0.103868694169947,-0.211794368221532,0.832267462367319,0.94558147216267,"ANXA4","ANXA4","PIT","~ Batch + strength.all_study","no"
"DHX40",1234.77370195184,0.0196405238185192,0.0929175132831226,0.211375908852338,0.832593953994239,0.945589759742575,"DHX40","DHX40","PIT","~ Batch + strength.all_study","no"
"LOC113984660",147.548475497205,-0.0322692590646217,0.152574726763736,-0.211498062287807,0.832498644086433,0.945589759742575,"LOC113984660","LOC113984660","PIT","~ Batch + strength.all_study","no"
"LOC113985550",182.43775134406,0.0243595329236728,0.115226015487395,0.211406537149049,0.832570056112293,0.945589759742575,"LOC113985550","LOC113985550","PIT","~ Batch + strength.all_study","no"
"LOC113987317",72.4469093789683,0.0376706612937978,0.177954368217837,0.211687196392305,0.832351077539956,0.945589759742575,NA,"LOC113987317","PIT","~ Batch + strength.all_study","no"
"TSPEAR",9.52618638754204,0.0659541237665025,0.311769792665597,0.211547511394873,0.832460062246289,0.945589759742575,"TSPEAR","TSPEAR","PIT","~ Batch + strength.all_study","no"
"CUNH12orf45",234.195847910026,-0.0269289385748565,0.127455936766424,-0.211280378600225,0.832668492945777,0.9456019104127,"CUNH12orf45","CUNH12orf45","PIT","~ Batch + strength.all_study","no"
"FBXO33",1455.26583563993,-0.015519092539149,0.0736408669204793,-0.210740220588484,0.833089987844023,0.946008042007488,"FBXO33","FBXO33","PIT","~ Batch + strength.all_study","no"
"RNF139",464.968677129717,0.0147151146580771,0.0699211481610657,0.210452989475806,0.833314138935815,0.946190036482737,"RNF139","RNF139","PIT","~ Batch + strength.all_study","no"
"ATXN1L",1591.20084608735,0.0193363494542667,0.091952873389773,0.210285429279661,0.833444906798511,0.94622937836883,"ATXN1L","ATXN1L","PIT","~ Batch + strength.all_study","no"
"DLAT",1167.00387526935,-0.0174055421552323,0.0827869963872601,-0.210244880413499,0.833476552766549,0.94622937836883,"DLAT","DLAT","PIT","~ Batch + strength.all_study","no"
"CPN1",251.00742537605,0.0327130348926387,0.155826821567355,0.209931990934556,0.833720753384899,0.946260615610146,"CPN1","CPN1","PIT","~ Batch + strength.all_study","no"
"CREB1",386.362419633295,0.0280934863357595,0.133806553376257,0.209955982176465,0.833702028390096,0.946260615610146,"CREB1","CREB1","PIT","~ Batch + strength.all_study","no"
"KLHL7",1078.25827164948,-0.0168930986531312,0.0804741029174176,-0.209919688952195,0.833730355031793,0.946260615610146,"KLHL7","KLHL7","PIT","~ Batch + strength.all_study","no"
"WASF1",146.164417200904,-0.0298558809285041,0.1422506500576,-0.209882210846944,0.833759606692413,0.946260615610146,"WASF1","WASF1","PIT","~ Batch + strength.all_study","no"
"GBF1",2889.11305364896,0.0263390732280239,0.125545100130373,0.209797699796104,0.833825568410755,0.946262972670863,"GBF1","GBF1","PIT","~ Batch + strength.all_study","no"
"THAP11",810.782998759558,0.0182795588389163,0.0871995703134732,0.209629001303599,0.833957242764195,0.946339897328067,"THAP11","THAP11","PIT","~ Batch + strength.all_study","no"
"NAGLU",676.823755434171,0.0192424030037616,0.0918735214972807,0.20944449162462,0.834101263565785,0.94643081936084,"NAGLU","NAGLU","PIT","~ Batch + strength.all_study","no"
"CSMD3",34.1586878790595,-0.0449762289017318,0.215434208553021,-0.208770135457214,0.834627686056475,0.946708962551559,"CSMD3","CSMD3","PIT","~ Batch + strength.all_study","no"
"FGL2",415.398460871007,0.0360582299393741,0.172537456435533,0.208987837680607,0.834457733110349,0.946708962551559,"FGL2","FGL2","PIT","~ Batch + strength.all_study","no"
"FHL1",317.291528992023,-0.0411049028961183,0.196765348633603,-0.208903158922863,0.834523838105433,0.946708962551559,"FHL1","FHL1","PIT","~ Batch + strength.all_study","no"
"IDH3A",3558.05569040244,-0.0149101699234834,0.0713880044821768,-0.208860998869999,0.834556751047094,0.946708962551559,"IDH3A","IDH3A","PIT","~ Batch + strength.all_study","no"
