"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","n_p005","n_q01","Test","Tissue","design","fdrtool"
"PRDM13",77.5769973987268,2.41147237364687,0.750048134155918,10.4970648711928,0.00119564322383683,0.302847718887319,"PRDM13","PRDM13",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"PLA2G6",922.05023070783,0.607851178376774,0.186484789139863,10.3876562366393,0.00126860552960707,0.305311064125434,"PLA2G6","PLA2G6",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"DHCR24",3572.09733918423,-0.789275566997049,0.246522879926191,10.329628924496,0.00130911523074411,0.305366232746804,"DHCR24","DHCR24",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"NEK3",205.387685513167,-1.68429390876319,0.508174875131066,10.3372628621544,0.00130371195480857,0.305366232746804,"NEK3","NEK3",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"DIO2",75.970080689224,-2.89418264404555,0.887017104014299,10.2662441623665,0.00135486338073361,0.311249069373986,"DIO2","DIO2",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"GAL",2928.49538268173,1.33303341146612,0.413029969518043,10.2115499375156,0.00139563831487864,0.315830867614775,"GAL","GAL",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"TCIM",74.3821719886491,-2.23704680548599,0.694680451189785,10.1262609976819,0.0014617162168187,0.325919724697134,"TCIM","TCIM",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"TMEM192",650.876263154692,-0.633905226933222,0.202513945863941,9.93991959785505,0.00161732612497991,0.355389836332542,"TMEM192","TMEM192",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"CLMN",1087.21383632547,-0.784166305368162,0.249480249378009,9.87993242897898,0.00167091074991525,0.361919268431644,"CLMN","CLMN",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"CLIC5",133.186756933812,1.70252841144193,0.516737656307081,9.81070661612948,0.00173498831577304,0.365359622829872,"CLIC5","CLIC5",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113984281",32.7007771611725,-2.5102236066394,0.815298165067916,9.75746028240289,0.00178596467622439,0.365929681363705,"EDN2","LOC113984281 (EDN2)",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113991197",197.962283345676,1.50263734644781,0.463351018165049,9.78129077977982,0.00176296509100072,0.365929681363705,"LOC113991197","LOC113991197",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113992026",653.836580992637,0.734818335781479,0.235344205766639,9.71728515210208,0.00182542965519658,0.367868845833528,"PTPRVP","LOC113992026 (PTPRVP)",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"MED10",665.695798037325,-0.633215163778282,0.204619730729735,9.69872995152272,0.00184395411445378,0.367868845833528,"MED10","MED10",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"CHAC1",1356.15689209623,-4.54219381627967,1.33331678279205,9.55036587781044,0.00199909565951024,0.383893561609722,"CHAC1","CHAC1",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
