,PFT1_AI_run1,PFT10_AI_run1,PFT11_AI_run1,PFT12_AI_run1,PFT2_AI_run1,PFT4_AI_run1,PFT5_AI_run1,PFT6_AI_run1,PFT7_AI_run1,PFT8_AI_run1,PFT9_AI_run1
TPD52L2,2138.1419910946,2180.06357379391,2037.41963106018,2157.91223516164,1883.14435102784,2197.46953373986,1934.23057785148,2336.81306233995,2492.4862593576,2015.50133913152,2175.17111200364
DNAJC5,1638.29420599389,1524.26357514183,1737.73788757431,1521.42856756374,1613.07746548909,1806.7115849679,2051.93012297653,1682.18460686677,945.971624769265,1912.27872567019,1182.18313994505
UCKL1,561.897854975285,520.659104361161,587.917309269152,584.67685744458,514.50030397552,575.258361109723,532.251925300004,518.289297824863,638.717061606019,526.75457384905,494.200711267037
ZNF512B,3377.41977553396,3078.90766140332,3324.59434179635,3025.94062568967,2949.67967866393,3347.98625595931,3206.01061853897,2939.31183988878,2767.15321733687,3216.92742776905,2749.63643994978
SAMD10,337.828158205999,428.469967170452,424.54913660498,417.626326746128,418.374802343083,397.720228482819,474.964536079847,463.152138481792,525.125980679001,345.848962628164,412.789457206806
PRPF6,3705.76806195356,5055.73609184499,4596.16062839264,5411.16845642199,5146.83400169106,5605.50545220533,4610.07244888027,4725.75580260426,4985.90359314903,5203.69669923607,4764.27831859522
CUNH20orf204,5.17083915621428,11.5236421488386,4.16224643730373,20.0883549574087,17.3941383906315,24.3679789880064,8.33271115929556,4.00997522495058,12.1039676397642,5.32075327120253,5.73318690565008
SOX18,60.3264568224999,39.8089456050787,46.825272419667,49.69224647359,28.3799100057671,64.4010873254455,23.9565445829747,43.1072336682188,58.6576893311651,34.0528209356962,67.6516054866709
TCEA2,2360.48807481182,2338.25175238252,2413.06237202684,2266.81226466759,2386.65888338822,2287.10888501717,2246.70724632506,2306.73824815282,3081.85637597074,2257.06353764411,2289.83485011664
RGS19,405.049067236785,355.13769895057,340.26364624958,298.15347884154,291.122947801095,268.918053831928,289.561712785521,270.673327684164,519.539534076033,304.347087112784,321.058466716404
OPRL1,1449.55857679207,1644.73801578878,1374.58188591956,1115.43234105611,1118.71774280798,923.372346652671,1038.46412822721,1056.62847177448,1341.67825914617,952.414835545252,978.081686103904
NPBWR2,48.2611654579999,36.6661341099409,46.825272419667,38.0621462350902,28.3799100057671,35.6816835181522,33.3308446371822,30.0748141871294,30.7254563163246,32.9886702814557,52.7453195319807
LOC113982342,45.6757458798928,80.66549504187,77.001559090119,88.8116745485437,40.2811625888308,44.384533156726,69.7864559591003,104.259355848715,67.9684336694452,43.6301768238607,34.3991214339005
MYT1,863.530139087784,662.085621642361,647.22932100073,645.999204156669,444.008269445066,555.241806941003,614.537447998047,762.897786546848,891.96930760724,343.720661319683,481.587700074607
PCMTD2,2265.68935694789,2661.96133638171,2346.46642902998,2475.09678712072,1929.83388039216,2234.02150222187,2573.76615932742,2592.44898293055,2790.43007818257,2275.1540987662,2382.71247798817
LOC113982345,12.9270978905357,8.38083065370078,18.7301089678668,22.2029186371359,2.74644290378392,9.57313460243109,6.24953336947167,18.0448885122776,13.0350420735922,8.51320523392404,11.4663738113002
PPDPF,270.607249175214,380.280190911673,274.708264862046,334.101061396903,297.531314576591,254.123209446353,241.648623619571,205.511230278717,424.569941825576,158.558447481835,394.443259108725
EEF1A2,21252.1489320407,22558.0533082674,21009.9794538999,23078.348000543,19494.2517310582,21031.3064365772,20934.8951988352,20806.7589484623,26214.4006844278,20073.0737909387,22605.9559689783
KCNQ2,7897.59500459127,9212.62809608058,8849.97648731705,8505.83240170279,7472.15566022811,8494.85153221181,8379.58265956659,8071.07763401929,5089.25285530394,7606.54887651113,6946.32925488564
CHRNA4,698.925092614963,1077.98434283226,739.839304230738,1517.19944020429,433.022497829931,678.82227180875,476.006124974759,690.718232497738,1013.00898400488,776.829977595569,958.588850624693
COL20A1,49.9847785100713,224.187219986496,22.8923554051705,42.2912735945446,28.3799100057671,27.8491188434359,62.4953336947167,30.0748141871294,29.7943818824965,21.2830130848101,68.798242867801
LOC113982361,10.3416783124286,8.38083065370078,13.5273009212371,11.6301002384998,12.8167335509916,10.4434195662885,22.9149556880628,7.01745664366352,5.5864466029681,17.0264104678481,4.58654952452006
