"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","n_p005","n_q01","Test","design","fdrtool"
"DUSP1",617.199086107421,-1.74552791543525,0.38621414719307,19.5349039159755,9.87782296792725e-06,1.08272797065791e-14,"DUSP1","DUSP1","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"EDA2R",82.372922375746,-1.89100909534689,0.807568839938377,5.9316178989655,0.0148715819944645,1.08272797065791e-14,"EDA2R","EDA2R","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"EFCAB2",67.9945077637771,-2.11502106431762,0.718407425294461,8.50513378692546,0.00354145872502863,1.08272797065791e-14,"EFCAB2","EFCAB2","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ELOVL6",985.551166158094,0.74241956452579,0.324384051649069,5.2812174210078,0.0215566701031696,1.08272797065791e-14,"ELOVL6","ELOVL6","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"EN2",447.390764338744,-1.71570633241509,0.643444623191774,6.00778543405212,0.0142428918472513,1.08272797065791e-14,"EN2","EN2","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"EPCAM",84.956153755517,2.18890876368852,0.876801575545289,6.79400069219713,0.00914647061238384,1.08272797065791e-14,"EPCAM","EPCAM","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"EPHA6",988.072301858547,1.41609470580392,0.306488353121065,21.2590257458033,4.01216679733042e-06,1.08272797065791e-14,"EPHA6","EPHA6","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"EPOR",112.645879429966,-2.67168082055417,1.03278639418311,5.20702005802259,0.0224958601524453,1.08272797065791e-14,NA,"EPOR","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ERV3-1",574.498262600589,-1.18742075616027,0.496959301781557,5.34068460725695,0.0208332898114178,1.08272797065791e-14,"ERV3-1","ERV3-1","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ESRRG",889.926743084662,1.20377920161644,0.358807888982458,11.421289620008,0.000726072797160383,1.08272797065791e-14,"ESRRG","ESRRG","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"FAM180B",139.102067623295,1.44922880308926,0.557074353167673,6.55173400241392,0.0104781992657142,1.08272797065791e-14,"FAM180B","FAM180B","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"FLRT2",503.408598362471,1.17594836451413,0.389803572451596,9.13346795853542,0.00250975533779357,1.08272797065791e-14,"FLRT2","FLRT2","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"FMOD",148.95601188549,-2.21526623135629,0.846040622131077,6.24365035848602,0.012463932103707,1.08272797065791e-14,"FMOD","FMOD","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
