,PFT1_GCT_run2,PFT10_GCT_run1,PFT11_GCT_run1,PFT12_GCT_run1,PFT2_GCT_run1,PFT3_GCT_run2,PFT4_GCT_run1,PFT5_GCT_run1,PFT6_GCT_run1,PFT7_GCT_run2,PFT8_GCT_run1,PFT9_GCT_run2
KMT2D,1968.78018733599,2218.71185076387,2035.33827230812,2081.82017841454,1884.87964099339,1895.27786794757,2035.0561376785,2073.58519732112,2266.76544228981,1716.39851086667,1432.02007151016,927.460346661527
PRKAG1,668.161151660659,611.317613810821,522.377693463111,623.965620389117,543.808654794591,590.493519251678,532.695443704171,633.563244396939,522.203440677044,493.64010035624,638.038836131928,461.911623631427
DDN,17.3415871423377,35.155645522667,27.0862507721613,9.67388558742817,14.5663032534265,28.4930317109795,9.74983341222276,22.0470726072195,20.1254875717319,20.5233302117474,13.2500077790976,20.9133215423678
ARF3,3994.68560290556,4144.45998883885,4082.28493780432,4011.76035310646,3223.03736654151,4164.89522147731,4052.38530551659,4005.60498105903,4101.36251988137,3636.9501485765,4359.2525593231,3211.55876902795
FKBP11,144.853257306586,146.481856344446,116.083931880691,152.847392281365,95.1665145890534,103.164425160443,110.793561502531,124.15982994592,141.937649190109,139.342610385022,139.634697364336,149.121075345579
CCDC65,200.958392178855,86.9125680977045,150.909111444899,157.684335075079,131.096729280839,130.674938536561,109.907213010511,152.008763765566,126.049106370321,130.701208190602,123.32699548237,203.677566325669
LOC113991241,260.123807135066,302.729169778521,316.328714374884,304.727396003987,244.713894657566,348.794008875783,283.63151744648,298.215666318705,318.830092583753,189.030673002937,323.096343536456,157.304548992592
MAP2K7,187.697178481773,305.65880690541,263.123578929567,265.064465095532,230.147591404139,238.751955371311,264.131850622035,352.753161715512,264.809046996473,264.642942204111,237.480908656133,158.213823842261
VANGL2,254.003246967182,231.441333024224,224.428934969337,336.6512184425,260.251284794554,217.136552004361,262.359153637994,279.649710438942,271.164464124388,260.322241106901,284.365551566786,282.784478246799
LOC113991266,83.6476556277467,41.0149197764448,31.9230812671901,59.0107020833118,33.9880409246619,25.5454767063954,32.7948942047493,51.0563786693504,42.3694475194356,41.0466604234948,21.4038587200807,141.846876548234
NHLH1,81.6074689051187,148.434947762372,144.137548751859,110.282295696681,48.5543441780885,52.0734717476521,115.225303962633,111.395735278583,124.989870182335,110.177877978855,47.9038742782758,77.2883622217939
NCSTN,1524.01948180309,1536.10640019876,1443.3102197166,1456.88716946668,1317.76490099332,1292.01161034269,1549.3371640514,1537.49322129294,1458.56823085657,1203.31525557298,1653.19327828433,1201.15207641164
COPA,3218.39455494562,4029.22759518122,3024.95379159102,3682.8482431339,3174.48302236342,2766.77163096959,3302.53448126745,3572.78613461204,2885.35937607357,2795.49360989486,3443.98279119774,2581.43129820792
LOC113991268,9.18084025182585,19.5309141792594,16.445223683098,15.4782169398851,8.73978195205592,12.7727383531977,4.43174246010125,23.2074448497047,14.8293066318025,12.9621032916299,29.5577096610638,11.8205730456861
LOC113991271,993.57093391982,1238.25995896505,1194.69713227212,1208.26830986978,1126.46078493165,1541.57126739748,1276.34182850916,1116.2780972708,1134.44195733289,1838.45831686285,1101.78910840034,1691.25122038278
FAM49B,645.719097711752,747.057467356674,697.470957383154,711.997979234713,745.794726575439,764.399264522139,724.146717980545,682.298878581318,760.53158297387,856.578992521879,752.192749305692,909.274849668164
EPPK1,65.285975124095,43.9445569033337,256.352016236527,168.32560922125,191.304116061669,34.3881417201476,127.634182850916,118.357968733494,85.7981312268572,224.676457054919,93.7692858213058,446.453951187068
LOC113991273,677.341991912485,642.567076497636,777.762343600633,773.910846994254,604.987128458982,647.479582673637,789.736506390043,778.609774707593,824.085754253023,595.176576140675,931.57747000732,442.816851788396
TNFSF15,13.2612136970818,15.6247313434076,16.445223683098,16.4456054986279,9.71086883561769,13.7552566880591,14.181575872324,15.0848391523081,6.35541712791534,15.1224538402349,9.173082308606,6.36492394767715
LOC113991279,85.6878423503746,246.089518658669,121.888128474726,134.467009665252,164.113683321939,30.4580683807022,86.8621522179846,83.5468014589369,130.286051122265,189.030673002937,205.884736259824,113.65935620852
TMEM268,85.6878423503746,67.3816539184451,63.8461625343803,34.8259881147414,59.2362998972679,71.7238384448794,91.2938946780858,63.8204733366879,78.3834779109559,36.7259593262848,89.6923603508142,40.0080933853992
ATP6V1G1,10405.9723787639,8982.26743104142,8794.32520606138,9126.34366317974,9292.33038880257,8737.53555192208,9132.04851328464,8988.24339029063,9518.29638524121,7762.13952113773,12779.1228872558,9221.86552533452
WHRN,462.102292675235,643.543622206599,729.394038650345,658.791608503858,437.960184486358,486.346575756374,776.44127900974,573.223887787706,641.89712991945,668.628494793245,936.673626845435,418.266430847355
AKNA,211.159325791995,277.338981345484,259.254114533544,243.78191680319,251.511502842498,245.62958371534,300.472138794865,292.413805106279,241.505850860783,264.642942204111,241.557834126625,166.397297489274
STXBP1,7807.79458749723,10166.8173760135,8866.87766348681,9407.8537337739,7321.02401517218,7719.64655700571,8887.41632948705,9439.62819261739,8418.80922211186,7693.00830358237,8573.77426444374,5005.55804742324
LOC113991284,51.0046680656992,85.9360223887415,95.7692438015704,136.401786782737,85.4556457534357,176.853300275045,121.429743406774,154.329508250536,151.470774881982,119.899455447577,70.3269643659793,62.7399646271033
LOC113991287,33.6630809233615,34.179099813704,48.3683049502881,29.0216567622845,36.9013015753472,25.5454767063954,39.8856821409113,33.6507950320718,51.9025732113086,35.6457840519824,38.7307919696698,41.8266430847355
