,PFT1_ICO_run2,PFT10_ICO_run1,PFT11_ICO_run2,PFT12_ICO_run1,PFT2_ICO_run1,PFT3_ICO_run2,PFT4_ICO_run1,PFT5_ICO_run2,PFT6_ICO_run1,PFT7_ICO_run1,PFT8_ICO_run2
CERS6,454.330034198296,483.348202371039,753.871882401599,556.595436360034,355.693349609018,442.156143822877,478.589093949558,667.944893780051,636.592637621642,705.930018878017,581.645553090289
STK39,2474.28563225363,2303.45627692448,2432.11234432496,2070.3093764608,2193.27810589937,2072.90407211585,2413.29035025982,2252.97931312312,2378.80185354648,1952.40073792549,2269.30641935736
B3GALT1,879.864502848813,984.633154439441,1679.16206569158,1031.39390825499,898.593725328044,890.255246568104,1113.15560515798,1437.92044629027,1214.24151250054,1103.26777236079,1095.15266277951
LOC113994508,5.33251213847766,11.3284734930712,10.1376414503883,13.1627299139197,12.8089017864743,16.6402849825814,13.5632536746838,17.7960451273548,10.1046450416134,7.05930018878017,17.7752461046268
SCN1A,5794.30768966982,5542.4556564851,8367.24061164318,5820.74720693407,4433.85061839495,5358.1717643912,7146.86588272447,7517.04946179468,6992.41436879645,6070.99816235095,6955.05879527149
TTC21B,786.012289211607,627.786239407698,815.619334872146,682.581565536122,764.592906638774,783.281985965795,670.412253062944,876.751823274348,676.169164034628,813.8364646208,723.847521927304
GALNT3,74.6551699386872,78.3552749937427,98.6116031992312,95.8998893728436,116.26541621569,114.104811309129,78.473110546385,105.589867755639,81.6792140863747,98.8302026429224,101.713908265365
CSRNP3,880.931005276509,846.803393607075,1022.980182721,1026.69293328574,331.06084617349,1005.5486496617,814.764024314936,953.868018826219,859.736882290604,997.378269529085,1017.13908265365
LOC113994464,5143.74120877555,5438.61131613195,7620.74155938732,5490.73876409222,4676.23445220055,5229.80385166843,5189.88213823438,6758.93793936936,5910.37529559035,5611.1351786247,6536.35299814028
LOC113994484,1604.01965125408,1811.61171943364,2827.48036089011,2141.76419599351,1495.68560860523,2027.73758430599,1664.40498665049,2336.02752371744,1959.45908431952,1942.31602337009,2188.33029821406
SLC38A11,8.53201942156425,9.44039457755936,21.1968866689936,27.2656548216908,21.6766030232642,10.6973260602309,12.5944498407778,10.6776270764129,8.4205375346778,44.3727440437611,15.8002187596683
COBLL1,722.022143549875,659.883580971399,890.269240097732,1108.48989775081,580.341780941029,771.396068121094,617.128042198114,906.411898486606,683.747647815838,1320.08913530189,740.635254359451
GRB14,86.386696643338,74.579117162719,91.2387730534943,135.388079114603,85.7211119556358,106.973260602309,104.630814061847,93.7258376707354,97.6782354022625,160.346961430864,78.0135801258622
FIGN,562.046779395545,555.09520116049,833.129806468271,471.977886913407,529.106173795131,492.076998770621,621.972061367644,717.773820136645,676.169164034628,552.642357635934,617.196045299543
LOC113994590,185.571422419022,458.803176469385,16.5888678279081,204.022313665756,229.574932019117,313.788231100106,80.410718214197,92.5394346622451,55.5755477288735,9.07624309986022,147.139537199411
LOC113994576,1464.30783322596,1424.55554175371,1433.09385957761,1390.54839590623,1305.52268208296,1421.55577422624,1273.97704158637,1396.39634099311,1346.44395179498,1442.11418142224,1462.5077489418
UBXN10,172.773393286676,205.800601790794,200.909621471331,268.895768241503,180.309925148061,241.28413224743,190.85435527948,198.129302417884,182.725664502508,286.405893373367,169.852351666434
RNF186,8.53201942156425,20.7688680706306,6.4512263775198,21.6244848585824,12.8089017864743,16.6402849825814,9.68803833905988,27.2872691952774,11.7887525485489,12.1016574664803,6.91259570735488
OTUD3,162.108369009721,134.997642459099,108.749244649619,141.969444071563,188.19232624743,140.253830567472,172.447082435266,156.605197120722,139.780923075652,107.906445742783,225.153117325273
LOC113994586,40.5270922524302,57.5864069231121,42.3937733379872,68.6342345511528,50.2503070084762,51.1094467322142,62.9722492038892,67.6249714839484,59.7858164962124,63.5337016990216,58.2633066762768
TMCO4,34.128077686257,5.66423674653562,15.6672640596909,30.0862398032451,43.3532060465284,45.1664878098637,21.3136843459317,20.1688511443355,16.8410750693556,33.2795580328208,20.7377871220646
HTR6,116.248764618813,97.2360641488614,76.4931127620205,106.242034305209,71.9269100317404,110.539035955719,118.194067736531,69.997777500929,111.993149211215,102.864088465083,119.489154369991
LOC113994591,207.967973400629,178.423457515872,221.184904372107,241.630113419812,232.53083243138,173.534400532634,270.296269659771,154.232391103742,220.618083408558,163.372375797484,214.290466928001
MICOS10,399.938410385824,433.314111109975,459.88028034034,511.466076655166,603.988984239135,429.081634193706,553.186989160319,500.662069582916,563.333961069945,521.379742514193,433.518502218399
CAPZB,2381.49992104412,2142.02552964822,1982.36970543501,2208.51804055696,2353.88202829901,2329.63989756139,2256.34412916705,2122.47498218919,2281.96567189768,2193.42541579955,2402.62076514206
PQLC2,109.84975005264,161.430747276265,93.0819805899285,77.0959894958155,108.383015116321,104.596077033369,107.537225563565,113.894688815071,97.6782354022625,120.008103209263,109.614017645199
LOC113994572,1589.08861726634,1378.29760832367,1306.83414333187,1385.84742093698,1694.71623636429,1510.7001580615,1583.99426843629,1238.6047408639,1449.17450971805,1276.72486271367,1406.21946961048
MRTO4,390.339888536564,317.197257805995,317.031696266687,278.297718180017,441.414461564653,376.783595677021,356.519810877404,276.431900978245,288.824437439449,303.549908117547,346.617299040223
EMC1,3440.53683174578,3191.79740667282,2984.15300148702,3118.62679460512,3381.55007162922,3134.31653564765,3398.56384934221,2882.95931063148,3097.91575900796,3097.01583996342,3295.33312506332
LOC113994587,845.736425162556,972.360641488614,866.307542124087,1061.48014805824,364.561050845807,982.965405756771,1014.33761409957,849.46455407907,1028.98968673763,1033.68324192853,982.576104116872
LOC113994592,556.714267257067,512.613425561473,377.857544969017,486.080811821178,496.591269260235,487.32263163274,689.788329741063,380.835365725393,557.439584795671,491.125598847992,472.03153544509
LOC113994594,65.0566480894274,53.8102490920884,52.5314147883755,53.5911146495303,34.4855048097385,51.1094467322142,57.1594262004533,65.2521654669677,53.8914402219379,57.4828729657814,45.4256289340464
LOC113994595,39.4605898247347,11.3284734930712,20.2752829007765,40.4283847356105,13.7942019238954,20.2060603359917,9.68803833905988,20.1688511443355,17.6831288228234,30.2541436662007,16.7877324321476
LOC113994630,8.53201942156425,3.77615783102374,13.8240565232567,2.82058498155422,3.9412005496844,10.6973260602309,6.78162683734192,2.37280601698064,2.52616126040334,14.1186003775603,1.97502734495854
RGS17,375.408854548827,424.817755990171,607.336883255078,359.154487651238,397.075955380704,348.257392849739,362.332633880839,485.238830472542,438.710005556714,401.37163930493,410.805687751376
MTRF1L,143.977827738897,119.893011135004,188.007168716291,140.08905408386,157.648021987376,116.48199487807,146.289378919804,142.368361018839,149.885568117265,151.270718331004,156.027160251724
FBXO5,24.5295558369972,23.6009864438984,24.8833017418621,30.0862398032451,34.4855048097385,22.5832439049319,25.1888996815557,34.4056872462193,24.4195588505656,33.2795580328208,29.6254101743781
VIP,626.036925057277,453.138939722849,839.581032845791,194.620363727241,566.547579017133,551.506587994126,148.226986587616,175.587645256568,388.186780348647,293.465193562147,228.115658342711
MYCT1,59.7241359509498,51.9221701765765,68.1986788480664,52.6509196556788,42.3679059091073,79.6356495594966,41.6585648579575,86.6074196197935,62.3119777566157,95.8047882763024,53.3257383138805
SYNE1,7196.75838208945,8590.75906557902,7696.31306838112,12804.5156212623,4532.38063213706,9450.49327832175,8532.25536521004,8854.12565236327,8535.89889890289,12409.24126042,8356.34069651957
ESR1,82.1206869325559,135.941681916855,123.494904941093,162.653733936294,94.5888131924257,140.253830567472,66.8474645395132,151.859585086761,118.729579238957,134.126703586823,124.426722732388
CCDC170,49.0591116739944,101.012221979885,58.0610373976782,109.062619286763,46.3091064587918,128.367912722771,28.0953111832736,64.0657624584774,67.3643002774224,162.363904341944,60.2383340212354
ARMT1,1005.71178931689,906.277879445699,1302.22612449078,1021.05176332263,958.697033710731,1091.12725814355,897.112350196945,1320.46654844973,1034.8840630119,1036.70865629515,1201.80413940727
RMND1,430.866980788995,392.720414426469,419.329714538787,438.130867134756,521.223772695762,387.480921737252,517.341247305798,511.339696659329,453.866973119134,383.219153105209,448.331207305588
ZBTB2,246.362060797668,290.764152988828,263.578677710095,264.194793272246,231.545532293959,282.884844703883,268.358661991959,297.787155131071,261.036663575012,275.312707362427,254.778527499651
AKAP12,4034.57868397219,3745.94856837555,3773.04582708086,3485.30284220717,2913.5325063542,3887.88372700169,4525.28270817487,3421.58627648609,4196.79590728342,3528.64162293455,4071.51887163202
MTHFD1L,154.642852015852,134.997642459099,101.376414503883,196.500753714944,131.044918277006,150.951156627702,140.476555916368,158.978003137703,170.936911953959,148.245303964384,162.939755959079
PLEKHG1,798.810318343953,849.635511980342,894.877258938818,1025.75273829189,743.901603752931,914.027082257506,780.855890128226,880.311032299819,886.682602401573,1080.07292888337,929.250365802992
IYD,30.9285704031704,19.8248286128747,23.961697973645,17.8637048831768,55.1768076955817,14.2631014136412,24.2200958476497,41.5241052971613,34.524203892179,34.2880294883608,27.6503828294195
PPP1R14C,390.339888536564,316.253218348239,548.354242089183,281.118303161571,417.767258266547,279.319069350473,312.923638351634,379.648962716903,323.348641331628,332.795580328208,348.592326385182
LRP11,3228.30284863437,3068.12823770679,2964.79932235446,2570.49311318975,3130.29853658684,2579.24417230011,3247.43045125287,3003.97241749749,3286.53579978475,2670.43241426999,3105.7304999473
PCMT1,3529.05653324451,3661.92905663528,5040.2510083794,3551.11649177677,3992.4361568303,3449.29335853223,3680.48576500885,4456.12969988965,4268.37047632818,3746.47145733119,3739.71427767899
NUP43,154.642852015852,122.725129508272,119.808489868225,139.148859090008,158.633322124797,153.328340196643,159.852632594488,156.605197120722,127.992170527103,146.228361053304,159.977214941641
