"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","n_p005","n_q01","Test","Tissue","design","fdrtool"
"CEBPD",104.354365173327,-2.51073814869932,0.981046233279689,4.20673560543773,0.0402637512583314,1.1523109218653e-14,"CEBPD","CEBPD",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CENPI",152.051139109017,1.03881439115926,0.546034077308976,3.70087338875479,0.0543839937897189,1.1523109218653e-14,"CENPI","CENPI",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CEP128",251.00795161552,-0.90862819834923,0.426206921933614,4.73114259910108,0.0296212011239254,1.1523109218653e-14,"CEP128","CEP128",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CEP135",244.600831072331,-0.717615525680706,0.364676315598251,3.8930947654179,0.0484850029111201,1.1523109218653e-14,"CEP135","CEP135",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CGREF1",13.1278252758447,-2.75914488111672,1.29790995592163,3.49853155589111,0.0614232697679909,1.1523109218653e-14,"CGREF1","CGREF1",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CHRNA10",8.09923445508839,-2.54611974846098,1.39629833018419,3.67443320694946,0.0552530368533945,1.1523109218653e-14,"CHRNA10","CHRNA10",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CLEC3B",240.973088827083,1.55367818104169,0.700843553766283,3.75856988286796,0.0525374955404681,1.1523109218653e-14,"CLEC3B","CLEC3B",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CMAS",534.086779877412,-0.518127025064762,0.268380852222969,3.86443848627262,0.049319694313159,1.1523109218653e-14,"CMAS","CMAS",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CNTFR",1986.73970286296,0.509783094009156,0.251410111137489,4.19810792239025,0.0404691088168419,1.1523109218653e-14,"CNTFR","CNTFR",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"COL6A3",40.6535830526934,2.57495452394957,0.824746692129317,11.1589798807326,0.000836258942536301,1.1523109218653e-14,"COL6A3","COL6A3",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CREB3L1",312.04530719524,0.628491473487756,0.321529151267125,3.51714662949408,0.0607369282757515,1.1523109218653e-14,"CREB3","CREB3L1",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CRIPT",485.030942652513,-0.471007754698163,0.248090558992164,3.67986939186282,0.0550731640456815,1.1523109218653e-14,"CRIPT","CRIPT",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CTBS",707.604417498451,-0.547140084885131,0.255807076097695,4.63677572981888,0.031293743958264,1.1523109218653e-14,"CTBS","CTBS",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CUBN",27.6214405967801,1.13411002064219,0.593503466892642,3.54144174642231,0.0598534142260414,1.1523109218653e-14,"CUBN","CUBN",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CUNH12orf4",771.639606688198,0.626817461887647,0.211319170378411,9.10178094233537,0.00255360732420854,1.1523109218653e-14,"CUNH12orf4","CUNH12orf4",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CWH43",16.0488124422624,-2.69760934395144,0.869726571337652,10.6826652807203,0.00108144135207277,1.1523109218653e-14,"CWH43","CWH43",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CYREN",122.405980879133,0.630781011502725,0.338546886546577,3.56985078467542,0.0588375980649145,1.1523109218653e-14,"CYREN","CYREN",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CYSLTR1",80.0959174781563,0.892792463477712,0.454008994112205,3.71852135427071,0.0538120051571839,1.1523109218653e-14,"CYSLTR1","CYSLTR1",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CYTL1",5.39766618940471,-3.58961666812597,1.89691866090586,3.91096787507499,0.0479719620621906,1.1523109218653e-14,"CYTL1","CYTL1",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"DCK",39.5386939477555,-1.0629705262261,0.534094841512579,4.03027662450259,0.0446906125487473,1.1523109218653e-14,"DCK","DCK",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"DDIT4",546.440556836073,-3.00859803530232,1.24251891237779,3.6136919401265,0.0573057699609934,1.1523109218653e-14,"DDIT4","DDIT4",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
