"","ID","logT","studyyear","T.doy.adj","time.of.day","T.tElap","Tresid","Status","ID_year","ID_year_Tday","meanT","correctedT","relativeT"
"320","PXRM",1.09861228866811,"17-18",-31,482,18.9785714285714,1.45979486510372,"terr","PXRM_17-18","PXRM_17-18_-31",1.46413621569341,1.45979486510372,-0.00434135058968832
"321","PXRM",1.42069578783722,"17-18",31,418,36,1.9974124623839,"terr","PXRM_17-18","PXRM_17-18_31",1.46413621569341,1.9974124623839,0.533276246690496
"322","PXY",1.31640823365572,"15-16",57,495,6,0.845901187846647,"terr","PXY_15-16","PXY_15-16_57",0.783624285050125,0.845901187846647,0.0622769027965218
"323","PXY",0.683096844706444,"15-16",-9,665,1,0.268570834218486,"terr","PXY_15-16","PXY_15-16_-9",0.783624285050125,0.268570834218486,-0.51505345083164
"324","PXY",0.19062035960865,"16-17",-13,421,8,0.647034949236463,"terr","PXY_16-17","PXY_16-17_-13",0.783624285050125,0.647034949236463,-0.136589335813662
"325","PXY",0.647103242058538,"16-17",19,448,24,1.37299016889891,"terr","PXY_16-17","PXY_16-17_19",0.783624285050125,1.37299016889891,0.58936588384878
"326","PXYM",-2.30258509299405,"16-17",22,553,28,-1.47075133737265,"floa","PXYM_16-17","PXYM_16-17_22",-1.82943865245686,-1.47075133737265,0.358687315084209
"327","PXYM",-2.12026353620009,"17-18",23,416,6,-2.11113281895517,"floa","PXYM_17-18","PXYM_17-18_23",-1.82943865245686,-2.11113281895517,-0.281694166498315
"328","PXYM",-2.30258509299405,"17-18",46,528,26,-1.90643180104275,"floa","PXYM_17-18","PXYM_17-18_46",-1.82943865245686,-1.90643180104275,-0.0769931485858946
"329","PXYY",1.65822807660353,"15-16",-7,457,12,1.38712748856295,"terr","PXYY_15-16","PXYY_15-16_-7",0.753319764919405,1.38712748856295,0.633807723643541
"330","PXYY",0.896088024556636,"15-16",49,479,19,0.683333180189121,"terr","PXYY_15-16","PXYY_15-16_49",0.753319764919405,0.683333180189121,-0.0699865847302839
"331","PXYY",-0.186329578191493,"16-17",6,810,16,0.519219611139044,"terr","PXYY_16-17","PXYY_16-17_6",0.753319764919405,0.519219611139044,-0.234100153780361
"332","PXYY",0.00995033085316809,"17-18",-29,473,22,0.423598779786509,"terr","PXYY_17-18","PXYY_17-18_-29",0.753319764919405,0.423598779786509,-0.329720985132896
"333","PYRX",-2.20727491318972,"17-18",7,510,27,-1.73923348305441,"floa","PYRX_17-18","PYRX_17-18_7",-1.73923348305441,-1.73923348305441,0
"334","PYWX",-0.579818495252942,"15-16",-11,899,23,-0.492737767660438,"floa","PYWX_15-16","PYWX_15-16_-11",-0.492737767660438,-0.492737767660438,0
"335","RAGR",1.708377860289,"15-16",58,533,8,1.28700087507085,"floa","RAGR_15-16","RAGR_15-16_58",1.28700087507085,1.28700087507085,0
"336","RBGX",-0.82098055206983,"17-18",25,562,33,-0.247597162307517,"floa","RBGX_17-18","RBGX_17-18_25",-0.247597162307517,-0.247597162307517,0
