studyyear,date,doy,doy.adj,mean.temp,ID1,Status,ID_date,ID_year,Tmanip,timesincemanip,pings,num.terr.ping,num.int,num.part,pings_terr,num.int_terr,num.part_terr,weight,mean.stab,pingsL,num.intL,num.partL,pings_terrL,num.int_terrL,num.part_terrL
17-18,3/2/18,61,61,22.4,BWOX,terr,BWOX_2018-03-02,BWOX_17-18,Tplus,54,774,3,3,1,771,2,1,3,1,6.651571874,1.386294361,0.693147181,6.64898455,1.098612289,0.693147181
17-18,1/31/18,31,31,28,BWOX,terr,BWOX_2018-01-31,BWOX_17-18,Tplus,24,1152,3,14,3,1114,5,2,4.666666667,0.766439909,7.049254841,2.708050201,1.386294361,7.016609684,1.791759469,1.098612289
17-18,1/12/18,12,12,23.6,BWOX,terr,BWOX_2018-01-12,BWOX_17-18,Tplus,5,988,3,1,1,981,0,0,1,0.333333333,6.895682698,0.693147181,0.693147181,6.889591308,0,0
17-18,2/12/18,43,43,27.1,BWOX,terr,BWOX_2018-02-12,BWOX_17-18,Tplus,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17-18,1/11/18,11,11,21.1,BWOX,terr,BWOX_2018-01-11,BWOX_17-18,Tplus,4,1096,3,1,1,1093,0,0,1,0.5,6.999422468,0.693147181,0.693147181,6.997595983,0,0
17-18,1/13/18,13,13,25.1,BWOX,terr,BWOX_2018-01-13,BWOX_17-18,Tplus,6,1169,3,5,1,1160,3,1,5,0.5,7.063903961,1.791759469,0.693147181,7.057036982,1.386294361,0.693147181
17-18,1/28/18,28,28,25.9,BWOX,terr,BWOX_2018-01-28,BWOX_17-18,Tplus,21,1284,2,6,1,1258,0,0,6,0.75,7.157735484,1.945910149,0.693147181,7.138073034,0,0
17-18,1/14/18,14,14,25.1,BWOX,terr,BWOX_2018-01-14,BWOX_17-18,Tplus,7,868,2,0,0,867,0,0,0,0,6.766191715,0,0,6.766191715,0,0
17-18,1/15/18,15,15,24,BWOX,terr,BWOX_2018-01-15,BWOX_17-18,Tplus,8,995,3,2,2,986,0,0,1,0.266666667,6.902742737,1.098612289,1.098612289,6.894670039,0,0
17-18,1/10/18,10,10,21.4,BWOX,terr,BWOX_2018-01-10,BWOX_17-18,Tplus,3,1040,2,2,1,1037,1,1,2,0.333333333,6.946975992,1.098612289,0.693147181,6.945051064,0.693147181,0.693147181
17-18,1/29/18,29,29,26.8,BWOX,terr,BWOX_2018-01-29,BWOX_17-18,Tplus,22,1284,2,5,2,1249,0,0,2.5,0.523809524,7.157735484,1.791759469,1.098612289,7.13089883,0,0
17-18,1/27/18,27,27,23.9,BWOX,terr,BWOX_2018-01-27,BWOX_17-18,Tplus,20,995,3,5,3,954,0,0,1.666666667,0.466666667,6.902742737,1.791759469,1.386294361,6.86171134,0,0
17-18,2/10/18,41,41,27.6,BWOX,terr,BWOX_2018-02-10,BWOX_17-18,Tplus,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17-18,1/30/18,30,30,28.1,BWOX,terr,BWOX_2018-01-30,BWOX_17-18,Tplus,23,1131,3,15,4,1098,5,2,3.75,0.754761905,7.030857476,2.772588722,1.609437912,7.002155954,1.791759469,1.098612289
15-16,3/12/16,72,72,24.7,BX,floa,BX_2016-03-12,BX_15-16,none,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15-16,1/27/16,27,27,28,BX,floa,BX_2016-01-27,BX_15-16,none,NA,1,1,1,1,0,0,0,1,1,0,0.693147181,0.693147181,0,0,0
16-17,12/28/16,363,-2,26.3,BX,floa,BX_2016-12-28,BX_16-17,none,NA,1,1,1,1,0,0,0,1,0.01754386,0,0.693147181,0.693147181,0,0,0
15-16,1/2/16,2,2,26.5,BXMW,floa,BXMW_2016-01-02,BXMW_15-16,none,NA,36,5,6,5,0,0,0,1.2,0.183226496,3.583518938,1.945910149,1.791759469,0,0,0
15-16,12/31/15,365,0,24.4,BXMW,floa,BXMW_2015-12-31,BXMW_15-16,none,NA,29,5,2,2,0,0,0,1,0.141666667,3.36729583,1.098612289,1.098612289,0,0,0
15-16,1/3/16,3,3,26.2,BXMW,floa,BXMW_2016-01-03,BXMW_15-16,none,NA,15,5,2,2,0,0,0,1,0.538461538,2.708050201,1.098612289,1.098612289,0,0,0
15-16,1/1/16,1,1,25.3,BXMW,floa,BXMW_2016-01-01,BXMW_15-16,none,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15-16,12/30/15,364,-1,24,BXMW,floa,BXMW_2015-12-30,BXMW_15-16,none,NA,25,4,2,2,0,0,0,1,0.571428571,3.218875825,1.098612289,1.098612289,0,0,0
16-17,1/7/17,7,7,23.3,BXMW,floa,BXMW_2017-01-07,BXMW_16-17,none,NA,907,8,151,12,0,0,0,12.58333333,0.197883363,6.81014245,5.023880521,2.564949357,0,0,0
16-17,1/27/17,27,27,22.4,BXMW,floa,BXMW_2017-01-27,BXMW_16-17,none,NA,980,8,58,8,0,0,0,7.25,0.229397842,6.887552572,4.077537444,2.197224577,0,0,0
