"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","n_p005","n_q01","Tissue","Test","fdrtool","design","gene","n"
112.320647743248,0.763191196541802,1.10325680391449,0.523591266805568,0.769668302127692,0.999980702706201,659,85,"PIT","LRT_minimal_interaction","no","~ Status:mean_T","AR",12
14.7323617427801,-0.561687895288662,0.539678175695176,2.83227873907524,0.242648989023519,0.999980702706201,659,85,"PIT","LRT_minimal_interaction","no","~ Status:mean_T","CYP19A1",12
1725.1493493743,-0.150861390879641,0.342969937102636,2.46506359251563,0.291553488432992,0.999980702706201,659,85,"PIT","LRT_minimal_interaction","no","~ Status:mean_T","ESR1",12
918.678959629435,0.157226310017369,0.377843775041587,2.21737713474874,0.329991438969638,0.999980702706201,659,85,"PIT","LRT_minimal_interaction","no","~ Status:mean_T","VIPR1",12
467.462328288462,0.0254152727368092,0.339463248622069,0.446240900588151,0.800018481029572,0.999980702706201,659,85,"PIT","LRT_minimal_interaction","no","~ Status:mean_T","PGR",12
1732.1902601699,0.332133021025337,0.417799506406446,0.919956367953631,0.6312974177558,0.999980702706201,659,85,"PIT","LRT_minimal_interaction","no","~ Status:mean_T","AVPR1B",12
1122.37858483144,0.0389971508860473,0.250334216126698,0.8240173289648,0.662318537379951,0.999980702706201,659,85,"PIT","LRT_minimal_interaction","no","~ Status:mean_T","PRLR",12
370352.28248466,-0.0721618846084916,0.317335632989837,2.08976285462353,0.351733522894921,0.999980702706201,659,85,"PIT","LRT_minimal_interaction","no","~ Status:mean_T","PRL",12
107.249210260072,1.30891821562683,1.88346636227192,3.49272558875253,0.174407145860438,0.999980702706201,659,85,"PIT","LRT_minimal_interaction","no","~ Status:mean_T","OXT",12
123.155916166431,-0.0126936520182482,1.9213443305265,1.73052292608689,0.420941477597827,0.999980702706201,659,85,"PIT","LRT_minimal_interaction","no","~ Status:mean_T","AVP",12
14.9509795770537,-0.290995119689134,0.575907627389074,2.8366314775806,0.242121469471501,0.999980702706201,659,85,"PIT","LRT_minimal_interaction","no","~ Status:mean_T","ESR2",12
123.155916166431,-12.7641391976594,3.24909325736781,5.56741262487863,0.0182977793806401,0.997464720704062,603,16,"PIT","LRT_full_interaction","yes","~ Batch + Status + mean_T + Status:mean_T","AVP",12
112.320647743248,-1.09502499520474,2.07170462012672,0.23642775672343,0.626798166537114,0.999966875575919,603,16,"PIT","LRT_full_interaction","yes","~ Batch + Status + mean_T + Status:mean_T","AR",12
47.1885404616107,2.0534681953265,0.946705399329207,4.70819864501905,0.0300190908659577,0.999966875575919,603,16,"PIT","LRT_full_interaction","yes","~ Batch + Status + mean_T + Status:mean_T","AVPR1A",12
1732.1902601699,-0.774219330363891,0.409355713221374,3.57291853814735,0.0587290065333519,0.999966875575919,603,16,"PIT","LRT_full_interaction","yes","~ Batch + Status + mean_T + Status:mean_T","AVPR1B",12
14.7323617427801,0.0749323216596685,1.14091569013277,0.00463116755422277,0.945743697120448,0.999966875575919,603,16,"PIT","LRT_full_interaction","yes","~ Batch + Status + mean_T + Status:mean_T","CYP19A1",12
1725.1493493743,0.544994704240766,0.524084618761798,0.958903481822261,0.327463299449864,0.999966875575919,603,16,"PIT","LRT_full_interaction","yes","~ Batch + Status + mean_T + Status:mean_T","ESR1",12
14.9509795770537,1.5952642814609,1.20225154897074,1.90812845306797,0.167171301384686,0.999966875575919,603,16,"PIT","LRT_full_interaction","yes","~ Batch + Status + mean_T + Status:mean_T","ESR2",12
107.249210260072,-4.84583407791004,3.32397743670502,2.13602676849781,0.143874098960774,0.999966875575919,603,16,"PIT","LRT_full_interaction","yes","~ Batch + Status + mean_T + Status:mean_T","OXT",12
467.462328288462,0.0587910761100216,0.637484657109237,0.00800275318593435,0.928717844583952,0.999966875575919,603,16,"PIT","LRT_full_interaction","yes","~ Batch + Status + mean_T + Status:mean_T","PGR",12
370352.28248466,1.01826163666467,0.551090442925605,3.21561793207724,0.0729386462900554,0.999966875575919,603,16,"PIT","LRT_full_interaction","yes","~ Batch + Status + mean_T + Status:mean_T","PRL",12
1122.37858483144,0.556935843416077,0.519732241244594,1.04764503115638,0.306050081393511,0.999966875575919,603,16,"PIT","LRT_full_interaction","yes","~ Batch + Status + mean_T + Status:mean_T","PRLR",12
918.678959629435,0.734455605545173,0.742561948365088,0.949357043001498,0.329883010486156,0.999966875575919,603,16,"PIT","LRT_full_interaction","yes","~ Batch + Status + mean_T + Status:mean_T","VIPR1",12
322.933962442738,0.796777627404991,0.534442085185354,1.9959103732169,0.157724267426881,0.999966875575919,603,16,"PIT","LRT_full_interaction","yes","~ Batch + Status + mean_T + Status:mean_T","VIPR2",12
