"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"ABCB8","darkorange","ABCB8","ABCB8",2,"N","ABCB8",0.0157292949350623,0.955630923781118,-0.31492863460716,0.252917263260567,-0.231240808274431,0.406978076530242
"ABCB9","blue2","ABCB9","ABCB9",2,"N","ABCB9",0.21057500814327,0.45126408985099,-0.100093972052845,0.722646403877891,0.0584861171224837,0.83597826220286
"ABCC10","coral3","ABCC1","ABCC1",2,"N","ABCC10/ABCC1",0.0324484006841831,0.908604786069063,0.371869161390589,0.172300772604199,0.233331535242196,0.402629219463922
"ABCC2","brown","ABCC2","ABCC2",2,"N","ABCC2",0.103172925934378,0.71443970805966,-0.349982329770804,0.200969655294703,-0.661359381562078,0.00725328078126178
"ABCC3","skyblue","ABCC3","ABCC3",2,"N","ABCC3",-0.407179542157058,0.131974460611345,-0.111403046169868,0.692647166143374,-0.146657671867786,0.601976148281718
"ABCC4","magenta3","ABCC4","ABCC4",3,"N","ABCC4",-0.306511117065942,0.266507673189833,-0.218128625850956,0.434806514122815,-0.338173500972823,0.217634579251787
"ABCC5","brown2","ABCC5","ABCC5",2,"N","ABCC5",0.130406055102524,0.643198689056328,-0.0341868114213355,0.903728750011837,-0.218417871908728,0.434182443427797
"ABCC8","coral","ABCC8","ABCC8",2,"N","ABCC8",0.355542469976888,0.193414824395008,0.370456286161866,0.174065274504286,-0.254505257752815,0.359990167051398
"ABCC9","lightpink4","ABCC9","ABCC9",1,"N","ABCC9",0.0324640720891563,0.908560815861299,0.0327608674878067,0.907728125721245,-0.013646427446921,0.961501943220911
"ABCD2","brown2","ABCD2","ABCD2",3,"N","ABCD2",0.0448142326302509,0.873995393298595,0.184665033464924,0.509984911010183,0.112764081766892,0.689064225624018
"ABCD3","blue2","ABCD3","ABCD3",3,"N","ABCD3",-0.340969016710695,0.213613106146938,-0.224820645360582,0.420485130323996,0.489368931211474,0.0641082656365174
