"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"ACOT9","darkolivegreen","ACOT9","ACOT9",3,"N","ACOT9",0.0156083076819972,0.957764974071358,0.0738836230038569,0.801802494961239,-0.0329001514467221,0.911098723709024
"ACOX1","darkgreen","ACOX1","ACOX1",3,"N","ACOX1",-0.25020740915294,0.388274481593893,-0.534638200627833,0.0488715096809549,0.0365976251093741,0.901149887056389
"ACOX2","orange","ACOX2","ACOX2",2,"N","ACOX2",-0.0805663826017423,0.784245402895919,-0.259235452427119,0.370799785612117,-0.336825805746157,0.238958023859632
"ACOX3","darkolivegreen4","ACOX3","ACOX3",2,"N","ACOX3",-0.223974500462888,0.441441538755139,-0.0304604516434913,0.917669975626394,0.239530357129715,0.409490494556703
"ACP1","antiquewhite2","ACP1","ACP1",3,"N","ACP1",-0.440588642161775,0.114850249774327,-0.471824975738793,0.0885061674445445,-0.354595199534167,0.213502654242594
"ACP2","honeydew1","ACP2","ACP2",3,"N","ACP2",0.647582604974589,0.0122810281533714,0.34310951838494,0.229753366842818,0.350488818645546,0.219227512811764
"ACP5","thistle1","ACP5","ACP5",3,"N","ACP5",0.490558859882123,0.0749127715428172,0.58538352632874,0.027856291102347,0.260274341313431,0.368816568445087
"ACP6","indianred4","ACP6","ACP6",3,"N","ACP6",0.408404347324742,0.147124586478141,0.21157453636458,0.46776786933161,-0.18845729856739,0.518783566434514
"ACSBG1","indianred4","ACSBG1","ACSBG1",2,"N","ACSBG1",0.0535478472002168,0.85573466202624,0.262549466585637,0.364493478086865,0.0621539440689154,0.832825621434365
"ACSBG2","darkgreen","ACSBG2","ACSBG2",3,"N","ACSBG2",-0.0451199606422168,0.878272272687707,0.43723299851692,0.117966269926138,0.245593062470943,0.397371061347133
"ACSF2","antiquewhite2","ACSF2","ACSF2",3,"N","ACSF2",-0.000576310878817884,0.998439909304924,0.0832485631641746,0.777224985959891,-0.386342284447089,0.172417315766749
"ACSF3","lightcoral","ACSF3","ACSF3",2,"N","ACSF3",0.117236050013209,0.689789468781613,0.61245669410357,0.0198939929850534,0.256373624081863,0.376292581057767
"ACSL1","darkolivegreen4","ACSL1","ACSL1",3,"N","ACSL1",0.56130112528604,0.0367516354294628,-0.0424935538222611,0.885314060051181,-0.295301973192449,0.305365093812152
"ACSL3","magenta","ACSL3","ACSL3",2,"N","ACSL3",0.0633898161670385,0.82954547407775,-0.397458150030945,0.159344677627627,-0.255862624165855,0.377277921647986
"ACSL4","darkolivegreen","ACSL4","ACSL4",2,"N","ACSL4",-0.601767667660449,0.0227988539731899,-0.640587683168394,0.0135802966770682,-0.211715984525084,0.467463376954488
