"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"ABCA1","magenta","ABCA1","ABCA1",3,"N","ABCA1",-0.286516876584591,0.281989006585429,0.21809027019737,0.417116002859263,-0.170903126259018,0.526836523366116
"ABCA12","brown4","ABCA12","ABCA12",2,"N","ABCA12",0.143052147551226,0.597135847101379,0.149245741199692,0.581179609275891,0.354774043428831,0.177549895155501
"ABCA13","indianred4","ABCA13","ABCA13",3,"N","ABCA13",-0.0412162156905298,0.879538239619531,-0.235868043440051,0.379160913326596,-0.0326399290826291,0.904483211733777
"ABCA2","magenta","ABCA2","ABCA2",2,"N","ABCA2",-0.171792343426312,0.524655742268229,0.224519651787511,0.40316616452555,-0.29788861935494,0.2624673100968
"ABCA3","honeydew1","ABCA3","ABCA3",2,"N","ABCA3",-0.554848835544495,0.0256937558006371,-0.0873157379001046,0.747796515033085,-0.286548900299172,0.281932837650459
"ABCA4","bisque4","ABCA4","ABCA4",2,"N","ABCA4",-0.0698027606869061,0.797275529835095,-0.285942753603577,0.282997149612335,0.381661046291352,0.144646763734702
"ABCA5","brown4","ABCA5","ABCA5",2,"N","ABCA5",0.0975453130082056,0.719303771381735,-0.0543991566134481,0.841408114310512,0.267426922212726,0.316667871107267
"ABCA7","brown4","ABCA1","ABCA1",2,"N","ABCA7/ABCA1",0.0798102989197076,0.768900317119999,0.200008034624087,0.45766946154826,0.0514356122093454,0.849954016590639
"ABCB10","floralwhite","ABCB10","ABCB10",3,"N","ABCB10",0.412765159400229,0.112074378891628,-0.140347217388356,0.604159403335879,0.194728949179111,0.469867064802382
"ABCB11","blue","ABCB1","ABCB1",3,"N","ABCB11/ABCB1",0.165423977790099,0.540363890330717,0.313282007852311,0.237398355335952,0.239361767130381,0.371931511400116
"ABCB6","brown","ABCB6","ABCB6",3,"N","ABCB6",0.203922803450242,0.448727318635426,0.128238805284659,0.635993547692918,0.171758438764827,0.524738817164704
"ABCB7","darkgreen","ABCB7","ABCB7",2,"N","ABCB7",-0.25179964094326,0.346818622534201,0.278861854870919,0.295608864149556,0.14928862829855,0.581069742294268
"ABCB8","brown","ABCB8","ABCB8",2,"N","ABCB8",-0.175108116424589,0.516560300167032,0.0813421108422248,0.764580283005774,-0.31583635582649,0.233389353761055
"ABCB9","antiquewhite4","ABCB9","ABCB9",2,"N","ABCB9",0.129243102312798,0.633329347432239,-0.130643626818176,0.629621081025955,0.198899727473999,0.460217082491541
"ABCC10","brown4","ABCC1","ABCC1",2,"N","ABCC10/ABCC1",0.040522562494605,0.881552156743484,0.225532235330875,0.400992057934119,0.170411750432926,0.528043369272344
"ABCC2","honeydew1","ABCC2","ABCC2",2,"N","ABCC2",-0.147547122595342,0.585538004367579,-0.0833582429134299,0.758904285554081,-0.427879016177761,0.0982660458442409
"ABCC3","blue","ABCC3","ABCC3",2,"N","ABCC3",-0.335491114951641,0.203972248616356,-2.26398084173121e-05,0.999933606108782,-0.0689695928624707,0.799649154861515
"ABCC4","indianred4","ABCC4","ABCC4",3,"N","ABCC4",-0.415950266865783,0.109057676518153,-0.519782006431575,0.0390469771324962,0.0579668894040963,0.831141983000038
"ABCC5","darkolivegreen4","ABCC5","ABCC5",2,"N","ABCC5",-0.389884992661156,0.135474542899358,-0.354820304166529,0.17748937623284,-0.365837543556541,0.163462952910151
"ABCC8","brown","ABCC8","ABCC8",2,"N","ABCC8",-0.0240064704017798,0.929679288774564,0.580363969874176,0.0184237834507661,-0.062676670903219,0.817628959378047
"ABCC9","blue","ABCC9","ABCC9",1,"N","ABCC9",0.254090020612454,0.34230141323225,-0.216152766975332,0.421368726460161,-0.0139421725963872,0.959128835971867
"ABCD2","lightcoral","ABCD2","ABCD2",3,"N","ABCD2",-0.377572194149836,0.149360563326755,-0.038975615885239,0.886045916456829,0.0924430800334688,0.73347441465619
"ABCD3","coral1","ABCD3","ABCD3",3,"N","ABCD3",-0.547434991913448,0.0281707213135737,-0.438328487577785,0.0894540316683116,0.274796374699221,0.302998258144571
"ABCD4","midnightblue","ABCD4","ABCD4",2,"N","ABCD4",-0.326619156869477,0.216937994439264,0.228249470810295,0.395188927652348,-0.0153811090664611,0.954914430265985
"ABCE1","darkturquoise","ABCE1","ABCE1",3,"N","ABCE1",-0.393493958858746,0.131578291757589,-0.296175800204388,0.265353228102721,0.148770484681279,0.582397685618751
"ABCF2","brown","ABCF2","ABCF2",3,"N","ABCF2",0.0297030970442995,0.913045689753188,0.357744932577587,0.173690985580146,0.0217104901446693,0.936391420796937
"ABCF3","brown","ABCF3","ABCF3",3,"N","ABCF3",0.438834413029235,0.0890422478442724,0.278711918012506,0.295879468338104,-0.106696438663585,0.694104030659666
"ABCG1","darkgreen","ABCG1","ABCG1",1,"N","ABCG1",-0.439553985808549,0.0884589079520803,-0.112218390288862,0.679040247391007,0.0974721781932889,0.719506299576385
