"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","MM.black","MM.blue","MM.brown","MM.cyan","MM.green","MM.grey60","MM.midnightblue","MM.pink","MM.salmon","MM.turquoise"
"MLX","brown","MLX","MLX",3,"N","MLX",0.697412653348983,0.199689870762561,0.0383215676452528,0.741503369342045,0.0978418886640756,0.0239392804467152,0.143843346567048,0.846174234742081,0.926106722054879,0.576679415845405
"MLXIP","turquoise","MLXIP","MLXIP",3,"N","MLXIP",0.545144695319438,0.00293792328523235,0.129098633280232,0.530102817990294,0.806941405604193,0.245441508256136,0.124207826728112,0.0414634385131176,0.675009862687996,0.000250182272482997
"MLXIPL","black","MLXIPL","MLXIPL",3,"N","MLXIPL",0.000121629206198685,0.470976277691223,0.0232053540395371,0.835257620892387,0.000684063301117646,0.0114001451921499,0.104229058844226,0.679952648016969,0.221229769918504,0.827251942015959
"MLYCD","green","MLYCD","MLYCD",2,"N","MLYCD",0.66852500973053,0.817542168130253,0.722159240548715,0.603060357281212,0.236337483206093,0.872628581140625,0.96459369718331,0.204080106557439,0.521269756221865,0.662773024667319
"MMAA","turquoise","MMAA","MMAA",2,"N","MMAA",0.160933709067666,0.0657366522552356,0.66588124130368,0.682513101070034,0.594785930239492,0.0923786276434906,0.464768859484737,0.0594250744557121,0.613562929890123,0.0337949846271337
"MMAB","black","MMAB","MMAB",3,"N","MMAB",0.00426022154194037,0.399077857559973,0.407141296442636,0.782988254098858,0.356198289213864,0.621794033255134,0.174875604745725,0.526075898366293,0.852429128884446,0.292645522107555
"MMACHC","brown","MMACHC","MMACHC",3,"N","MMACHC",0.87820078416785,0.687967143164123,0.175258162039761,0.681788606513579,0.837414173709051,0.183585428117154,0.188133049263847,0.522991847715097,0.657470922489479,0.785406051219086
"MMADHC","blue","MMADHC","MMADHC",3,"N","MMADHC",0.698589296348492,0.59859499607113,0.203469170451002,0.727490690279342,0.472824237094847,0.323784703094533,0.344609685171919,0.7998865944827,0.400920510103729,0.964894421818375
"MMD","turquoise","MMD","MMD",3,"N","MMD",0.955259862842473,0.844668617748799,0.638600698915712,0.289884002831555,0.713977297169722,0.948067123070414,0.796552112181544,0.750455049107666,0.362413046827668,0.802350838294561
"MMD2","pink","MMD2","MMD2",3,"N","MMD2",0.366400334115324,0.0320773248006954,0.949729718004896,0.0176560869324779,0.53443168043889,0.0684686798856689,0.0965938085012415,2.13666333452164e-07,0.113050392800078,0.00614786395239871
"MME","brown","MME","MME",3,"N","MME",0.836781459820938,0.797765327385365,7.38600520472066e-09,0.954133832335879,0.0390884682721152,0.0272297076778012,0.439742865208145,0.806253640442065,0.927756955009773,0.275009291248943
"MMEL1","turquoise","MME","MME",3,"N","MMEL1/MME",0.117267167533572,0.188060850848922,0.916204256219003,0.644234314182303,0.535407107924822,0.153791315934477,0.824117515478986,0.0179718699544617,0.239405528924433,0.0567661371722605
"MMGT1","blue","MMGT1","MMGT1",3,"N","MMGT1",0.694208760255752,0.197433555964199,0.763949348972205,0.530896456818577,0.578044932343634,0.541893736180261,0.632784447489247,0.842738243973902,0.814145170974308,0.380802406801783
"MMP15","black","MMP15","MMP15",3,"N","MMP15",0.00107565384916951,0.164802542623419,0.0364911862520763,0.446392001734444,0.0601806573193131,0.534891118155482,0.274659895282516,0.0232001951671933,0.206901387108278,0.0233191057510953
