"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","MM.black","MM.blue","MM.brown","MM.cyan","MM.green","MM.grey60","MM.midnightblue","MM.pink","MM.salmon","MM.turquoise"
"LOC113991380","blue","EEF1D","EEF1D",2,"Y","LOC113991380/EEF1D",0.149595776763399,0.785932647415778,-0.181187185757425,0.223426899090397,0.412471559709833,-0.64121309164805,0.50779458357823,0.586937525108483,0.392954568457039,-0.752374838947602
"LOC113991383","salmon","PCDHAC1","PCDHAC1",4,"Y","LOC113991383/PCDHAC1",-0.0510881379811356,0.0288708194059667,-0.340619820812583,0.00878300416062118,0.0148389300646437,-0.3074557605461,-0.16889700790985,0.260393409025308,0.663496979126491,0.0109554317093593
"LOC113991384","brown","PCDHB1","PCDHB1",2,"Y","LOC113991384/PCDHB1",0.125344728252474,-0.233401300120813,0.201054695161368,-0.0325202507384541,-0.148021002263116,0.31046228844914,-0.161703968568015,-0.137614851325139,0.160324521484709,0.0982642189102629
"LOC113991385","midnightblue","GPR62","GPR62",2,"Y","LOC113991385/GPR62",-0.129929844368653,0.118167253818922,0.0421988759913467,0.200238588349651,0.238611312840011,-0.130931128469168,0.538344427999138,0.0507414202914683,-0.331618950440527,-0.208149458248746
"LOC113991387","turquoise","PCDHB1","PCDHB1",2,"Y","LOC113991387/PCDHB1",-0.15838195608078,-0.247366030420096,0.0366414584710074,-0.172414248828323,0.0605886814105547,0.210041137489527,0.0485030906474327,-0.319759655975913,-0.181883678634832,0.199635513856903
"LOC113991390","blue","PCDHGA2","LOC113991390",1,"Y","LOC113991390/PCDHGA2",0.10733472975098,0.588779402425941,0.112752359470354,-0.0812111520787716,0.0870411438499412,-0.332377848108251,-0.0868807887439855,0.400415248464864,0.256918737054498,-0.496909999159322
"LOC113991394","turquoise","ABCB1","ABCB1",3,"Y","LOC113991394/ABCB1",-0.117636871488691,-0.786933939388863,-0.258080118755562,-0.477485736002252,-0.251161800500308,0.404379672065217,-0.513008921989592,-0.572815686093943,-0.243577974304494,0.840381737526808
"LOC113991395","turquoise","ABCB1","ABCB1",3,"Y","LOC113991395/ABCB1",0.329731238671333,-0.42610577499322,0.00819139432924561,0.0700234202577998,-0.255706490472806,0.433386880770516,-0.584320214212976,-0.150476254384212,-0.175658379537371,0.395276310337868
"LOC113991400","turquoise","LOC113991400","LOC113991400",2,"N","LOC113991400",-0.462380649300715,-0.12629784731824,-0.00350219246234596,-0.518356771535347,0.253021674411162,-0.0364536141962724,0.223293390061044,-0.548224446503751,-0.336932196874487,0.152143006026924
"LOC113991401","green","LOC113991401","LOC113991401",1,"N","LOC113991401",-0.471555093347835,0.316982305501777,-0.450389622087879,-0.151365653153039,0.506744374419189,-0.524466593188862,0.307928270358754,0.0338290907702159,0.514793131277524,-0.112347413907848
"LOC113991404","blue","ABHD14B","ABHD14B",2,"Y","LOC113991404/ABHD14B",0.106647483631146,0.501965933475492,0.141168899197891,0.201340426548541,0.251420714364659,-0.306624977329865,0.514089898628635,0.532260280761987,0.453937275346308,-0.655929972715156
"LOC113991411","salmon","LOC113991411","LOC113991411",2,"N","LOC113991411",-0.430825611437045,0.0841597616975461,-0.121978293608671,0.392313596060229,0.172965295304327,-0.204336553001631,0.211304494437325,0.208908070236402,0.566592078799764,-0.0274693740143858
"LOC113991415","midnightblue","MUC6","MUC6",2,"Y","LOC113991415/MUC6",-0.196085487914808,-0.0323383851962943,-0.0416322936206315,0.187228465736982,0.00285890199252853,-0.0549919163372755,0.216307941021427,0.00597929891765749,0.184425631583893,0.0478380932466612
"LOC113991418","midnightblue","LOC113991418","LOC113991418",2,"N","LOC113991418",0.0584451870291615,0.395402935300494,-0.470598400011059,0.116348872668653,0.485952073078308,-0.63927313573234,0.687097547815458,0.289204323391659,-0.0556235481620049,-0.368494566758435
"LOC113991423","black","RASSF7","RASSF7",2,"Y","LOC113991423/RASSF7",0.42985327724457,0.185661139959023,0.2566881980795,0.255483772728056,-0.138944282925206,0.127682364750567,-0.0138149115891245,0.234276230975318,-0.248035270993895,-0.301224763234073
"LOC113991424","blue","LOC113991424","LOC113991424",1,"N","LOC113991424",-0.223063701621101,0.210762705509557,-0.258413756262748,0.308263610605443,0.318148844535222,-0.333850646569199,0.192340668753145,-0.0268115668796682,-0.0700794797132473,-0.0336793678522061
"LOC113991438","turquoise","SH3BGR","SH3BGR",2,"Y","LOC113991438/SH3BGR",-0.19183658039586,-0.237703104029875,-0.149916590753842,0.0894264093712917,0.142466936370707,0.15838783380944,0.0782296747196353,-0.470022884389037,-0.36359347534638,0.299341886402306
"LOC113991439","green",NA,NA,NA,NA,"LOC113991439",-0.200588711420914,-0.143134646027728,-0.30751877691073,0.334044862510602,0.39155234705389,-0.15853245103045,0.136683176645718,-0.0390321958206578,-0.074915970296732,0.171606994758763
"LOC113991446","turquoise","SCN5A","SCN5A",4,"Y","LOC113991446/SCN5A",-0.366639443209128,-0.228023052547928,0.128135193578907,-0.453751613057374,0.091866515981662,0.31205458481827,0.0180382907359014,-0.714715070153755,-0.320711488998609,0.325470293404806
"LOC113991453","midnightblue","SEMA3DL","SEMA3DL",2,"Y","LOC113991453/SEMA3DL",0.281609492198904,0.32079471621074,-0.0109350451659962,0.212963915101476,-0.0917351609282633,-0.246293980571752,0.425965378039011,0.349220267409243,-0.0436833588102236,-0.386271976845652
"LOC113991466","turquoise","SCN5A","SCN5A",2,"Y","LOC113991466/SCN5A",-0.198954268154056,-0.573942616913047,0.124057103452083,-0.0765162862006097,-0.267102377288531,0.463302255908416,-0.28698602215127,-0.451863770209463,0.0149283102148085,0.511164602875521
"LOC113991469","turquoise","LOC113991469","LOC113991469",2,"N","LOC113991469",-0.124269515081482,-0.36720577071589,-0.42364279688076,-0.173255493997587,0.263172955584169,-0.0120362006802275,-0.0127151692286326,-0.273839711602152,-0.126620077156258,0.461372597023538
"LOC113991480","blue","SERPINB10","SERPINB10",3,"Y","LOC113991480/SERPINB10",0.0158017246501927,0.263538063965481,0.0743875167951691,0.149040482228008,0.130085327872068,-0.147339487940707,0.315957600095213,0.126499292994345,0.194136023940067,-0.311085998242982
"LOC113991484","turquoise","SERPINB6","SERPINB6",3,"Y","LOC113991484/SERPINB6",-0.238313704188535,-0.209408920389515,0.0827385226240735,-0.0455937260753247,0.077677755200797,0.180047574218726,-0.0369224863277867,-0.360933011530205,-0.168776809811269,0.182906893259961
"LOC113991485","turquoise","SERPINB6","SERPINB6",3,"Y","LOC113991485/SERPINB6",0.151903978894577,-0.432888239881578,0.0545339420966483,-0.290636146770432,-0.175212620894643,0.475877295109068,-0.143220142377814,-0.426732049131947,-0.567167180435015,0.438848244246218
"LOC113991486","green","SERPINB6","SERPINB6",3,"Y","LOC113991486/SERPINB6",-0.284856999577213,-0.0958011674804055,-0.0520418331955988,-0.0178703897477546,0.338792676558332,0.0198466359556972,-0.00967106986887018,-0.260168530070089,-0.00791776089434441,0.1546738593302
"LOC113991487","midnightblue","SERPINB6","SERPINB6",3,"Y","LOC113991487/SERPINB6",-0.074568070408648,0.220495029900307,-0.246961255964045,0.0624254098990449,0.251570311208746,-0.344772613393844,0.517262323986679,0.188673769476298,0.0588814422067858,-0.179720933720053
"LOC113991506","brown","SLC22A23","LOC113991506",1,"Y","LOC113991506/SLC22A23",0.393458297904116,-0.0813600024522162,0.32807498456726,0.0568998976719654,-0.596171061111999,0.308616528350265,-0.0462710330230723,0.0780082026866531,-0.0362134058760086,-0.0922414371867321
"LOC113991510","turquoise","TKT","TKT",2,"Y","LOC113991510/TKT",-0.234138087424263,-0.392237695595767,0.286709860308425,-0.291319483356414,-0.411108917921264,0.399569499159468,-0.570615127521696,-0.378642795898381,0.0286692705728304,0.393741242722719
"LOC113991511","brown","SAT1","SAT1",4,"Y","LOC113991511/SAT1",0.458476584167025,0.0665031712365265,0.911085052705126,0.284601375017,-0.702194331175958,0.544722793122687,-0.0721198437022328,0.385837926130646,0.0417764809234289,-0.404854878916932
"LOC113991519","turquoise",NA,NA,NA,NA,"LOC113991519",-0.329129772756258,-0.265147820567249,0.0718226089458813,0.237161838214151,0.0326880416848493,0.0856988044229486,0.0406663479964549,0.146493812153546,-0.202941881017732,0.205396356131145
"LOC113991526","midnightblue","SLC51A","SLC51A",4,"Y","LOC113991526/SLC51A",0.0314547839974078,0.260269127989563,-0.344252210908519,0.0505159459256809,0.434324613491791,-0.471225253724888,0.582143202698957,0.274277643036181,-0.190250591754183,-0.248107365281401
"LOC113991529","pink","TUBB2A","TUBB2A",3,"Y","LOC113991529/TUBB2A",0.0268696012900061,0.617322074708658,0.203534869041656,0.61662709585492,0.17871240936557,-0.412283288886025,0.503875382876983,0.792657382519073,0.47088454054184,-0.725258594753794
"LOC113991530","blue","TUBB2A","TUBB2A",3,"Y","LOC113991530/TUBB2A",0.0810660200510731,0.50556390561467,0.587233475825926,0.398987567295685,-0.228359175604263,-0.00286906196050751,0.366473013987396,0.51895005022618,0.0670206303129329,-0.656366172145738
"LOC113991532","brown","NQO2","NQO2",3,"Y","LOC113991532/NQO2",0.654921573891845,-0.288662373995771,0.670283801170198,0.0140647780341838,-0.859009358795829,0.669395708721967,-0.589892596486731,0.261360021200168,0.018648462897657,0.0115241816133832
"LOC113991534","brown","NQO2","NQO2",3,"Y","LOC113991534/NQO2",0.358977521667823,0.209932858350444,0.35075210184252,0.223280196222906,-0.238353925150419,0.279511995730773,-0.321269865408641,0.0462652781042336,0.136507371737614,-0.19756803329294
"LOC113991535","turquoise","LOC113991535","LOC113991535",2,"N","LOC113991535",-0.0740738906165261,-0.193583143932032,-0.184052356109154,0.0583960093081929,0.195502082852746,0.0748428630747258,0.135343509108757,-0.153029245230693,-0.352421424068507,0.227663012739002
"LOC113991540","turquoise","MARVELD3","MARVELD3",4,"Y","LOC113991540/MARVELD3",0.0475479852896607,-0.402691001594227,0.229312654571916,-0.614246008209441,-0.332306495376816,0.399715440420247,-0.472505183572796,-0.237120924304417,0.17301212417955,0.290886597695924
"LOC113991543","blue",NA,NA,NA,NA,"LOC113991543",0.136726910784725,0.419510891962704,-0.134178466025181,0.105921642346756,0.297793455462998,-0.308611949694265,0.151181635757102,0.149023219263413,0.559252600502961,-0.398838606669825
"LOC113991548","blue","LOC113991548","LOC113991548",1,"N","LOC113991548",-0.481932277995584,0.506923762184653,-0.0359587727289382,0.0636160955137678,0.497644524822831,-0.289985704414834,0.262741774273675,-0.0360725402536069,0.283973939617534,-0.31021473686308
"LOC113991552","turquoise",NA,NA,NA,NA,"LOC113991552",-0.118102840831201,-0.245392879657189,0.122849426603862,-0.226707705963431,-0.125984416312324,0.214788783459008,-0.209125081166205,-0.256555956577013,-0.256335872509569,0.22198797245278
"LOC113991559","black","LOC113991559","LOC113991559",2,"N","LOC113991559",0.86686928032246,0.086369738722045,0.510979557605812,0.134724301338955,-0.654997239026133,0.359645185588323,-0.29104936394749,0.434346456397332,0.222110679755922,-0.360454661760095
"LOC113991561","midnightblue","LIN7A","LIN7A",2,"Y","LOC113991561/LIN7A",-0.193113385559165,0.163843983737797,-0.00517501848961487,-0.00957167358108152,0.102903405217383,-0.252846440537529,0.246265085242022,0.26380838449516,0.0964865924017041,-0.191448735305722
"LOC113991562","turquoise","LOC113991562","LOC113991562",2,"N","LOC113991562",-0.0732781966988566,-0.00533561389413468,0.0303161978096759,-0.27655054394425,-0.135829695734022,0.0743707727007759,0.125134457286894,-0.265886876922785,-0.230177911602367,0.0635971280591571
"LOC113991570","midnightblue","SMARCA4","SMARCA4",3,"Y","LOC113991570/SMARCA4",-0.333848447918584,0.294629170851853,-0.282860374639609,0.140684315913707,0.40949270804213,-0.348759948386449,0.498876731131215,-0.214824422843163,-0.220747166555628,-0.13466139270445
"LOC113991571","black","SRCAP","LOC100857358",2,"Y","LOC113991571/SRCAP",0.294375785953937,-0.106203013749195,0.168023831455335,-0.214504127870302,-0.324699792977105,0.186292769310524,0.112955559021416,-0.134717256265606,-0.245514939094012,-0.0668308412214142
"LOC113991586","turquoise","CTSK","CTSK",4,"Y","LOC113991586/CTSK",0.096145700026547,-0.125162966345764,-0.246424911406029,0.166259556282589,-0.157900370931695,-0.0212020693982729,-0.518204149409559,0.165893400336455,0.502143755866057,0.237504530589391
"LOC113991588","midnightblue","CERS2","CERS2",3,"Y","LOC113991588/CERS2",0.0353019055736842,0.743450814295409,-0.239985979452463,0.314641596946772,0.596697352108267,-0.737923071366754,0.736291267671582,0.530551846646837,0.287797205592742,-0.73264035914055
"LOC113991601","black","APOA2","APOA2",3,"Y","LOC113991601/APOA2",0.926612897202484,0.0450646998747589,0.130456583585374,0.245745252264734,-0.381007675011964,0.126430362154426,-0.175353371769538,0.368512418971732,0.0715505998740425,-0.269115666882802
