"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"ABHD15","bisque4","ABHD15","ABHD15",2,"N","ABHD15",-0.11132827784801,0.717289890916493,-0.0604082651589851,0.844582006746801,0.203333327550985,0.505236383180545
"ABHD17A","bisque4","ABHD17A","ABHD17A",3,"N","ABHD17A",-0.21735656489465,0.475645032773906,-0.0883771479565683,0.774033839488905,-0.312710691297293,0.298212997580007
"ABHD17B","deeppink","ABHD17B","ABHD17B",3,"N","ABHD17B",-0.406519598286479,0.168063029744591,0.10811305569702,0.725166128579659,0.313064828315156,0.297636762572027
"ABHD17C","deeppink","ABHD17C","ABHD17C",3,"N","ABHD17C",-0.260309320558329,0.390373481113215,-0.290315795573078,0.335938243978659,-0.00907243993486961,0.976533408024936
"ABHD18","darkolivegreen2","ABHD18","ABHD18",3,"N","ABHD18",-0.298774881190995,0.321392452345482,0.175435354514173,0.566453431573083,0.175789231678179,0.565658348739813
"ABHD2","lightpink2","ABHD2","ABHD2",2,"N","ABHD2",-0.452676338832933,0.12036061735121,-0.349376392007564,0.241958017257662,0.239445805696676,0.430749637854123
"ABHD3","deeppink","ABHD3","ABHD3",2,"N","ABHD3",-0.299071273326573,0.320889279518166,0.0542175166046813,0.860361262516396,-0.0871050207548099,0.777212222614542
"ABHD5","deeppink","ABHD5","ABHD5",2,"N","ABHD5",-0.47795841014673,0.0985412945816205,-0.288050006179948,0.339894865987785,0.00511589313972903,0.986766218689957
"ABHD6","bisque4","ABHD6","ABHD6",2,"N","ABHD6",0.252292907456413,0.405647836130899,-0.333279067491722,0.265805845635284,-0.452230168389019,0.120772369162158
"ABHD8","cyan","ABHD8","ABHD8",3,"N","ABHD8",0.261129333184561,0.388828137876703,0.402307853542519,0.172940804152843,0.121644814330408,0.692194292658895
"ABI1","navajowhite","ABI1","ABI1",3,"N","ABI1",-0.335228975492377,0.262846093097852,-0.42405253238892,0.148711895439823,-0.655398906225481,0.0150246600367986
"ABI2","orangered3","ABI2","ABI2",2,"N","ABI2",-0.106814765717762,0.72835362823198,0.12271441457946,0.689608420604678,0.085038880216252,0.782381221660265
"ABI3","darkgreen","ABI3","ABI3",3,"N","ABI3",-0.372532998519437,0.209994964072918,-0.398972314492099,0.176867347577978,-0.0659426455668178,0.830520622064359
"ABI3BP","navajowhite","ABI3BP","ABI3BP",2,"N","ABI3BP",-0.585645529896153,0.0354636554637482,-0.402415420643853,0.17281511372316,-0.314545973050179,0.295233620384656
"ABL1","darkgrey","ABL1","ABL1",2,"N","ABL1",0.335603316271991,0.26228012035526,-0.0718120993931197,0.815658589157593,-0.0692746247116926,0.822077044487734
"ABL2","cyan","ABL2","ABL2",1,"N","ABL2",0.204344817607845,0.503074646140263,0.0313181453355171,0.919102181411885,0.0830492474854851,0.787366606239721
"ABLIM1","black","ABLIM1","ABLIM1",3,"N","ABLIM1",-0.0842576250877363,0.784337895940616,0.152367512475174,0.619236694506983,0.516134200136735,0.0709729641457244
"ABLIM2","darkolivegreen2","ABLIM2","ABLIM2",2,"N","ABLIM2",0.150954510706677,0.622528584985544,0.354973819874863,0.233978519583628,0.326975283882917,0.275507921323454
"ABLIM3","bisque4","ABLIM3","ABLIM3",2,"N","ABLIM3",0.057201408864547,0.852749477956807,0.0346980192171,0.910401611078346,0.110899772986035,0.718338120325749
"ABR","cyan","ABR","ABR",2,"N","ABR",0.150299318865291,0.624057194526446,0.249706578139283,0.410640002942403,-0.248213013497718,0.41353705136965
