"","MEcyan","MEmediumpurple3","MEblack","MEdarkturquoise","MEhoneydew1","MEplum1","MEdarkgrey","MEsienna3","MEyellowgreen","MEnavajowhite2","MEyellow","MEpaleturquoise","MEbisque4","MEdarkmagenta","MEdarkseagreen4","MEpurple","MEtan","MEivory","MEviolet","MEdarkolivegreen","MEdarkorange2","MEgrey"
"PFT10_AI_run1",0.0332317120938249,0.171395494971473,0.0556075815048911,0.0266214771069154,-0.0816541116582982,0.0295920456830317,0.139611673173562,0.201748584332792,-0.150777009858893,-0.101963371282184,-0.131225779285375,-0.0468528504610351,0.0695397011995409,-0.0606396307017016,-0.0459040117496278,-0.104270560509106,-0.170784224129771,-0.129599446843155,-0.0140853813021059,-0.0483314995273202,-0.00715059766682905,0.0987692576199778
"PFT10_BSTm_run2",-0.0140552629145146,-0.0196676282057643,-0.045420247422394,0.0228300983342348,-0.136393064357943,-0.0324815970134667,0.0206147363672539,0.020518456308876,0.0460217848725153,0.0285232516725064,0.00441609869343078,-0.0473203243836186,0.0722835132222659,0.0160172014940577,-0.0196499737483818,-0.0438745887566012,-0.0278568267235765,-0.0718643108208073,-0.0899518484782092,0.053678097909088,0.0308831950740098,0.120401416585973
"PFT10_GCT_run1",0.102284444839544,0.0448334403241464,0.160609113177755,0.00585143753113786,-0.183412673509333,-0.00752253661713494,-0.086534670458308,-0.0783376173973112,-0.0332777971988589,-0.0798867451329632,-0.0865362184322066,-0.0872665290435423,-0.178055981161108,-0.0647208319123162,0.109606414621815,0.186270317766557,0.0741301937066791,0.0717011450802297,0.153440118174135,0.0812451103824778,0.111890668727593,0.0821582854528358
"PFT10_ICO_run1",0.131887996713208,0.0485437170508372,0.113565551977761,0.00957614698282372,-0.142094187136406,-0.0176261981830895,-0.0769136303894516,-0.0421553771801998,-0.00822913985166401,-0.045747762752599,-0.0777260764046848,-0.112983838681074,-0.12281336068087,-0.0646951891553536,0.271552522634181,0.118851148367103,0.0495511400243406,-0.00491713637939075,0.046298948088772,0.145303850037938,0.113205576290517,0.074469115142942
"PFT10_LS_run2",-0.232776250207849,-0.225589917017574,-0.0988846417548683,-0.0311108185120099,-0.120969524353404,-0.0455316061513668,0.176983627576271,-0.0306392061067362,0.165335390921306,-0.0775725577890888,0.0176646369049809,0.16941094208797,0.14049850262223,0.265946422795832,-0.0121443171943789,-0.124103445160387,-0.110300612305363,0.019623642790019,0.0212027173206057,0.0807448933248654,-0.0242444305866271,0.105958196618959
"PFT10_POM_run1",0.0264298943709698,-0.0285282674006166,-0.0664470101768904,0.0200648875137825,-0.1056426546643,-0.0395382871754452,-0.0724347447562146,-0.0274577933738894,0.05813087177571,0.135002476942103,0.0514211422570986,-0.0463724092273804,0.0497405211201869,-0.025727220160475,-0.0569342468285376,-0.0235628068422913,0.0749272630440379,-0.0361835135334702,-0.120677164246997,0.133169230593655,0.0872858393405316,0.1042320902903
"PFT10_PVN_run2",0.0299455363254858,-0.0137620663616445,-0.0720202140829097,-0.0391844301475879,-0.161671434788931,-0.0387728042964801,-0.0715375838235672,-0.0621833483911914,0.0317876389833309,0.101062795272307,0.152049252427814,0.0502466943915955,-0.00108471488076458,-0.0439875855560224,-0.0359910033085887,-0.0106283378308903,0.0921824025602273,0.0809520294574236,-0.014625010916272,0.0435270608056874,0.113029553998378,0.07494456890473
"PFT10_TNA_run1",-0.0985695255847469,0.0702551396412123,0.0830462944082433,0.138825757918771,-0.105386739615338,0.315862093193923,0.101792925466811,0.156296513194697,-0.178140769081518,-0.129517064348957,-0.105120662654081,-0.0567849722214523,0.0029203666584526,0.0368851349475036,-0.0854060988768183,-0.0717390612915721,-0.13963453810412,-0.0856227397811446,0.0162294861891848,0.0946215618612106,0.0290262412492594,0.0869188899326189
"PFT10_VMH_run1",0.11146741800855,0.0192197732031774,0.0432385581722195,0.18926354857752,-0.100885247273203,-0.0356676935351498,-0.0967556620169513,0.0071485681569485,-0.0116424784606263,0.117956144324958,0.0427201814445514,-0.13774744527702,-0.00451668475361653,-0.0800294909770039,-0.0289527867663245,-0.0121241692238918,0.0426361889788116,-0.106659339046414,-0.150090156019015,0.246776727890818,0.104949632307054,0.125809640200026
"PFT11_AH_run2",-0.00799915900587992,-0.0116340674084817,-0.0923965359454998,-0.119300520014913,0.00739875267548093,-0.0485917633470369,0.00261582699254721,-0.0297887978498631,0.0335577012347038,0.0536687691746178,-0.0755923239559926,0.11247105985809,0.0341324510741627,-0.0148285465695017,-0.0429639194516635,-0.0163054745865165,-0.000546681440391127,0.0608543271942964,-0.00276016314898956,0.233720827518167,0.0635535865848861,-0.0756345303365501
